ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
110001,201401,2123,299390.0
110002,201401,6076,839238.0
110003,201401,509,62146.0
110004,201401,4739,596984.0
110005,201401,1086,139492.0
110006,201401,935,115582.0
110007,201401,845,108056.0
110008,201401,1660,269858.0
110009,201401,2518,341372.0
110010,201401,3993,650586.0
110011,201401,4165,508776.0
110012,201401,5674,761868.0
110013,201401,2997,413474.0
110014,201401,2567,321766.0
110015,201401,1968,238378.0
110018,201401,1857,257296.0
110020,201401,24388,3680772.0
110025,201401,2179,357382.0
110026,201401,411,58518.0
110028,201401,3491,454562.0
110029,201401,719,81488.0
110030,201401,3968,615644.0
110032,201401,2120,269636.0
110033,201401,2971,410218.0
110034,201401,2024,311196.0
110037,201401,1345,187942.0
110040,201401,1833,235478.0
110045,201401,3328,477634.0
110050,201401,1028,137094.0
110060,201401,474,72012.0
110070,201401,1381,244026.0
110080,201401,1947,283828.0
110090,201401,356,48936.0
110092,201401,762,137760.0
110094,201401,1601,250240.0
110100,201401,1461,208464.0
110110,201401,1011,134666.0
110120,201401,932,120302.0
110130,201401,1318,159462.0
110140,201401,1346,209318.0
110143,201401,593,82354.0
110145,201401,641,88320.0
110146,201401,204,34402.0
110147,201401,363,45830.0
110148,201401,620,69962.0
110149,201401,1912,268246.0
110150,201401,1523,185308.0
110155,201401,441,60312.0
110160,201401,1152,147370.0
110170,201401,1667,216344.0
110175,201401,937,151248.0
110180,201401,897,117254.0
120001,201401,1760,293070.0
120005,201401,963,261918.0
120010,201401,3197,542736.0
120013,201401,1173,218574.0
120017,201401,1200,199566.0
120020,201401,9522,2332494.0
120025,201401,1595,261742.0
120030,201401,4675,1211234.0
120032,201401,1112,309948.0
120033,201401,2460,676028.0
120034,201401,1198,347180.0
120035,201401,2223,620364.0
120038,201401,1839,283658.0
120039,201401,1182,325660.0
120040,201401,24903,3929550.0
120042,201401,2157,434312.0
120043,201401,637,203494.0
120045,201401,2308,420728.0
120050,201401,5252,1108836.0
120060,201401,4923,1356384.0
120070,201401,1848,333348.0
120080,201401,2264,450768.0
130002,201401,2099,468626.0
130006,201401,1339,271818.0
130008,201401,1324,326014.0
130010,201401,2028,320570.0
130014,201401,2022,340156.0
130020,201401,2152,535028.0
130030,201401,4917,1006002.0
130040,201401,2869,506094.0
130050,201401,3987,873368.0
130060,201401,4657,1099426.0
130063,201401,2356,590916.0
130068,201401,2124,503498.0
130070,201401,4603,732818.0
130080,201401,3895,796240.0
130083,201401,1365,274830.0
130090,201401,1933,454210.0
130100,201401,3892,884346.0
130110,201401,4760,737286.0
130115,201401,2936,741062.0
130120,201401,9623,1949990.0
130130,201401,2657,555268.0
130140,201401,4490,1102176.0
130150,201401,2635,702380.0
130160,201401,3074,632680.0
130165,201401,2163,436454.0
130170,201401,5426,880794.0
130180,201401,2991,538274.0
130185,201401,5939,1049398.0
130190,201401,9550,1599588.0
130195,201401,1493,324852.0
130200,201401,1251,252094.0
130210,201401,851,181716.0
130220,201401,1447,280664.0
130230,201401,2703,656060.0
130240,201401,5923,1243212.0
130250,201401,10136,1918892.0
130255,201401,3234,461750.0
130260,201401,138834,1.9385004E7
130270,201401,5426,989404.0
130280,201401,2426,716018.0
130290,201401,7721,1837190.0
130300,201401,3025,677708.0
130310,201401,3363,689656.0
130320,201401,2011,346506.0
130330,201401,2533,601030.0
130340,201401,12167,2234074.0
130350,201401,2554,527986.0
130353,201401,3081,510042.0
130356,201401,2799,502744.0
130360,201401,2199,433978.0
130370,201401,3636,993404.0
130380,201401,5663,1386022.0
130390,201401,3538,828382.0
130395,201401,1294,211228.0
130400,201401,1268,335014.0
130406,201401,6358,1060512.0
130410,201401,2780,464710.0
130420,201401,7152,1264086.0
130423,201401,2337,588520.0
130426,201401,1603,324040.0
130430,201401,2413,520852.0
130440,201401,2431,670434.0
140002,201401,1011,205450.0
140005,201401,1944,343688.0
140010,201401,22814,3403556.0
140015,201401,1834,379294.0
140017,201401,2187,384962.0
140020,201401,2641,521904.0
140023,201401,1160,220858.0
140028,201401,1522,249866.0
140030,201401,2366,383376.0
140040,201401,1157,286056.0
140045,201401,1500,348636.0
140047,201401,3483,453050.0
140050,201401,945,158152.0
140060,201401,997,143910.0
140070,201401,1245,347440.0
150010,201401,20638,4513686.0
150013,201401,1022,165784.0
150020,201401,8600,1522752.0
150030,201401,5233,894196.0
150034,201401,3640,472656.0
150040,201401,8481,1424886.0
150050,201401,4114,950508.0
150060,201401,8705,1355190.0
150070,201401,3764,797418.0
150080,201401,39190,5023384.0
150085,201401,3322,593406.0
150090,201401,7154,1236932.0
150095,201401,3696,603280.0
150100,201401,2568,609720.0
150110,201401,2921,775694.0
150120,201401,4909,740042.0
150125,201401,397,59748.0
150130,201401,11803,2409776.0
150140,201401,93984,1.2743544E7
150145,201401,2700,461706.0
150150,201401,5776,878364.0
150157,201401,2012,305940.0
150160,201401,1991,269258.0
150170,201401,15815,2750120.0
150172,201401,2086,340232.0
150175,201401,1235,211766.0
150178,201401,7710,1317056.0
150180,201401,12740,2331200.0
150190,201401,4777,1008956.0
150195,201401,3428,667356.0
150200,201401,3416,812430.0
150210,201401,17939,3178870.0
150215,201401,3091,475730.0
150220,201401,8378,1135326.0
150230,201401,8748,1136338.0
150240,201401,18955,2509130.0
150250,201401,3032,566344.0
150260,201401,1404,261534.0
150270,201401,5257,725310.0
150275,201401,4034,764000.0
150276,201401,1278,216630.0
150277,201401,2946,391184.0
150280,201401,4210,800694.0
150285,201401,2150,446932.0
150290,201401,5909,1062654.0
150293,201401,4379,578016.0
150295,201401,3832,598428.0
150300,201401,1320,235484.0
150304,201401,2745,436230.0
150307,201401,4222,760870.0
150309,201401,3958,591996.0
150310,201401,4089,1079084.0
150320,201401,5809,752768.0
150330,201401,9108,1484128.0
150340,201401,1547,238346.0
150345,201401,4916,892928.0
150350,201401,5241,869562.0
150360,201401,10970,1830564.0
150370,201401,6818,1121094.0
150375,201401,2048,551916.0
150380,201401,6638,1210376.0
150390,201401,5672,974716.0
150400,201401,3968,604860.0
150405,201401,4283,695556.0
150410,201401,1212,212206.0
150420,201401,20179,3570002.0
150430,201401,4920,804238.0
150440,201401,4038,704726.0
150442,201401,11685,1668738.0
150445,201401,3749,575890.0
150450,201401,3552,832028.0
150460,201401,4209,969382.0
150470,201401,10357,2204038.0
150475,201401,66,6362.0
150480,201401,9594,2075758.0
150490,201401,5125,961830.0
150495,201401,3790,765274.0
150497,201401,2038,292624.0
150500,201401,2143,296028.0
150503,201401,1737,253364.0
150506,201401,7963,1157086.0
150510,201401,6771,1384902.0
150520,201401,4597,968444.0
150530,201401,7959,1280756.0
150540,201401,2869,587492.0
150543,201401,3098,424476.0
150548,201401,6287,1264124.0
150549,201401,1334,285646.0
150550,201401,10897,1569488.0
150553,201401,8018,1020186.0
150555,201401,1000,165242.0
150560,201401,1482,231914.0
150563,201401,1976,307466.0
150565,201401,2607,483124.0
150570,201401,3835,649030.0
150580,201401,7344,1428922.0
150590,201401,4641,1088366.0
150600,201401,5370,1233588.0
150610,201401,1561,311866.0
150611,201401,2026,354926.0
150613,201401,6439,858876.0
150616,201401,1743,229064.0
150618,201401,4595,646616.0
150619,201401,3832,695264.0
150620,201401,4273,685928.0
150630,201401,3335,701794.0
150635,201401,2589,399760.0
150640,201401,1215,220376.0
150650,201401,7250,952670.0
150655,201401,3417,574416.0
150658,201401,3010,401734.0
