Ano,Região,UF,Código do Município,Nome do Município,Localização,Total_abandono_EF2010,Total_abandono_EM2010
2010,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Rural,0,--
2010,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Rural,2.1,--
2010,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Rural,1.9,--
2010,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Rural,1.9,--
2010,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Total,1.8,18.3
2010,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Total,1.4,--
2010,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Total,0,--
2010,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Total,1.5,18.3
2010,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Total,1.4,18.3
2010,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Urbana,2.2,18.3
2010,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Urbana,0.6,--
2010,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Urbana,0,--
2010,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Urbana,1.2,18.3
2010,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Urbana,1.2,18.3
2010,Norte,RO,1100023,ARIQUEMES,Rural,--,3.6
2010,Norte,RO,1100023,ARIQUEMES,Rural,5.4,--
2010,Norte,RO,1100023,ARIQUEMES,Rural,5.4,3.6
2010,Norte,RO,1100023,ARIQUEMES,Rural,5.4,3.6
2010,Norte,RO,1100023,ARIQUEMES,Total,2.5,19.9
2010,Norte,RO,1100023,ARIQUEMES,Total,--,3.6
2010,Norte,RO,1100023,ARIQUEMES,Total,1.8,--
2010,Norte,RO,1100023,ARIQUEMES,Total,0.7,0
2010,Norte,RO,1100023,ARIQUEMES,Total,1.8,18.2
2010,Norte,RO,1100023,ARIQUEMES,Total,1.7,17.2
2010,Norte,RO,1100023,ARIQUEMES,Urbana,2.5,19.9
2010,Norte,RO,1100023,ARIQUEMES,Urbana,0.9,--
2010,Norte,RO,1100023,ARIQUEMES,Urbana,0.7,0
2010,Norte,RO,1100023,ARIQUEMES,Urbana,1.1,19.9
2010,Norte,RO,1100023,ARIQUEMES,Urbana,1,18.7
2010,Norte,RO,1100031,CABIXI,Rural,--,17.6
2010,Norte,RO,1100031,CABIXI,Rural,--,17.6
2010,Norte,RO,1100031,CABIXI,Rural,--,17.6
2010,Norte,RO,1100031,CABIXI,Total,--,9.5
