Ano;Região;UF;Código do Município;Nome do Município;Localização;Total Abandono Ens. Fundamental;Total Abandono no Ens. Médio
2014;Norte;RO;1100015;ALTA FLORESTA D OESTE;Total;2.4;9.3
2014;Norte;RO;1100015;ALTA FLORESTA D OESTE;Total;2.4;9.3
2014;Norte;RO;1100015;ALTA FLORESTA D OESTE;Total;0;--
2014;Norte;RO;1100015;ALTA FLORESTA D OESTE;Total;2.7;--
2014;Norte;RO;1100015;ALTA FLORESTA D OESTE;Total;2.3;9.3
2014;Norte;RO;1100015;ALTA FLORESTA D OESTE;Rural;3.4;--
2014;Norte;RO;1100015;ALTA FLORESTA D OESTE;Rural;3.4;--
2014;Norte;RO;1100015;ALTA FLORESTA D OESTE;Rural;3.6;--
2014;Norte;RO;1100015;ALTA FLORESTA D OESTE;Rural;2.5;--
2014;Norte;RO;1100015;ALTA FLORESTA D OESTE;Urbana;1.7;9.3
2014;Norte;RO;1100015;ALTA FLORESTA D OESTE;Urbana;1.8;9.3
2014;Norte;RO;1100015;ALTA FLORESTA D OESTE;Urbana;0;--
2014;Norte;RO;1100015;ALTA FLORESTA D OESTE;Urbana;0;--
2014;Norte;RO;1100015;ALTA FLORESTA D OESTE;Urbana;2.2;9.3
2014;Norte;RO;1100023;ARIQUEMES;Total;2.1;11.6
2014;Norte;RO;1100023;ARIQUEMES;Total;2.2;12.1
2014;Norte;RO;1100023;ARIQUEMES;Total;0.3;0.6
2014;Norte;RO;1100023;ARIQUEMES;Total;1.9;--
2014;Norte;RO;1100023;ARIQUEMES;Total;--;0.6
2014;Norte;RO;1100023;ARIQUEMES;Total;2.8;13.8
2014;Norte;RO;1100023;ARIQUEMES;Rural;2.8;0.6
2014;Norte;RO;1100023;ARIQUEMES;Rural;2.8;0.6
2014;Norte;RO;1100023;ARIQUEMES;Rural;2.8;--
2014;Norte;RO;1100023;ARIQUEMES;Rural;--;0.6
2014;Norte;RO;1100023;ARIQUEMES;Urbana;1.9;13.1
2014;Norte;RO;1100023;ARIQUEMES;Urbana;2.1;13.8
2014;Norte;RO;1100023;ARIQUEMES;Urbana;0.3;0.6
2014;Norte;RO;1100023;ARIQUEMES;Urbana;1.6;--
2014;Norte;RO;1100023;ARIQUEMES;Urbana;2.8;13.8
2014;Norte;RO;1100031;CABIXI;Total;0.9;4.5
2014;Norte;RO;1100031;CABIXI;Total;0.9;4.5
2014;Norte;RO;1100031;CABIXI;Total;0;--
2014;Norte;RO;1100031;CABIXI;Total;1.8;4.5
2014;Norte;RO;1100031;CABIXI;Rural;3.1;3.3
2014;Norte;RO;1100031;CABIXI;Rural;3.1;3.3
2014;Norte;RO;1100031;CABIXI;Rural;3.1;3.3
2014;Norte;RO;1100031;CABIXI;Urbana;0.6;4.7
2014;Norte;RO;1100031;CABIXI;Urbana;0.6;4.7
2014;Norte;RO;1100031;CABIXI;Urbana;0;--
2014;Norte;RO;1100031;CABIXI;Urbana;1.4;4.7
2014;Norte;RO;1100049;CACOAL;Total;1;9.1
2014;Norte;RO;1100049;CACOAL;Total;1.1;11
2014;Norte;RO;1100049;CACOAL;Total;0.1;0.9
2014;Norte;RO;1100049;CACOAL;Total;0.3;--
2014;Norte;RO;1100049;CACOAL;Total;--;0
2014;Norte;RO;1100049;CACOAL;Total;1.8;11.5
2014;Norte;RO;1100049;CACOAL;Rural;1.4;8.8
2014;Norte;RO;1100049;CACOAL;Rural;1.4;20
2014;Norte;RO;1100049;CACOAL;Rural;0;4.8
2014;Norte;RO;1100049;CACOAL;Rural;0.4;--
2014;Norte;RO;1100049;CACOAL;Rural;8.3;20
2014;Norte;RO;1100049;CACOAL;Urbana;0.8;9.2
2014;Norte;RO;1100049;CACOAL;Urbana;1;11
2014;Norte;RO;1100049;CACOAL;Urbana;0;0.2
2014;Norte;RO;1100049;CACOAL;Urbana;0.1;--
2014;Norte;RO;1100049;CACOAL;Urbana;--;0
2014;Norte;RO;1100049;CACOAL;Urbana;1.4;11.3
2014;Norte;RO;1100056;CEREJEIRAS;Total;1.3;8.5
2014;Norte;RO;1100056;CEREJEIRAS;Total;1.3;8.7
2014;Norte;RO;1100056;CEREJEIRAS;Total;0;0
2014;Norte;RO;1100056;CEREJEIRAS;Total;1;--
2014;Norte;RO;1100056;CEREJEIRAS;Total;1.6;8.7
2014;Norte;RO;1100056;CEREJEIRAS;Rural;0.8;--
2014;Norte;RO;1100056;CEREJEIRAS;Rural;0.8;--
2014;Norte;RO;1100056;CEREJEIRAS;Rural;0.8;--
2014;Norte;RO;1100056;CEREJEIRAS;Urbana;1.3;8.5
2014;Norte;RO;1100056;CEREJEIRAS;Urbana;1.4;8.7
2014;Norte;RO;1100056;CEREJEIRAS;Urbana;0;0
2014;Norte;RO;1100056;CEREJEIRAS;Urbana;1;--
2014;Norte;RO;1100056;CEREJEIRAS;Urbana;1.6;8.7
2014;Norte;RO;1100064;COLORADO DO OESTE;Total;0.8;5
2014;Norte;RO;1100064;COLORADO DO OESTE;Total;0.8;5
2014;Norte;RO;1100064;COLORADO DO OESTE;Total;0;--
2014;Norte;RO;1100064;COLORADO DO OESTE;Total;0.3;--
2014;Norte;RO;1100064;COLORADO DO OESTE;Total;--;0.5
2014;Norte;RO;1100064;COLORADO DO OESTE;Total;1.2;8.2
2014;Norte;RO;1100064;COLORADO DO OESTE;Rural;0.3;0.5
2014;Norte;RO;1100064;COLORADO DO OESTE;Rural;0.3;0.5
2014;Norte;RO;1100064;COLORADO DO OESTE;Rural;0.3;--
2014;Norte;RO;1100064;COLORADO DO OESTE;Rural;--;0.5
2014;Norte;RO;1100064;COLORADO DO OESTE;Urbana;1;8.2
2014;Norte;RO;1100064;COLORADO DO OESTE;Urbana;1.1;8.2
2014;Norte;RO;1100064;COLORADO DO OESTE;Urbana;0;--
2014;Norte;RO;1100064;COLORADO DO OESTE;Urbana;0;--
2014;Norte;RO;1100064;COLORADO DO OESTE;Urbana;1.2;8.2
2014;Norte;RO;1100072;CORUMBIARA;Total;1.7;10.3
2014;Norte;RO;1100072;CORUMBIARA;Total;1.7;10.3
2014;Norte;RO;1100072;CORUMBIARA;Total;2.1;--
2014;Norte;RO;1100072;CORUMBIARA;Total;1.3;10.3
2014;Norte;RO;1100072;CORUMBIARA;Rural;2.2;7.3
2014;Norte;RO;1100072;CORUMBIARA;Rural;2.2;7.3
2014;Norte;RO;1100072;CORUMBIARA;Rural;3.4;--
2014;Norte;RO;1100072;CORUMBIARA;Rural;1;7.3
2014;Norte;RO;1100072;CORUMBIARA;Urbana;0.9;12
2014;Norte;RO;1100072;CORUMBIARA;Urbana;0.9;12
2014;Norte;RO;1100072;CORUMBIARA;Urbana;0;--
2014;Norte;RO;1100072;CORUMBIARA;Urbana;1.8;12
2014;Norte;RO;1100080;COSTA MARQUES;Total;2;14.4
2014;Norte;RO;1100080;COSTA MARQUES;Total;2;14.4
2014;Norte;RO;1100080;COSTA MARQUES;Total;0.9;--
2014;Norte;RO;1100080;COSTA MARQUES;Total;3.4;14.4
2014;Norte;RO;1100080;COSTA MARQUES;Rural;1.3;18.1
2014;Norte;RO;1100080;COSTA MARQUES;Rural;1.3;18.1
2014;Norte;RO;1100080;COSTA MARQUES;Rural;0.9;--
2014;Norte;RO;1100080;COSTA MARQUES;Rural;4.9;18.1
2014;Norte;RO;1100080;COSTA MARQUES;Urbana;2.5;11.9
