Ano;Região;UF;Código do Município;Nome do Município;Localização;Total.2;Total  .2
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Total;0.2;1.4
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Urbana;0.3;1.6
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Rural;0;0
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Total;0.5;1.4
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Urbana;0.5;1.6
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Rural;0;0
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Total;0;--
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Urbana;0;--
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Rural;0;--
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Total;0.2;1.4
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Urbana;0.3;1.6
2021;Norte;RO;1100015;Alta Floresta D'Oeste;Rural;0;0
2021;Norte;RO;1100023;Ariquemes;Total;0.8;4.3
2021;Norte;RO;1100023;Ariquemes;Urbana;0.5;3.4
2021;Norte;RO;1100023;Ariquemes;Rural;2.3;7.7
2021;Norte;RO;1100023;Ariquemes;Total;--;4.2
2021;Norte;RO;1100023;Ariquemes;Rural;--;4.2
2021;Norte;RO;1100023;Ariquemes;Total;1.6;4.4
2021;Norte;RO;1100023;Ariquemes;Urbana;0.9;3.5
2021;Norte;RO;1100023;Ariquemes;Rural;11.9;19.4
2021;Norte;RO;1100023;Ariquemes;Total;0.3;--
2021;Norte;RO;1100023;Ariquemes;Urbana;0.4;--
2021;Norte;RO;1100023;Ariquemes;Rural;0.3;--
2021;Norte;RO;1100023;Ariquemes;Total;0;0
2021;Norte;RO;1100023;Ariquemes;Urbana;0;0
2021;Norte;RO;1100023;Ariquemes;Total;0.9;4.4
2021;Norte;RO;1100023;Ariquemes;Urbana;0.6;3.5
2021;Norte;RO;1100023;Ariquemes;Rural;2.3;7.7
2021;Norte;RO;1100031;Cabixi;Total;0.2;3.2
2021;Norte;RO;1100031;Cabixi;Urbana;0.2;2.9
2021;Norte;RO;1100031;Cabixi;Rural;0.8;5.3
2021;Norte;RO;1100031;Cabixi;Total;0.4;3.2
2021;Norte;RO;1100031;Cabixi;Urbana;0.3;2.9
2021;Norte;RO;1100031;Cabixi;Rural;0.8;5.3
2021;Norte;RO;1100031;Cabixi;Total;0;--
2021;Norte;RO;1100031;Cabixi;Urbana;0;--
2021;Norte;RO;1100031;Cabixi;Total;0.2;3.2
2021;Norte;RO;1100031;Cabixi;Urbana;0.2;2.9
2021;Norte;RO;1100031;Cabixi;Rural;0.8;5.3
2021;Norte;RO;1100049;Cacoal;Total;0.1;3
