UF,Total,Forca_de_Trabalho,ocupados,Desocupados,Trimestre_ID,Ano,Trimestre,Trimestre_Ano,Taxa_Desocupacao,Nivel_Ocupacao,Taxa_Participacao,Fora_da_Forca
Rondônia,1210,765,703,62,1,2012,1,T1/2012,8.1,58.1,63.2,445
Acre,534,313,284,29,1,2012,1,T1/2012,9.3,53.2,58.6,221
Amazonas,2463,1558,1386,173,1,2012,1,T1/2012,11.1,56.3,63.3,905
Roraima,296,185,169,16,1,2012,1,T1/2012,8.6,57.1,62.5,111
Pará,5579,3373,3104,270,1,2012,1,T1/2012,8.0,55.6,60.5,2206
Amapá,487,318,278,40,1,2012,1,T1/2012,12.6,57.1,65.3,169
Tocantins,1043,654,599,55,1,2012,1,T1/2012,8.4,57.4,62.7,389
Maranhão,4824,2721,2505,216,1,2012,1,T1/2012,7.9,51.9,56.4,2103
Piauí,2426,1424,1315,109,1,2012,1,T1/2012,7.7,54.2,58.7,1002
Ceará,6679,3756,3482,275,1,2012,1,T1/2012,7.3,52.1,56.2,2923
Rio Grande do Norte,2540,1370,1211,159,1,2012,1,T1/2012,11.6,47.7,53.9,1170
Paraíba,2952,1667,1500,167,1,2012,1,T1/2012,10.0,50.8,56.5,1285
Pernambuco,6931,3925,3549,376,1,2012,1,T1/2012,9.6,51.2,56.6,3006
Alagoas,2383,1173,1041,133,1,2012,1,T1/2012,11.3,43.7,49.2,1210
Sergipe,1595,947,848,99,1,2012,1,T1/2012,10.5,53.2,59.4,648
Bahia,10986,6888,6086,802,1,2012,1,T1/2012,11.6,55.4,62.7,4098
Minas Gerais,15985,10115,9316,799,1,2012,1,T1/2012,7.9,58.3,63.3,5870
Espírito Santo,2885,1869,1726,143,1,2012,1,T1/2012,7.7,59.8,64.8,1016
Rio de Janeiro,13293,8071,7379,691,1,2012,1,T1/2012,8.6,55.5,60.7,5222
São Paulo,34709,22440,20685,1755,1,2012,1,T1/2012,7.8,59.6,64.7,12269
Paraná,8482,5533,5221,312,1,2012,1,T1/2012,5.6,61.6,65.2,2949
Santa Catarina,5196,3428,3286,142,1,2012,1,T1/2012,4.1,63.2,66.0,1768
Rio Grande do Sul,8874,5746,5439,307,1,2012,1,T1/2012,5.3,61.3,64.8,3128
Mato Grosso do Sul,1887,1219,1127,92,1,2012,1,T1/2012,7.5,59.7,64.6,668
Mato Grosso,2381,1566,1462,103,1,2012,1,T1/2012,6.6,61.4,65.8,815
Goiás,4857,3219,3015,204,1,2012,1,T1/2012,6.3,62.1,66.3,1638
Distrito Federal,2122,1420,1295,125,1,2012,1,T1/2012,8.8,61.0,66.9,702
Rondônia,1217,782,733,49,1,2012,1,T1/2012,6.3,60.2,64.3,435
Acre,537,329,299,30,1,2012,1,T1/2012,9.1,55.7,61.3,208
Amazonas,2477,1557,1416,141,1,2012,1,T1/2012,9.1,57.2,62.9,920
Roraima,300,188,177,11,1,2012,1,T1/2012,5.9,59.0,62.7,112
Pará,5625,3549,3269,280,1,2012,1,T1/2012,7.9,58.1,63.1,2076
Amapá,497,315,269,46,1,2012,1,T1/2012,14.6,54.1,63.4,182
Tocantins,1054,656,605,51,1,2012,1,T1/2012,7.8,57.4,62.2,398
Maranhão,4844,2749,2496,253,1,2012,1,T1/2012,9.2,51.5,56.8,2095
Piauí,2447,1428,1327,101,1,2012,1,T1/2012,7.1,54.2,58.4,1019
Ceará,6683,3750,3443,307,1,2012,1,T1/2012,8.2,51.5,56.1,2933
Rio Grande do Norte,2544,1453,1288,165,1,2012,1,T1/2012,11.4,50.6,57.1,1091
Paraíba,2940,1679,1522,158,1,2012,1,T1/2012,9.4,51.8,57.1,1261
Pernambuco,6928,3832,3514,318,1,2012,1,T1/2012,8.3,50.7,55.3,3096
Alagoas,2376,1155,1020,135,1,2012,1,T1/2012,11.7,42.9,48.6,1221
Sergipe,1620,968,862,106,1,2012,1,T1/2012,11.0,53.2,59.8,652
Bahia,10981,6908,6121,787,1,2012,1,T1/2012,11.4,55.7,62.9,4073
Minas Gerais,16093,10448,9690,758,1,2012,1,T1/2012,7.3,60.2,64.9,5645
