UF,Ano,Trimestre,Taxa_Desocupacao,Nivel_Ocupacao,Taxa_Participacao
RO,2012,2,8.1,58.1,63.2
AC,2012,2,9.3,53.2,58.6
AM,2012,2,11.1,56.3,63.3
RR,2012,2,8.6,57.1,62.5
PA,2012,2,8.0,55.6,60.5
AP,2012,2,12.6,57.1,65.3
TO,2012,2,8.4,57.4,62.7
MA,2012,2,7.9,51.9,56.4
PI,2012,2,7.7,54.2,58.7
CE,2012,2,7.3,52.1,56.2
RN,2012,2,11.6,47.7,53.9
PB,2012,2,10.0,50.8,56.5
PE,2012,2,9.6,51.2,56.6
AL,2012,2,11.3,43.7,49.2
SE,2012,2,10.5,53.2,59.4
BA,2012,2,11.6,55.4,62.7
MG,2012,2,7.9,58.3,63.3
ES,2012,2,7.7,59.8,64.8
RJ,2012,2,8.6,55.5,60.7
SP,2012,2,7.8,59.6,64.7
PR,2012,2,5.6,61.6,65.2
SC,2012,2,4.1,63.2,66.0
RS,2012,2,5.3,61.3,64.8
MS,2012,2,7.5,59.7,64.6
MT,2012,2,6.6,61.4,65.8
GO,2012,2,6.3,62.1,66.3
DF,2012,2,8.8,61.0,66.9
RO,2012,2,6.3,60.2,64.3
AC,2012,2,9.1,55.7,61.3
AM,2012,2,9.1,57.2,62.9
RR,2012,2,5.9,59.0,62.7
PA,2012,2,7.9,58.1,63.1
AP,2012,2,14.6,54.1,63.4
TO,2012,2,7.8,57.4,62.2
MA,2012,2,9.2,51.5,56.8
PI,2012,2,7.1,54.2,58.4
CE,2012,2,8.2,51.5,56.1
RN,2012,2,11.4,50.6,57.1
PB,2012,2,9.4,51.8,57.1
PE,2012,2,8.3,50.7,55.3
AL,2012,2,11.7,42.9,48.6
SE,2012,2,11.0,53.2,59.8
BA,2012,2,11.4,55.7,62.9
MG,2012,2,7.3,60.2,64.9
ES,2012,2,7.2,61.7,66.6
RJ,2012,2,7.5,56.5,61.1
SP,2012,2,7.5,60.4,65.3
PR,2012,2,5.3,62.5,66.1
SC,2012,2,3.7,64.7,67.2
RS,2012,2,5.1,62.0,65.3
MS,2012,2,7.1,61.6,66.4
MT,2012,2,5.8,61.8,65.6
GO,2012,2,5.3,63.2,66.7
DF,2012,2,8.5,60.4,66.0
RO,2012,2,5.9,60.2,63.9
AC,2012,2,7.7,55.5,60.3
AM,2012,2,9.5,56.8,62.7
RR,2012,2,7.3,59.7,64.4
PA,2012,2,7.2,57.6,62.1
AP,2012,2,14.3,55.6,64.6
TO,2012,2,7.2,57.6,62.1
MA,2012,2,7.7,52.5,56.9
PI,2012,2,6.2,55.1,58.7
CE,2012,2,8.1,50.8,55.3
RN,2012,2,11.5,50.7,57.3
PB,2012,2,8.6,51.8,56.7
PE,2012,2,9.4,51.4,56.7
AL,2012,2,11.6,44.4,50.2
SE,2012,2,10.6,54.2,60.7
BA,2012,2,10.8,56.1,62.9
MG,2012,2,6.4,60.5,64.6
ES,2012,2,6.9,62.0,66.6
RJ,2012,2,7.5,56.0,60.5
SP,2012,2,7.0,60.9,65.4
PR,2012,2,4.7,63.2,66.3
SC,2012,2,3.2,64.7,66.8
RS,2012,2,4.7,61.6,64.7
MS,2012,2,5.0,62.1,65.3
MT,2012,2,5.3,62.0,65.3
GO,2012,2,5.0,62.9,66.2
DF,2012,2,8.7,61.2,67.0
RO,2012,2,5.2,62.5,66.0
AC,2012,2,8.1,56.3,61.3
AM,2012,2,8.3,58.6,63.9
