ANOS,Acre,Alagoas,Amapá,Amazonas,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Mato Grosso,Mato Grosso do Sul,Minas Gerais,Paraná,Paraíba,Pará,Pernambuco,Piauí,Rio Grande do Norte,Rio Grande do Sul,Rio de Janeiro,Rondônia,Roraima,Santa Catarina,Sergipe,São Paulo,Tocantins,Valor_bolsaFamiliaMedia
Abandono_EF2007,4470,48121,6930,51244,185146,50550,6205,8388,33034,65417,19031,9386,45839,8513,52850,150059,93803,26389,26121,18083,69817,9995,1673,4652,24047,18220,5336,157.60
Abandono_EM2007,5512,32874,8513,21077,161873,78052,9456,21546,53968,69624,30531,14765,121864,53966,38056,86555,122590,47624,48100,76730,115089,9616,1886,21934,21591,96517,10419,157.60
Abandono_EF2008,6739,37666,4976,49366,154710,41495,4688,6696,25651,63601,13108,7303,35440,8589,49697,106464,73627,25409,25860,11293,64951,6661,1021,2771,17186,18227,4426,180.80
Abandono_EM2008,5563,28108,8183,28578,160581,72404,5294,19630,48099,67087,34355,12941,110137,59503,37791,84793,94676,55156,43361,70459,118160,9671,1800,22845,21370,85519,10081,180.80
Abandono_EF2009,7147,33893,2142,44081,115242,34214,2943,5496,20732,41526,8188,5914,28300,6798,37009,92796,58743,16459,20517,9464,56842,4776,865,2696,13022,12201,3571,162.90
Abandono_EM2009,5110,32474,7810,27148,145913,68375,10915,18341,36697,54665,26731,12558,95677,46954,34677,84618,71280,47734,38538,64161,107419,8550,1786,21245,17478,80846,7256,162.90
Abandono_EF2010,6316,26497,2892,39370,80850,23773,2936,4867,14873,36802,3425,5172,18224,4982,27766,79207,36042,13949,16631,9241,41741,4104,1099,1761,7833,24104,2164,175.90
Abandono_EM2010,5553,29045,7385,20588,114268,53864,9599,11732,35722,56662,19425,13567,90330,37882,32606,77801,53255,36665,32148,58882,95427,8381,1514,23332,16760,97506,6765,175.90
Abandono_EF2011,5655,46589,4585,44493,130583,37069,4601,9122,24686,46758,5330,11519,58591,25601,42378,78346,60789,18688,28255,21047,48076,8691,2434,7792,16646,53342,4253,197.80
Abandono_EM2011,4543,25066,5508,17664,74814,47447,8000,10457,18264,42770,17654,10326,78353,28918,23329,62411,41270,25114,28672,40899,61593,7589,1462,20063,10820,84293,6065,197.80
Abandono_EF2012,5270,44245,5039,42742,127753,31697,5764,7394,23768,48312,5272,10420,50958,24957,38462,72942,53644,19258,23988,19022,38166,7709,3055,6811,17443,52250,4421,218.30
Abandono_EM2012,4006,23988,6925,21056,83059,39453,8160,10027,18876,37013,20756,10350,76408,30047,21207,59188,29038,26364,24372,41458,44637,7563,2358,17576,11202,86727,4990,218.30
Abandono_EF2013,4409,36121,4367,37671,98488,25356,4836,6791,13516,42501,3773,8970,41635,21402,30298,68039,42505,14932,20077,17074,33337,6996,2569,5735,15351,51058,3826,240.40
Abandono_EM2013,4169,19369,5368,21857,49483,34001,6004,9832,15894,33661,21674,9444,69013,30689,17706,59092,18173,19852,20664,35270,34022,6827,1841,20086,10522,88925,4910,240.40
Abandono_EF2014,4423,30730,4028,31724,98563,23551,4769,7224,13411,41502,3254,8466,35697,19420,27725,65871,38460,15595,17258,16497,36720,6799,2227,3998,15407,49839,4230,245.10
Abandono_EM2014,4436,17789,4867,23174,56201,30688,5751,9177,15051,30539,19800,8145,59713,32382,17558,57917,12285,18875,13561,31331,33571,6066,1886,18471,11125,80988,5713,245.10
Abandono_EF2015,4396,26694,3972,28272,85013,19098,5491,5600,11531,37149,2779,7277,34732,19012,24281,64920,29215,12668,16543,14715,29049,5823,2658,4189,14796,37562,4286,237
Abandono_EM2015,4177,17013,4239,21251,41510,26885,4306,6191,15116,25593,21321,8300,52753,36519,15316,60476,8386,16855,13981,27349,20994,6029,2116,17920,10961,59231,5286,237
Abandono_EF2016,3691,23686,3963,23795,86618,18730,4263,4551,9763,35293,3254,6495,31239,13025,25957,58635,27926,12931,15391,12048,32755,5263,1945,3353,13182,37406,3777,219.40
Abandono_EM2016,3832,15679,3564,17880,42213,32668,3967,4918,13365,25892,15693,7712,53446,27915,17315,49561,5790,14556,10630,23615,40840,4386,1640,14117,9579,69755,4273,219.40
Abandono_EF2017,3667,16610,3264,22124,76940,13441,4578,4032,7023,29941,3244,5662,30593,12963,21590,53812,23693,10254,14269,13233,26253,3540,1779,3374,10369,31658,2996,214.40
Abandono_EM2017,2735,10347,3294,17783,48476,22177,5021,3594,5187,19429,14534,7431,60674,29907,16087,43813,5286,13419,11616,26073,23505,3874,1759,13970,8320,59480,3643,214.40
Abandono_EF2018,3468,14227,3268,19740,67145,10783,2643,3514,7021,27116,2830,5253,27626,11418,16687,51832,16925,8642,12158,11689,26043,3775,1932,4260,8282,26838,2708,213.50
Abandono_EM2018,2403,9708,3684,21598,51026,16918,3958,3275,5835,20893,13162,7557,64065,26769,13423,45994,4079,12161,10715,25017,24635,3932,1731,12854,6625,52485,3106,213.50
Abandono_EF2019,3284,7136,2720,16804,51768,8246,2999,2513,5214,20762,2869,4367,14767,7022,12619,41136,11558,6112,9188,11527,19763,2872,1943,3461,6571,21637,2171,233.90
Abandono_EM2019,2439,7088,3200,20923,38686,12609,4071,2399,4506,13642,13712,6209,34551,12640,8534,35984,4692,9273,9381,17778,33364,3449,1675,12387,4815,31038,2676,233.90
Abandono_EF2020,2820,5112,1887,5601,40891,10488,746,2510,6029,25851,955,1176,46779,7040,13469,23698,16475,7329,7180,3808,23616,5305,729,1753,3549,10828,2593,214.60
Abandono_EM2020,1296,587,759,208,5574,10149,671,2641,4323,15031,980,734,54496,13190,3320,2481,1029,6667,748,21285,3000,1441,194,9168,1553,6132,2714,214.60
Abandono_EF2021,3978,5047,2811,17569,64250,3484,369,3521,5130,27816,1946,1568,19257,2697,9737,43089,7499,6438,16565,18870,17509,2693,1547,3601,4489,32381,1366,214.70
Abandono_EM2021,2522,9718,2560,11622,67370,6984,1168,2970,3103,17870,8370,1537,24243,4544,4880,61090,4783,5964,19720,32558,11045,3456,1282,19724,2579,54267,2260,214.70
Abandono_EF2022,4040,7253,2253,16726,55404,3460,2190,2510,4314,18438,2506,2754,19261,5521,11768,42409,9973,5882,8945,12635,15687,2608,2034,2769,5346,21519,1122,500
Abandono_EM2022,3706,8543,2235,15592,66648,10423,4119,2287,3987,13313,14991,4909,48140,15428,13579,39785,5130,10281,13384,34683,31599,4752,2483,13232,3909,58702,2363,500
Abandono_EF2023,3684,2634,1451,9004,29849,2269,1807,1495,2605,10457,1014,1968,16403,1366,6812,22639,4918,2196,6557,10046,11671,1591,1444,2824,2753,21373,890,635
Abandono_EF2023,2453,3143,1557,7970,24820,7175,3343,2017,1345,9639,3426,3737,35826,2420,9104,1297,3046,2573,10328,26901,23302,2784,1196,11750,2174,51316,1190,635
