CO_MUNICIPIO,NO_UF,NO_MUNICIPIO,QT_MAT_BAS_Privada_Urbana,QT_MAT_BAS_Pública_Rural,QT_MAT_BAS_Pública_Urbana,QT_MAT_BAS_Privada_Rural,QT_MAT_INF_Privada_Urbana,QT_MAT_INF_Pública_Rural,QT_MAT_INF_Pública_Urbana,QT_MAT_INF_Privada_Rural,QT_MAT_MED_Privada_Urbana,QT_MAT_MED_Pública_Rural,QT_MAT_MED_Pública_Urbana,QT_MAT_MED_Privada_Rural,QT_MAT_EJA_Privada_Urbana,QT_MAT_EJA_Pública_Rural,QT_MAT_EJA_Pública_Urbana,QT_MAT_EJA_Privada_Rural,Total_Urbana,Total_Rural
1100015,Rondônia,Alta Floresta D'Oeste,111.0,1990.0,4731.0,0.0,44.0,60.0,438.0,0.0,0.0,0.0,1048.0,0.0,41.0,0.0,728.0,0.0,7141.0,2050.0
1100023,Rondônia,Ariquemes,4108.0,3475.0,22574.0,0.0,1444.0,127.0,1513.0,0.0,261.0,375.0,3392.0,0.0,303.0,243.0,4766.0,0.0,38361.0,4220.0
1100031,Rondônia,Cabixi,0.0,170.0,1596.0,0.0,0.0,0.0,260.0,0.0,0.0,37.0,228.0,0.0,0.0,0.0,267.0,0.0,2351.0,207.0
1100049,Rondônia,Cacoal,3744.0,2970.0,17331.0,419.0,706.0,183.0,1626.0,0.0,511.0,0.0,3828.0,172.0,312.0,0.0,3083.0,0.0,31141.0,3744.0
1100056,Rondônia,Cerejeiras,148.0,446.0,4347.0,0.0,39.0,17.0,525.0,0.0,32.0,0.0,740.0,0.0,0.0,0.0,823.0,0.0,6654.0,463.0
1100064,Rondônia,Colorado do Oeste,192.0,1075.0,4029.0,0.0,72.0,0.0,414.0,0.0,0.0,361.0,771.0,0.0,0.0,7.0,753.0,0.0,6231.0,1443.0
1100072,Rondônia,Corumbiara,0.0,1071.0,1353.0,0.0,0.0,0.0,134.0,0.0,0.0,190.0,264.0,0.0,0.0,0.0,297.0,0.0,2048.0,1261.0
1100080,Rondônia,Costa Marques,283.0,1623.0,2658.0,0.0,255.0,109.0,219.0,0.0,0.0,182.0,378.0,0.0,0.0,0.0,396.0,0.0,4189.0,1914.0
1100098,Rondônia,Espigão D'Oeste,396.0,1778.0,6358.0,0.0,86.0,57.0,588.0,0.0,73.0,0.0,1257.0,0.0,66.0,0.0,1217.0,0.0,10041.0,1835.0
1100106,Rondônia,Guajará-Mirim,1133.0,1543.0,10977.0,0.0,267.0,84.0,1116.0,0.0,111.0,0.0,1515.0,0.0,0.0,59.0,1925.0,0.0,17044.0,1686.0
1100114,Rondônia,Jaru,755.0,3306.0,12133.0,0.0,283.0,172.0,1353.0,0.0,68.0,475.0,1810.0,0.0,80.0,215.0,2519.0,0.0,19001.0,4168.0
1100122,Rondônia,Ji-Paraná,3630.0,2692.0,26508.0,203.0,1283.0,0.0,1910.0,0.0,192.0,211.0,4473.0,203.0,547.0,62.0,4212.0,0.0,42755.0,3371.0
1100130,Rondônia,Machadinho D'Oeste,130.0,3349.0,6029.0,0.0,44.0,95.0,522.0,0.0,0.0,169.0,928.0,0.0,30.0,0.0,1396.0,0.0,9079.0,3613.0
1100148,Rondônia,Nova Brasilândia D'Oeste,33.0,1259.0,4278.0,0.0,3.0,79.0,443.0,0.0,0.0,0.0,1011.0,0.0,30.0,0.0,791.0,0.0,6589.0,1338.0
1100155,Rondônia,Ouro Preto do Oeste,655.0,1166.0,9566.0,0.0,97.0,73.0,1380.0,0.0,64.0,0.0,1285.0,0.0,117.0,0.0,1827.0,0.0,14991.0,1239.0
1100189,Rondônia,Pimenta Bueno,838.0,725.0,8981.0,0.0,170.0,57.0,1185.0,0.0,68.0,0.0,1374.0,0.0,233.0,11.0,1580.0,0.0,14429.0,793.0
1100205,Rondônia,Porto Velho,17569.0,16628.0,100105.0,234.0,3439.0,443.0,10790.0,52.0,2614.0,810.0,11963.0,34.0,339.0,1719.0,18568.0,0.0,165387.0,19920.0
1100254,Rondônia,Presidente Médici,206.0,1548.0,4678.0,0.0,27.0,123.0,498.0,0.0,0.0,127.0,794.0,0.0,102.0,0.0,961.0,0.0,7266.0,1798.0
1100262,Rondônia,Rio Crespo,0.0,0.0,1041.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,143.0,0.0,1397.0,0.0
1100288,Rondônia,Rolim de Moura,1109.0,1059.0,13141.0,0.0,178.0,0.0,1568.0,0.0,100.0,0.0,2374.0,0.0,115.0,0.0,1549.0,0.0,20134.0,1059.0
1100296,Rondônia,Santa Luzia D'Oeste,11.0,164.0,1982.0,0.0,4.0,9.0,213.0,0.0,0.0,0.0,353.0,0.0,7.0,0.0,299.0,0.0,2869.0,173.0
1100304,Rondônia,Vilhena,2667.0,643.0,20692.0,0.0,675.0,57.0,2726.0,0.0,291.0,0.0,2917.0,0.0,411.0,0.0,4036.0,0.0,34415.0,700.0
1100320,Rondônia,São Miguel do Guaporé,175.0,2090.0,4358.0,0.0,75.0,154.0,442.0,0.0,0.0,0.0,1096.0,0.0,10.0,0.0,750.0,0.0,6906.0,2244.0
1100338,Rondônia,Nova Mamoré,163.0,3506.0,3627.0,24.0,19.0,143.0,445.0,24.0,0.0,241.0,449.0,0.0,25.0,260.0,735.0,0.0,5463.0,4198.0
1100346,Rondônia,Alvorada D'Oeste,0.0,805.0,3633.0,0.0,0.0,0.0,399.0,0.0,0.0,0.0,869.0,0.0,0.0,0.0,220.0,0.0,5121.0,805.0
1100379,Rondônia,Alto Alegre dos Parecis,16.0,1256.0,2086.0,0.0,3.0,0.0,186.0,0.0,0.0,0.0,544.0,0.0,13.0,0.0,208.0,0.0,3056.0,1256.0
1100403,Rondônia,Alto Paraíso,0.0,1496.0,3011.0,0.0,0.0,0.0,237.0,0.0,0.0,0.0,646.0,0.0,0.0,0.0,373.0,0.0,4267.0,1496.0
1100452,Rondônia,Buritis,153.0,2155.0,8231.0,0.0,97.0,0.0,655.0,0.0,0.0,0.0,1268.0,0.0,43.0,107.0,1232.0,0.0,11679.0,2262.0
1100502,Rondônia,Novo Horizonte do Oeste,0.0,113.0,2703.0,123.0,0.0,0.0,270.0,0.0,0.0,0.0,483.0,123.0,0.0,0.0,439.0,0.0,3895.0,359.0
1100601,Rondônia,Cacaulândia,0.0,356.0,1185.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,221.0,0.0,0.0,26.0,109.0,0.0,1636.0,382.0
1100700,Rondônia,Campo Novo de Rondônia,0.0,1702.0,1595.0,0.0,0.0,30.0,204.0,0.0,0.0,150.0,177.0,0.0,0.0,0.0,275.0,0.0,2251.0,1882.0
1100809,Rondônia,Candeias do Jamari,0.0,1174.0,5225.0,0.0,0.0,140.0,611.0,0.0,0.0,0.0,487.0,0.0,0.0,215.0,967.0,0.0,7290.0,1529.0
1100908,Rondônia,Castanheiras,0.0,715.0,425.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,87.0,85.0,0.0,674.0,894.0
1100924,Rondônia,Chupinguaia,0.0,1082.0,1876.0,0.0,0.0,103.0,337.0,0.0,0.0,83.0,354.0,0.0,0.0,57.0,261.0,0.0,2828.0,1325.0
1100940,Rondônia,Cujubim,0.0,917.0,3843.0,0.0,0.0,0.0,434.0,0.0,0.0,0.0,470.0,0.0,0.0,0.0,586.0,0.0,5333.0,917.0
1101005,Rondônia,Governador Jorge Teixeira,0.0,1723.0,1481.0,0.0,0.0,47.0,173.0,0.0,0.0,267.0,216.0,0.0,0.0,66.0,434.0,0.0,2304.0,2103.0
1101104,Rondônia,Itapuã do Oeste,0.0,166.0,2609.0,0.0,0.0,19.0,283.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,424.0,0.0,3548.0,185.0
1101203,Rondônia,Ministro Andreazza,0.0,636.0,1809.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,321.0,0.0,2548.0,636.0
1101302,Rondônia,Mirante da Serra,111.0,601.0,3077.0,209.0,36.0,43.0,303.0,0.0,0.0,0.0,609.0,119.0,34.0,0.0,545.0,0.0,4715.0,972.0
1101401,Rondônia,Monte Negro,190.0,1291.0,2804.0,0.0,41.0,0.0,219.0,0.0,0.0,0.0,639.0,0.0,107.0,0.0,262.0,0.0,4262.0,1291.0
1101435,Rondônia,Nova União,0.0,849.0,1512.0,0.0,0.0,106.0,147.0,0.0,0.0,0.0,432.0,0.0,0.0,19.0,170.0,0.0,2261.0,974.0
1101450,Rondônia,Parecis,17.0,97.0,1024.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,190.0,0.0,13.0,0.0,54.0,0.0,1378.0,97.0
1101468,Rondônia,Pimenteiras do Oeste,0.0,0.0,613.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,26.0,0.0,801.0,0.0
1101476,Rondônia,Primavera de Rondônia,0.0,370.0,728.0,0.0,0.0,27.0,98.0,0.0,0.0,61.0,110.0,0.0,0.0,0.0,50.0,0.0,986.0,458.0
1101484,Rondônia,São Felipe D'Oeste,0.0,0.0,1512.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,259.0,0.0,0.0,0.0,87.0,0.0,2004.0,0.0
1101492,Rondônia,São Francisco do Guaporé,0.0,1423.0,3491.0,153.0,0.0,0.0,322.0,0.0,0.0,0.0,593.0,91.0,0.0,159.0,693.0,0.0,5099.0,1826.0
1101500,Rondônia,Seringueiras,0.0,1415.0,2606.0,0.0,0.0,96.0,140.0,0.0,0.0,0.0,562.0,0.0,0.0,102.0,658.0,0.0,3966.0,1613.0
1101559,Rondônia,Teixeirópolis,0.0,374.0,1125.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,281.0,0.0,0.0,0.0,98.0,0.0,1719.0,374.0
1101609,Rondônia,Theobroma,0.0,1812.0,1072.0,0.0,0.0,187.0,62.0,0.0,0.0,0.0,463.0,0.0,0.0,0.0,186.0,0.0,1783.0,1999.0
1101708,Rondônia,Urupá,0.0,1254.0,2449.0,0.0,0.0,0.0,317.0,0.0,0.0,0.0,624.0,0.0,0.0,0.0,411.0,0.0,3801.0,1254.0
1101757,Rondônia,Vale do Anari,23.0,983.0,1718.0,0.0,0.0,19.0,110.0,0.0,0.0,0.0,498.0,0.0,0.0,0.0,255.0,0.0,2604.0,1002.0
1101807,Rondônia,Vale do Paraíso,0.0,416.0,1833.0,113.0,0.0,28.0,216.0,0.0,0.0,0.0,418.0,0.0,0.0,0.0,142.0,0.0,2609.0,557.0
1200013,Acre,Acrelândia,0.0,1878.0,2715.0,0.0,0.0,179.0,414.0,0.0,0.0,177.0,395.0,0.0,0.0,193.0,302.0,0.0,3826.0,2427.0
1200054,Acre,Assis Brasil,0.0,1357.0,1840.0,0.0,0.0,123.0,283.0,0.0,0.0,73.0,239.0,0.0,0.0,18.0,318.0,0.0,2680.0,1571.0
1200104,Acre,Brasiléia,58.0,1935.0,5350.0,0.0,58.0,114.0,659.0,0.0,0.0,184.0,1120.0,0.0,0.0,178.0,421.0,0.0,7666.0,2411.0
1200138,Acre,Bujari,0.0,1426.0,1903.0,0.0,0.0,75.0,340.0,0.0,0.0,40.0,317.0,0.0,0.0,213.0,186.0,0.0,2746.0,1754.0
1200179,Acre,Capixaba,0.0,1345.0,2134.0,0.0,0.0,101.0,193.0,0.0,0.0,64.0,305.0,0.0,0.0,240.0,210.0,0.0,2842.0,1750.0
1200203,Acre,Cruzeiro do Sul,1064.0,9000.0,21458.0,0.0,270.0,997.0,3088.0,0.0,162.0,941.0,3915.0,0.0,62.0,586.0,1742.0,0.0,31761.0,11524.0
1200252,Acre,Epitaciolândia,0.0,1186.0,3599.0,0.0,0.0,10.0,569.0,0.0,0.0,71.0,734.0,0.0,0.0,232.0,283.0,0.0,5185.0,1499.0
1200302,Acre,Feijó,0.0,5922.0,6099.0,0.0,0.0,510.0,805.0,0.0,0.0,56.0,1054.0,0.0,0.0,1160.0,388.0,0.0,8346.0,7648.0
1200328,Acre,Jordão,0.0,2283.0,1391.0,0.0,0.0,79.0,306.0,0.0,0.0,0.0,230.0,0.0,0.0,24.0,163.0,0.0,2090.0,2386.0
1200336,Acre,Mâncio Lima,0.0,2288.0,3855.0,0.0,0.0,253.0,701.0,0.0,0.0,273.0,603.0,0.0,0.0,311.0,191.0,0.0,5350.0,3125.0
