CO_MUNICIPIO,NO_UF,NO_MUNICIPIO,QT_MAT_FUND_Privada_Urbana,QT_MAT_FUND_Pública_Rural,QT_MAT_FUND_Pública_Urbana,QT_MAT_FUND_Privada_Rural,QT_MAT_MED_Privada_Urbana,QT_MAT_MED_Pública_Rural,QT_MAT_MED_Pública_Urbana,QT_MAT_MED_Privada_Rural,Total_Fundamental,Total_Medio
1100015,Rondônia,Alta Floresta D'Oeste,36.0,2128.0,2570.0,0.0,0.0,0.0,1051.0,0.0,4734.0,1051.0
1100023,Rondônia,Ariquemes,1462.0,2723.0,13133.0,0.0,264.0,173.0,3463.0,0.0,17318.0,3900.0
1100031,Rondônia,Cabixi,0.0,146.0,917.0,0.0,0.0,41.0,220.0,0.0,1063.0,261.0
1100049,Rondônia,Cacoal,1733.0,3061.0,8875.0,46.0,566.0,0.0,3695.0,161.0,13715.0,4422.0
1100056,Rondônia,Cerejeiras,88.0,456.0,2337.0,0.0,27.0,0.0,689.0,0.0,2881.0,716.0
1100064,Rondônia,Colorado do Oeste,0.0,779.0,2160.0,0.0,0.0,378.0,745.0,0.0,2939.0,1123.0
1100072,Rondônia,Corumbiara,0.0,586.0,1030.0,0.0,0.0,0.0,460.0,0.0,1616.0,460.0
1100080,Rondônia,Costa Marques,0.0,1250.0,1902.0,0.0,0.0,0.0,542.0,0.0,3152.0,542.0
1100098,Rondônia,Espigão D'Oeste,183.0,1799.0,3451.0,0.0,71.0,0.0,1120.0,0.0,5433.0,1191.0
1100106,Rondônia,Guajará-Mirim,600.0,1256.0,6702.0,0.0,109.0,13.0,1364.0,0.0,8558.0,1486.0
1100114,Rondônia,Jaru,337.0,2671.0,6545.0,0.0,64.0,493.0,1692.0,0.0,9553.0,2249.0
1100122,Rondônia,Ji-Paraná,1601.0,2707.0,16026.0,0.0,248.0,245.0,4045.0,0.0,20334.0,4538.0
1100130,Rondônia,Machadinho D'Oeste,62.0,3243.0,3143.0,0.0,0.0,0.0,763.0,0.0,6448.0,763.0
1100148,Rondônia,Nova Brasilândia D'Oeste,0.0,1360.0,2073.0,0.0,0.0,0.0,969.0,0.0,3433.0,969.0
1100155,Rondônia,Ouro Preto do Oeste,344.0,1517.0,4985.0,0.0,56.0,0.0,1193.0,0.0,6846.0,1249.0
1100189,Rondônia,Pimenta Bueno,266.0,661.0,4868.0,0.0,61.0,0.0,1330.0,0.0,5795.0,1391.0
1100205,Rondônia,Porto Velho,9777.0,12809.0,57856.0,0.0,2494.0,759.0,10484.0,0.0,80442.0,13737.0
