NO_UF,Total_Fundamental,Total_Medio,Total_Geral
Acre,157646.0,38141.0,195787.0
Alagoas,490587.0,118393.0,608980.0
Amapá,136185.0,35427.0,171612.0
Amazonas,705007.0,205698.0,910705.0
Bahia,2034711.0,566952.0,2601663.0
Ceará,1198116.0,367781.0,1565897.0
Distrito Federal,377622.0,109938.0,487560.0
Espírito Santo,502059.0,116959.0,619018.0
Goiás,877593.0,233412.0,1111005.0
Maranhão,1178949.0,311830.0,1490779.0
Mato Grosso,471613.0,140019.0,611632.0
Mato Grosso do Sul,404114.0,102123.0,506237.0
Minas Gerais,2511483.0,821349.0,3332832.0
Paraná,1427218.0,424898.0,1852116.0
Paraíba,556248.0,141297.0,697545.0
Pará,1439788.0,359331.0,1799119.0
Pernambuco,1301930.0,339909.0,1641839.0
Piauí,480126.0,135125.0,615251.0
Rio Grande do Norte,467629.0,124592.0,592221.0
Rio Grande do Sul,1298736.0,338065.0,1636801.0
Rio de Janeiro,2003315.0,572899.0,2576214.0
Rondônia,269626.0,59573.0,329199.0
Roraima,96582.0,22191.0,118773.0
Santa Catarina,851993.0,242534.0,1094527.0
Sergipe,331297.0,77939.0,409236.0
São Paulo,5367614.0,1640170.0,7007784.0
Tocantins,246183.0,63384.0,309567.0
