Estado,UF,IDHM Educação 2012,IDHM Educação 2013,IDHM Educação 2014,IDHM Educação 2015,IDHM Educação 2016,IDHM Educação 2017,IDHM Educação 2018,IDHM Educação 2019,IDHM Educação 2020,IDHM Educação 2021,IDHM Renda 2012,IDHM Renda 2013,IDHM Renda 2014,IDHM Renda 2015,IDHM Renda 2016,IDHM Renda 2017,IDHM Renda 2018,IDHM Renda 2019,IDHM Renda 2020,IDHM Renda 2021,Abandono_EF2012,Abandono_EM2012,Abandono_EF2013,Abandono_EM2013,Abandono_EF2014,Abandono_EM2014,Abandono_EF2015,Abandono_EM2015,Abandono_EF2016,Abandono_EM2016,Abandono_EF2017,Abandono_EM2017,Abandono_EF2018,Abandono_EM2018,Abandono_EF2019,Abandono_EM2019,Abandono_EF2020,Abandono_EM2020,Abandono_EF2021,Abandono_EM2021,Abandono_EF2022,Abandono_EM2022,Abandono_EF2023,Abandono_EM2023,valor_medio_bf_ajustado_2012,qtd_familias_beneficiarias_bolsa_familia_ajustado_2012,valor_medio_bf_ajustado_2013,qtd_familias_beneficiarias_bolsa_familia_ajustado_2013,valor_medio_bf_ajustado_2014,qtd_familias_beneficiarias_bolsa_familia_ajustado_2014,valor_medio_bf_ajustado_2015,qtd_familias_beneficiarias_bolsa_familia_ajustado_2015,valor_medio_bf_ajustado_2016,qtd_familias_beneficiarias_bolsa_familia_ajustado_2016,valor_medio_bf_ajustado_2017,qtd_familias_beneficiarias_bolsa_familia_ajustado_2017,valor_medio_bf_ajustado_2018,qtd_familias_beneficiarias_bolsa_familia_ajustado_2018,valor_medio_bf_ajustado_2019,qtd_familias_beneficiarias_bolsa_familia_ajustado_2019,valor_medio_bf_ajustado_2020,qtd_familias_beneficiarias_bolsa_familia_ajustado_2020,valor_medio_bf_ajustado_2021,qtd_familias_beneficiarias_bolsa_familia_ajustado_2021,valor_medio_bf_ajustado_2023,qtd_familias_beneficiarias_bolsa_familia_ajustado_2023,UF_y,Índice de Atkinson - Educação 2012,Índice de Atkinson - Educação 2013,Índice de Atkinson - Educação 2014,Índice de Atkinson - Educação 2015,Índice de Atkinson - Educação 2016,Índice de Atkinson - Educação 2017,Índice de Atkinson - Educação 2018,Índice de Atkinson - Educação 2019,Índice de Atkinson - Educação 2020,Índice de Atkinson - Educação 2021,Índice de Atkinson - Renda 2012,Índice de Atkinson - Renda 2013,Índice de Atkinson - Renda 2014,Índice de Atkinson - Renda 2015,Índice de Atkinson - Renda 2016,Índice de Atkinson - Renda 2017,Índice de Atkinson - Renda 2018,Índice de Atkinson - Renda 2019,Índice de Atkinson - Renda 2020,Índice de Atkinson - Renda 2021
Acre,AC,0.649,0.658,0.679,0.679,0.704,0.671,0.706,0.728,0.753,0.692,0.67,0.67,0.669,0.674,0.66,0.655,0.676,0.668,0.668,0.655,5270,4006,4409,4169,4423,4436,4396,4177,3691,3832,3667,2735,3468,2403,3284,2439,2820,1296,3978,2522,4040,3706,3684,2453,361.93,67021.0,364.93,72393.0,376.98,78772.0,374.12,83868.0,349.9,83868.0,358.37,83933.0,347.57,87792.0,345.43,89453.0,112.29,89665.0,209.16,75661.0,7545.87,109169.0,AC,0.281,0.283,0.289,0.274,0.278,0.268,0.246,0.237,0.22,0.212,0.422,0.402,0.393,0.404,0.404,0.422,0.44,0.454,0.378,0.432
Alagoas,AL,0.587,0.573,0.599,0.605,0.635,0.634,0.651,0.643,0.66,0.679,0.627,0.629,0.645,0.636,0.637,0.631,0.637,0.636,0.645,0.63,44245,23988,36121,19369,30730,17789,26694,17013,23686,15679,16610,10347,14227,9708,7136,7088,5112,587,5047,9718,7253,8543,2634,3143,294.55,429494.0,277.73,430818.0,277.21,440527.0,270.36,400354.0,252.85,400354.0,257.33,394360.0,251.46,406651.0,249.87,401443.0,71.15,401777.0,119.13,344393.0,6920.52,454120.0,AL,0.296,0.295,0.296,0.297,0.294,0.28,0.281,0.27,0.264,0.239,0.352,0.371,0.383,0.381,0.393,0.395,0.437,0.405,0.366,0.397
Amapá,AP,0.659,0.714,0.688,0.69,0.709,0.7,0.742,0.728,0.701,0.647,0.673,0.691,0.687,0.69,0.682,0.683,0.666,0.665,0.663,0.648,5039,6925,4367,5368,4028,4867,3972,4239,3963,3564,3264,3294,3268,3684,2720,3200,1887,759,2811,2560,2253,2235,1451,1557,343.57,52285.0,322.95,52819.0,324.54,54322.0,304.34,62786.0,284.63,62786.0,292.7,65812.0,287.67,74393.0,287.48,77334.0,87.21,76149.0,149.75,63200.0,7343.52,102296.0,AP,0.184,0.199,0.196,0.192,0.17,0.172,0.178,0.167,0.152,0.138,0.361,0.348,0.349,0.398,0.419,0.421,0.428,0.376,0.365,0.401
Amazonas,AM,0.632,0.659,0.667,0.686,0.705,0.732,0.717,0.735,0.748,0.72,0.683,0.683,0.683,0.673,0.654,0.672,0.655,0.658,0.657,0.641,42742,21056,37671,21857,31724,23174,28272,21251,23795,17880,22124,17783,19740,21598,16804,20923,5601,208,17569,11622,16726,15592,9004,7970,338.33,323646.0,321.14,337072.0,326.07,360383.0,324.16,370706.0,303.17,370706.0,310.52,377145.0,301.0,399775.0,295.9,401302.0,89.37,403867.0,159.31,338290.0,7558.17,530196.0,AM,0.202,0.195,0.204,0.196,0.202,0.181,0.165,0.156,0.148,0.149,0.417,0.389,0.393,0.396,0.416,0.438,0.405,0.424,0.392,0.41
Bahia,BA,0.593,0.594,0.619,0.64,0.656,0.655,0.66,0.672,0.69,0.659,0.666,0.667,0.676,0.671,0.662,0.675,0.664,0.673,0.679,0.648,127753,83059,98488,49483,98563,56201,85013,41510,86618,42213,76940,48476,67145,51026,51768,38686,40891,5574,64250,67370,55404,66648,29849,24820,285.55,1777116.0,272.88,1782273.0,273.59,1803448.0,262.69,1821744.0,245.68,1821744.0,249.72,1783978.0,243.15,1838569.0,241.39,1810753.0,67.97,1814614.0,114.21,1548387.0,6711.84,2116136.0,BA,0.275,0.273,0.256,0.252,0.261,0.251,0.251,0.237,0.225,0.238,0.405,0.385,0.366,0.378,0.383,0.422,0.417,0.418,0.369,0.411
Ceará,CE,0.667,0.667,0.679,0.689,0.708,0.715,0.74,0.74,0.766,0.766,0.648,0.656,0.656,0.657,0.656,0.666,0.666,0.677,0.684,0.658,31697,39453,25356,34001,23551,30688,19098,26885,18730,32668,13441,22177,10783,16918,8246,12609,10488,10149,3484,6984,3460,10423,2269,7175,285.5,1089065.0,271.35,1086097.0,270.92,1096334.0,258.28,1054275.0,241.56,1054275.0,247.15,1018027.0,243.3,1055398.0,243.19,1047277.0,65.44,1065956.0,111.39,913900.0,6785.71,1240051.0,CE,0.28,0.284,0.271,0.272,0.271,0.252,0.243,0.242,0.218,0.221,0.406,0.387,0.366,0.383,0.389,0.396,0.4,0.405,0.388,0.418
Distrito Federal,DF,0.768,0.794,0.791,0.789,0.822,0.797,0.808,0.842,0.825,0.817,0.846,0.848,0.845,0.847,0.836,0.842,0.836,0.841,0.827,0.821,5764,8160,4836,6004,4769,5751,5491,4306,4263,3967,4578,5021,2643,3958,2999,4071,746,671,369,1168,2190,4119,1807,3343,248.95,87417.0,226.44,90252.0,230.03,89917.0,226.9,84069.0,212.21,84069.0,218.61,80031.0,222.12,76496.0,229.06,70330.0,67.13,79961.0,110.25,74506.0,6937.2,149686.0,DF,0.126,0.124,0.13,0.124,0.132,0.123,0.115,0.107,0.096,0.088,0.417,0.41,0.396,0.393,0.4,0.424,0.417,0.376,0.387,0.421
Espírito Santo,ES,0.692,0.701,0.709,0.726,0.732,0.731,0.743,0.741,0.758,0.742,0.73,0.734,0.742,0.731,0.727,0.727,0.735,0.747,0.733,0.715,7394,10027,6791,9832,7224,9177,5600,6191,4551,4918,4032,3594,3514,3275,2513,2399,2510,2641,3521,2970,2510,2287,1495,2017,272.68,195000.0,238.15,198306.0,239.06,195646.0,232.39,183860.0,217.35,183860.0,222.57,167571.0,224.66,175498.0,224.88,177666.0,64.54,189696.0,108.93,170032.0,6826.79,256015.0,ES,0.184,0.175,0.17,0.171,0.175,0.166,0.146,0.152,0.141,0.146,0.327,0.335,0.335,0.337,0.346,0.352,0.344,0.355,0.335,0.371
Goiás,GO,0.698,0.71,0.723,0.722,0.754,0.743,0.757,0.77,0.79,0.778,0.73,0.74,0.739,0.731,0.724,0.735,0.735,0.729,0.722,0.714,23768,18876,13516,15894,13411,15051,11531,15116,9763,13365,7023,5187,7021,5835,5214,4506,6029,4323,5130,3103,4314,3987,2605,1345,274.43,339214.0,246.15,338706.0,246.74,337628.0,228.45,318202.0,213.66,318202.0,209.63,307186.0,204.36,307203.0,204.22,294850.0,63.06,299734.0,92.72,261117.0,6813.16,418519.0,GO,0.19,0.188,0.179,0.176,0.186,0.175,0.157,0.163,0.144,0.154,0.293,0.28,0.293,0.278,0.302,0.312,0.32,0.308,0.289,0.306
Maranhão,MA,0.611,0.639,0.639,0.649,0.673,0.684,0.685,0.704,0.726,0.716,0.602,0.607,0.61,0.613,0.615,0.616,0.613,0.614,0.621,0.603,48312,37013,42501,33661,41502,30539,37149,25593,35293,25892,29941,19429,27116,20893,20762,13642,25851,15031,27816,17870,18438,13313,10457,9639,312.96,937526.0,309.5,946252.0,312.21,976904.0,304.14,964011.0,284.45,964011.0,288.98,962768.0,280.44,985476.0,276.8,959951.0,85.84,952726.0,140.76,805542.0,7051.29,1023767.0,MA,0.298,0.291,0.278,0.282,0.282,0.28,0.265,0.261,0.236,0.237,0.368,0.348,0.331,0.359,0.375,0.383,0.414,0.413,0.347,0.413
