ibge,siglauf,anomes,qtd_ben_bas,qtd_ben_var,qtd_ben_bvj,qtd_ben_bvn,qtd_ben_bvg,qtd_ben_bsp
110001,RO,201901,1181,2381,233,41,14,209
110001,RO,201902,1155,2333,244,39,36,209
110001,RO,201903,1157,2350,249,39,49,208
110001,RO,201904,1170,2376,254,42,48,206
110001,RO,201905,1167,2389,264,49,65,221
110001,RO,201906,1151,2352,270,45,64,221
110001,RO,201907,1153,2349,280,44,65,220
110001,RO,201908,1155,2333,287,43,59,215
110001,RO,201909,1141,2318,293,43,69,199
110001,RO,201910,1132,2294,303,36,71,201
110001,RO,201911,1097,2233,294,30,56,198
110001,RO,201912,1094,2255,299,32,49,204
110002,RO,201901,2522,6375,624,146,76,597
110002,RO,201902,2501,6352,650,149,90,585
110002,RO,201903,2536,6442,681,145,140,575
110002,RO,201904,2535,6493,712,142,133,554
110002,RO,201905,2540,6534,729,149,168,537
110002,RO,201906,2462,6285,706,144,161,509
110002,RO,201907,2399,6180,723,140,165,482
110002,RO,201908,2370,6084,742,126,148,465
110002,RO,201909,2282,5785,720,109,176,429
110002,RO,201910,2276,5756,730,98,180,413
110002,RO,201911,2216,5542,694,84,161,383
110002,RO,201912,2213,5539,705,80,126,379
110003,RO,201901,96,288,34,6,3,27
110003,RO,201902,101,299,35,6,3,27
110003,RO,201903,101,298,35,6,3,29
110003,RO,201904,108,305,38,5,3,31
110003,RO,201905,117,321,36,5,7,32
110003,RO,201906,103,299,33,4,5,28
110003,RO,201907,107,330,33,2,5,29
110003,RO,201908,105,297,32,2,4,30
110003,RO,201909,96,290,31,1,5,28
110003,RO,201910,95,290,34,0,6,28
110003,RO,201911,95,298,32,1,6,27
110003,RO,201912,88,278,34,1,6,26
110004,RO,201901,1606,4323,465,86,66,541
110004,RO,201902,1674,4375,484,87,87,576
110004,RO,201903,1699,4422,503,82,95,600
110004,RO,201904,1703,4419,517,73,90,606
110004,RO,201905,1747,4509,535,67,104,628
110004,RO,201906,1651,4289,524,63,110,609
110004,RO,201907,1620,4249,529,63,106,601
110004,RO,201908,1616,4214,544,56,102,588
110004,RO,201909,1557,4041,526,48,116,572
110004,RO,201910,1569,4034,535,49,115,577
110004,RO,201911,1549,3968,519,54,98,566
110004,RO,201912,1547,3947,532,56,98,572
110005,RO,201901,498,1157,106,38,14,38
110005,RO,201902,484,1149,108,36,18,38
110005,RO,201903,487,1156,114,34,23,39
110005,RO,201904,479,1174,116,29,23,40
110005,RO,201905,490,1173,117,23,30,39
110005,RO,201906,475,1130,116,21,28,38
110005,RO,201907,474,1141,118,17,28,38
110005,RO,201908,466,1122,122,20,26,36
110005,RO,201909,456,1086,128,15,36,35
110005,RO,201910,477,1119,131,15,36,37
110005,RO,201911,449,1052,128,10,34,32
110005,RO,201912,459,1070,130,12,32,34
110006,RO,201901,187,625,73,15,10,33
110006,RO,201902,190,613,75,14,10,34
110006,RO,201903,194,617,81,15,8,39
110006,RO,201904,192,592,83,14,8,39
110006,RO,201905,199,603,88,14,12,46
110006,RO,201906,190,573,89,9,12,46
110006,RO,201907,183,547,87,9,13,44
110006,RO,201908,186,540,86,7,12,47
110006,RO,201909,185,521,88,5,12,48
110006,RO,201910,189,527,87,7,14,50
110006,RO,201911,181,509,89,5,12,49
110006,RO,201912,183,514,88,9,19,49
110007,RO,201901,289,677,84,14,24,23
110007,RO,201902,285,674,85,14,23,20
110007,RO,201903,286,673,86,13,20,23
110007,RO,201904,288,679,91,14,18,21
110007,RO,201905,289,671,97,17,22,20
110007,RO,201906,281,659,104,15,25,20
110007,RO,201907,273,646,106,14,23,20
110007,RO,201908,268,644,106,15,16,19
110007,RO,201909,277,630,103,14,20,15
110007,RO,201910,279,625,106,11,21,16
110007,RO,201911,269,594,107,5,23,14
110007,RO,201912,265,596,108,5,25,12
110008,RO,201901,1513,2629,310,65,71,507
110008,RO,201902,1522,2616,323,55,84,496
110008,RO,201903,1526,2635,343,52,80,496
110008,RO,201904,1549,2626,362,54,69,480
110008,RO,201905,1574,2661,370,61,66,454
110008,RO,201906,1557,2641,374,61,75,439
110008,RO,201907,1548,2621,393,56,85,434
110008,RO,201908,1540,2612,403,65,82,426
110008,RO,201909,1514,2549,409,59,95,420
110008,RO,201910,1515,2550,416,52,86,418
110008,RO,201911,1486,2509,419,35,76,404
110008,RO,201912,1481,2475,437,35,79,398
110009,RO,201901,893,2388,264,46,54,212
110009,RO,201902,898,2402,271,55,55,212
110009,RO,201903,936,2452,291,58,57,221
110009,RO,201904,939,2456,306,52,56,226
110009,RO,201905,972,2488,317,51,45,221
110009,RO,201906,943,2399,320,46,46,220
110009,RO,201907,944,2379,335,35,44,222
110009,RO,201908,945,2363,349,31,41,220
110009,RO,201909,929,2326,351,32,53,218
110009,RO,201910,925,2315,350,31,52,221
110009,RO,201911,913,2257,334,34,56,220
110009,RO,201912,923,2279,343,33,54,229
110010,RO,201901,2428,6250,757,65,140,352
110010,RO,201902,2417,6227,776,74,130,354
110010,RO,201903,2451,6421,798,76,141,368
110010,RO,201904,2469,6403,823,71,116,376
110010,RO,201905,2457,6361,851,65,103,389
110010,RO,201906,2405,6208,864,63,124,376
110010,RO,201907,2422,6233,890,70,141,391
110010,RO,201908,2413,6239,915,66,123,382
110010,RO,201909,2386,6151,915,77,147,391
110010,RO,201910,2378,6109,944,70,149,403
110010,RO,201911,2305,5971,924,74,140,404
110010,RO,201912,2341,6006,946,82,138,409
110011,RO,201901,1052,3396,388,77,63,48
110011,RO,201902,1052,3400,393,73,74,49
110011,RO,201903,1029,3414,402,65,71,51
110011,RO,201904,1027,3423,415,64,63,53
110011,RO,201905,1040,3440,421,58,84,50
110011,RO,201906,1005,3351,425,50,82,51
110011,RO,201907,997,3320,439,50,85,45
110011,RO,201908,996,3303,459,57,76,41
110011,RO,201909,957,3189,452,50,90,39
110011,RO,201910,944,3158,471,46,92,37
110011,RO,201911,894,3043,472,43,84,34
110011,RO,201912,874,3003,483,43,73,34
110012,RO,201901,1287,4604,376,71,64,206
110012,RO,201902,1284,4595,397,59,54,201
110012,RO,201903,1281,4609,410,44,64,199
110012,RO,201904,1257,4598,444,50,60,197
110012,RO,201905,1243,4561,455,36,96,193
110012,RO,201906,1181,4309,448,39,97,174
110012,RO,201907,1134,4245,459,42,107,166
110012,RO,201908,1120,4200,462,44,80,162
110012,RO,201909,1037,3901,448,38,89,142
110012,RO,201910,1012,3852,452,33,102,136
110012,RO,201911,977,3748,433,44,96,130
110012,RO,201912,946,3671,452,38,85,125
110013,RO,201901,954,3471,356,66,47,62
110013,RO,201902,934,3420,365,64,73,60
110013,RO,201903,919,3384,381,56,84,59
110013,RO,201904,916,3344,378,44,78,57
110013,RO,201905,960,3395,400,44,85,54
110013,RO,201906,919,3328,394,36,83,49
110013,RO,201907,899,3260,402,37,87,47
110013,RO,201908,896,3241,413,38,83,44
110013,RO,201909,866,3144,411,35,107,39
110013,RO,201910,854,3116,418,35,109,39
110013,RO,201911,823,2977,398,29,85,37
110013,RO,201912,805,2952,395,28,80,36
