ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
110001,201301,2077,279192.0
110002,201301,5291,712190.0
110003,201301,563,75298.0
110004,201301,5482,709572.0
110005,201301,1151,147202.0
110006,201301,1090,135876.0
110007,201301,844,108874.0
110008,201301,1462,228012.0
110009,201301,2615,376752.0
110010,201301,4236,678258.0
110011,201301,4066,496396.0
110012,201301,5927,791140.0
110013,201301,3101,438824.0
110014,201301,2456,327650.0
110015,201301,2147,254770.0
110018,201301,1595,209796.0
110020,201301,23404,3480926.0
110025,201301,2075,309262.0
110026,201301,338,55760.0
110028,201301,3847,522642.0
110029,201301,782,90294.0
110030,201301,3839,547544.0
110032,201301,2441,326436.0
110033,201301,2779,371500.0
110034,201301,2230,322450.0
110037,201301,1433,231660.0
110040,201301,2117,268788.0
110045,201301,3343,509640.0
110050,201301,991,138874.0
110060,201301,513,83836.0
110070,201301,1308,237694.0
110080,201301,1479,223010.0
110090,201301,383,49444.0
110092,201301,706,118916.0
110094,201301,1560,231062.0
110100,201301,1533,230780.0
110110,201301,1041,139182.0
110120,201301,965,124136.0
110130,201301,1466,181654.0
110140,201301,1398,197346.0
110143,201301,604,92438.0
110145,201301,536,68654.0
110146,201301,215,32676.0
110147,201301,420,58620.0
110148,201301,730,85262.0
110149,201301,1848,258730.0
110150,201301,1386,177456.0
110155,201301,419,55636.0
110160,201301,1434,188354.0
110170,201301,1669,216010.0
110175,201301,994,147240.0
110180,201301,935,118238.0
120001,201301,1383,235174.0
120005,201301,879,206416.0
120010,201301,2339,411430.0
120013,201301,860,178974.0
120017,201301,1059,173640.0
120020,201301,8984,1933338.0
120025,201301,1371,204978.0
120030,201301,3750,717538.0
120032,201301,991,270496.0
120033,201301,2358,646118.0
120034,201301,1104,257386.0
120035,201301,1306,359706.0
120038,201301,1659,269322.0
120039,201301,1061,291446.0
120040,201301,23052,3539164.0
120042,201301,1757,416398.0
120043,201301,538,180482.0
120045,201301,2314,391786.0
120050,201301,5029,955326.0
120060,201301,3388,873566.0
120070,201301,1529,277282.0
120080,201301,1917,366350.0
130002,201301,1878,363210.0
130006,201301,1291,278822.0
130008,201301,1284,277468.0
130010,201301,2007,317312.0
130014,201301,1880,302358.0
130020,201301,1945,471128.0
130030,201301,4331,817912.0
130040,201301,2476,465386.0
130050,201301,3549,711002.0
130060,201301,4041,944300.0
130063,201301,2314,527912.0
130068,201301,2011,416374.0
130070,201301,4355,712112.0
130080,201301,3565,683262.0
130083,201301,1306,217208.0
130090,201301,1620,345248.0
130100,201301,3730,712202.0
130110,201301,3991,595050.0
130115,201301,2700,433266.0
130120,201301,9009,1738960.0
130130,201301,2415,458684.0
130140,201301,4455,952392.0
130150,201301,2537,490250.0
130160,201301,3130,631358.0
130165,201301,2214,398292.0
130170,201301,4551,724350.0
130180,201301,2629,464170.0
130185,201301,5639,907572.0
130190,201301,9462,1509786.0
130195,201301,1374,266606.0
130200,201301,1203,213708.0
130210,201301,714,150072.0
130220,201301,1366,296884.0
130230,201301,2464,663856.0
130240,201301,5662,1060370.0
130250,201301,10593,1952022.0
130255,201301,3013,424428.0
130260,201301,122375,1.7157432E7
130270,201301,5373,948702.0
130280,201301,2145,573904.0
130290,201301,7794,1754556.0
130300,201301,2794,570820.0
130310,201301,3028,563908.0
130320,201301,1727,284228.0
130330,201301,2294,474032.0
130340,201301,11159,1973136.0
130350,201301,2616,542304.0
130353,201301,2493,413044.0
130356,201301,1988,314696.0
130360,201301,2027,402710.0
130370,201301,3069,656694.0
130380,201301,4560,921634.0
130390,201301,3514,726508.0
130395,201301,1277,199936.0
130400,201301,1250,288810.0
130406,201301,5876,978248.0
130410,201301,2690,437398.0
130420,201301,7363,1309516.0
130423,201301,2109,546430.0
130426,201301,1349,233228.0
130430,201301,2315,446190.0
130440,201301,2171,539676.0
140002,201301,1003,178096.0
140005,201301,1666,279388.0
140010,201301,23670,3361978.0
140015,201301,1823,367298.0
140017,201301,2092,362828.0
140020,201301,2685,465750.0
140023,201301,1234,223002.0
140028,201301,1372,219536.0
140030,201301,2353,371558.0
140040,201301,1059,264866.0
140045,201301,1278,329314.0
140047,201301,3539,500163.0
140050,201301,1007,165318.0
140060,201301,962,142824.0
140070,201301,1274,352558.0
150010,201301,20862,3926466.0
150013,201301,1007,132968.0
150020,201301,6844,1208024.0
150030,201301,4560,764354.0
150034,201301,3552,430182.0
150040,201301,7939,1403926.0
150050,201301,3715,694022.0
150060,201301,7671,1079418.0
150070,201301,3619,638248.0
150080,201301,37096,4757262.0
150085,201301,3064,513450.0
150090,201301,6395,1182972.0
150095,201301,3177,494446.0
150100,201301,2389,445614.0
150110,201301,2768,747198.0
150120,201301,4634,724458.0
150125,201301,375,53822.0
150130,201301,10344,1923070.0
150140,201301,85516,1.0903048E7
150145,201301,2714,429592.0
150150,201301,5661,771384.0
150157,201301,1890,260668.0
150160,201301,1680,235120.0
150170,201301,15322,2559032.0
150172,201301,1865,293738.0
150175,201301,1201,180632.0
150178,201301,7352,1206412.0
150180,201301,11671,2080888.0
150190,201301,4839,851186.0
150195,201301,2773,496314.0
150200,201301,2831,577374.0
150210,201301,18274,3142554.0
150215,201301,2705,378292.0
150220,201301,8146,1116832.0
150230,201301,8224,1098104.0
150240,201301,19341,2523268.0
150250,201301,2376,383492.0
150260,201301,1480,255108.0
150270,201301,5141,744618.0
150275,201301,3494,642514.0
150276,201301,1300,208342.0
150277,201301,3033,401092.0
150280,201301,4333,794788.0
150285,201301,2034,416128.0
150290,201301,5607,891972.0
150293,201301,4568,617734.0
150295,201301,3649,552440.0
150300,201301,1340,204120.0
150304,201301,2531,369136.0
150307,201301,4382,819804.0
150309,201301,3492,483956.0
150310,201301,3772,877752.0
150320,201301,5510,743190.0
150330,201301,9078,1418228.0
150340,201301,1269,179516.0
150345,201301,4613,797976.0
150350,201301,5046,759960.0
150360,201301,11747,1798074.0
150370,201301,5701,878220.0
150375,201301,1895,489856.0
150380,201301,6478,1060524.0
150390,201301,4768,855960.0
150400,201301,3739,567402.0
150405,201301,4338,663166.0
150410,201301,1121,196668.0
150420,201301,17271,2892664.0
150430,201301,4560,740568.0
150440,201301,4014,695169.0
150442,201301,12430,1697714.0
150445,201301,3443,520436.0
150450,201301,3338,731656.0
150460,201301,4099,848948.0
150470,201301,8633,1670564.0
150475,201301,,
150480,201301,9891,1982004.0
150490,201301,4263,770526.0
150495,201301,3084,576724.0
150497,201301,1958,288856.0
150500,201301,2112,284154.0
150503,201301,1657,242816.0
150506,201301,7241,1064218.0
150510,201301,6141,1126096.0
150520,201301,4106,833778.0
150530,201301,6785,1130228.0
150540,201301,2831,511114.0
150543,201301,2354,329352.0
150548,201301,5321,969272.0
150549,201301,1374,243858.0
150550,201301,11276,1643962.0
150553,201301,7792,1004136.0
150555,201301,923,136868.0
150560,201301,1452,213306.0
150563,201301,1921,288110.0
150565,201301,2458,429528.0
150570,201301,3583,569468.0
150580,201301,6329,1191108.0
150590,201301,4313,927672.0
150600,201301,4922,866654.0
150610,201301,1592,265992.0
150611,201301,1905,324550.0
150613,201301,6316,826178.0
150616,201301,1662,207440.0
150618,201301,4283,581840.0
150619,201301,3296,527974.0
150620,201301,3916,616054.0
150630,201301,3111,570094.0
150635,201301,2176,315082.0
150640,201301,1141,195728.0
150650,201301,6795,879486.0
150655,201301,3265,528898.0
150658,201301,2885,376298.0
150660,201301,3761,490444.0
150670,201301,3001,380688.0
150680,201301,29487,4644008.0
150690,201301,1265,201484.0
150700,201301,4035,579564.0
150710,201301,2683,436808.0
150715,201301,3244,473492.0
150720,201301,4274,916972.0
150730,201301,5930,975320.0
150740,201301,2166,294410.0
150745,201301,3818,563390.0
150746,201301,902,138188.0
150747,201301,3719,570450.0
150750,201301,1797,303542.0
150760,201301,7320,1065699.0
150770,201301,3798,759802.0
150775,201301,556,87778.0
150780,201301,2201,464626.0
150790,201301,2977,533824.0
150795,201301,8638,1359536.0
150796,201301,1838,295970.0
150797,201301,2381,419884.0
150800,201301,8077,1388608.0
150803,201301,4499,692032.0
150805,201301,1849,285946.0
150808,201301,2923,359394.0
150810,201301,9418,1647732.0
150812,201301,3578,704354.0
150815,201301,5245,865006.0
150820,201301,6817,1101034.0
150830,201301,9500,1986160.0
150835,201301,1253,181612.0
150840,201301,3286,455656.0
160005,201301,412,85012.0
160010,201301,891,151464.0
160015,201301,808,153532.0
160020,201301,1149,200182.0
160021,201301,481,126012.0
160023,201301,616,123434.0
160025,201301,534,125956.0
160027,201301,5091,948850.0
160030,201301,24109,3847368.0
160040,201301,1987,445692.0
160050,201301,1482,231336.0
160053,201301,1189,201314.0
160055,201301,513,90550.0
160060,201301,10586,1759942.0
160070,201301,1543,325192.0
160080,201301,1780,444226.0
170025,201301,368,48984.0
170030,201301,671,97190.0
170035,201301,730,89814.0
170040,201301,1031,168798.0
170070,201301,835,123692.0
170100,201301,1365,230882.0
170105,201301,421,66068.0
170110,201301,661,94482.0
170130,201301,815,133640.0
170190,201301,828,108302.0
170200,201301,470,59588.0
170210,201301,9961,1162300.0
170215,201301,669,113284.0
170220,201301,3774,725380.0
170230,201301,708,107000.0
170240,201301,1646,289434.0
170255,201301,2007,267796.0
170270,201301,516,64710.0
170290,201301,1597,252194.0
