ano,uf_sigla,uf_nome,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia,valor_medio_bf,valor_medio_bf_ajustado,qtd_familias_beneficiarias_bolsa_familia_ajustado
2021,AC,Acre,907936.0,184403807.0,203.1,209.16,75661.0
2021,AL,Alagoas,4132720.0,478058254.0,115.68,119.13,344393.0
2021,AM,Amazonas,4059479.0,627969353.0,154.69,159.31,338290.0
2021,AP,Amapá,758406.0,110277548.0,145.41,149.75,63200.0
2021,BA,Bahia,18580643.0,2060549707.0,110.9,114.21,1548387.0
2021,CE,Ceará,10966797.0,1186159980.0,108.16,111.39,913900.0
2021,DF,Distrito Federal,894073.0,95708645.0,107.05,110.25,74506.0
2021,ES,Espírito Santo,2040381.0,215820067.0,105.77,108.93,170032.0
2021,GO,Goiás,3133400.0,282115516.0,90.03,92.72,261117.0
2021,MA,Maranhão,9666508.0,1321239057.0,136.68,140.76,805542.0
2021,MG,Minas Gerais,11261469.0,1284374073.0,114.05,117.46,938456.0
2021,MS,Mato Grosso do Sul,1332609.0,152299736.0,114.29,117.7,111051.0
2021,MT,Mato Grosso,1663513.0,172532558.0,103.72,106.82,138626.0
2021,PA,Pará,9628898.0,1189654016.0,123.55,127.24,802408.0
2021,PB,Paraíba,5218372.0,659966885.0,126.47,130.25,434864.0
2021,PE,Pernambuco,11854409.0,1243411930.0,104.89,108.02,987867.0
2021,PI,Piauí,4578971.0,615332352.0,134.38,138.39,381581.0
2021,PR,Paraná,4069530.0,423297172.0,104.02,107.13,339128.0
2021,RJ,Rio de Janeiro,9705336.0,1041862954.0,107.35,110.56,808778.0
2021,RN,Rio Grande do Norte,3675080.0,406197165.0,110.53,113.83,306257.0
2021,RO,Rondônia,841201.0,66084676.0,78.56,80.91,70100.0
2021,RR,Roraima,516984.0,76588648.0,148.15,152.57,43082.0
2021,RS,Rio Grande do Sul,3990338.0,437367786.0,109.61,112.88,332528.0
2021,SC,Santa Catarina,1387010.0,169100646.0,121.92,125.56,115584.0
2021,SE,Sergipe,2869191.0,268159806.0,93.46,96.25,239099.0
2021,SP,São Paulo,16738128.0,1815440150.0,108.46,111.7,1394844.0
2021,TO,Tocantins,1212815.0,141719089.0,116.85,120.34,101068.0
