ano,uf_sigla,uf_nome,qtd_familias_beneficiarias_bolsa_familia_s,pbf_vlr_medio_benef_f,valor_medio_estadual,qtd_familias_beneficiarias_bolsa_familia_ajustado
2023,AC,Acre,1310025,166009.08,7545.87,109169.0
2023,AL,Alagoas,5449440,705893.44,6920.52,454120.0
2023,AM,Amazonas,6362348,468606.41,7558.17,530196.0
2023,AP,Amapá,1227549,117496.35,7343.52,102296.0
2023,BA,Bahia,25393633,2798837.68,6711.84,2116136.0
2023,CE,Ceará,14880617,1248570.68,6785.71,1240051.0
2023,DF,Distrito Federal,1796228,6937.2,6937.2,149686.0
2023,ES,Espírito Santo,3072177,532489.31,6826.79,256015.0
2023,GO,Goiás,5022223,1676036.26,6813.16,418519.0
2023,MA,Maranhão,12285207,1530130.35,7051.29,1023767.0
2023,MG,Minas Gerais,16252970,5756480.4,6748.51,1354414.0
2023,MS,Mato Grosso do Sul,2092791,550761.66,6971.67,174399.0
2023,MT,Mato Grosso,2609494,998972.05,7084.91,217458.0
2023,PA,Pará,13526063,1020293.82,7085.37,1127172.0
2023,PB,Paraíba,6902423,1506299.22,6754.71,575202.0
2023,PE,Pernambuco,16577610,1248100.66,6746.49,1381468.0
2023,PI,Piauí,6191352,1515808.09,6767.0,515946.0
2023,PR,Paraná,6046801,2718642.29,6813.64,503900.0
2023,RJ,Rio de Janeiro,17974824,619207.54,6730.52,1497902.0
2023,RN,Rio Grande do Norte,5095714,1117917.24,6694.12,424643.0
2023,RO,Rondônia,1267309,361279.65,6947.69,105609.0
2023,RR,Roraima,709121,113824.45,7588.3,59093.0
2023,RS,Rio Grande do Sul,6174450,3363669.35,6767.95,514538.0
2023,SC,Santa Catarina,2293829,2045701.3,6934.58,191152.0
2023,SE,Sergipe,3968259,504499.77,6726.66,330688.0
2023,SP,São Paulo,26015604,4396412.25,6816.14,2167967.0
2023,TO,Tocantins,1584363,974666.62,7011.99,132030.0
