ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
110001,201001,1998,175027.0
110002,201001,5268,453317.0
110003,201001,525,51161.0
110004,201001,5424,491901.0
110005,201001,1263,109869.0
110006,201001,1398,125058.0
110007,201001,970,92291.0
110008,201001,1654,169728.0
110009,201001,2519,242652.0
110010,201001,3412,371421.0
110011,201001,3874,332038.0
110012,201001,7078,621039.0
110013,201001,2800,285440.0
110014,201001,1974,191686.0
110015,201001,2879,238359.0
110018,201001,2125,174888.0
110020,201001,25341,2526322.0
110025,201001,2213,212368.0
110026,201001,213,21402.0
110028,201001,3310,318134.0
110029,201001,908,82550.0
110030,201001,2850,239473.0
110032,201001,2273,211570.0
110033,201001,2629,252774.0
110034,201001,2270,228817.0
110037,201001,1057,107383.0
110040,201001,2188,204558.0
110045,201001,3442,324662.0
110050,201001,950,76028.0
110060,201001,407,40413.0
110070,201001,1191,118177.0
110080,201001,1276,132139.0
110090,201001,415,38188.0
110092,201001,420,38650.0
110094,201001,1055,101105.0
110100,201001,1556,145655.0
110110,201001,901,81705.0
110120,201001,1101,109292.0
110130,201001,1414,134313.0
110140,201001,1558,148103.0
110143,201001,801,74696.0
110145,201001,458,42409.0
110146,201001,214,23071.0
110147,201001,415,37742.0
110148,201001,634,61346.0
110149,201001,1420,127864.0
110150,201001,1639,166816.0
110155,201001,448,41602.0
110160,201001,1075,108291.0
110170,201001,1557,147950.0
110175,201001,878,92160.0
110180,201001,867,81270.0
120001,201001,1057,108418.0
120005,201001,570,65020.0
120010,201001,2074,212977.0
120013,201001,763,80984.0
120017,201001,937,91254.0
120020,201001,7722,842964.0
120025,201001,1365,137109.0
120030,201001,3849,421990.0
120032,201001,747,88825.0
120033,201001,1760,193508.0
120034,201001,875,96376.0
120035,201001,1106,136273.0
120038,201001,1727,178792.0
120039,201001,490,60696.0
120040,201001,22511,2199616.0
120042,201001,1316,157770.0
120043,201001,273,30638.0
120045,201001,2306,242676.0
120050,201001,4407,465970.0
120060,201001,3130,358026.0
120070,201001,1358,140651.0
120080,201001,1453,151300.0
130002,201001,1431,170258.0
130006,201001,964,117251.0
130008,201001,905,100583.0
130010,201001,1582,175747.0
130014,201001,1751,182306.0
130020,201001,1501,165073.0
130030,201001,3289,377056.0
130040,201001,2099,224160.0
130050,201001,2760,320287.0
130060,201001,3082,362835.0
130063,201001,1645,193110.0
130068,201001,1378,159356.0
130070,201001,3491,387496.0
130080,201001,3574,394450.0
130083,201001,781,84354.0
130090,201001,1341,141771.0
130100,201001,3225,352705.0
130110,201001,3765,387964.0
130115,201001,2561,271406.0
130120,201001,6491,707062.0
130130,201001,1843,212367.0
130140,201001,4241,481650.0
130150,201001,2109,227479.0
130160,201001,2999,351261.0
130165,201001,1800,206842.0
130170,201001,4179,460345.0
130180,201001,2005,217723.0
130185,201001,4092,441256.0
130190,201001,8367,912464.0
130195,201001,960,112950.0
130200,201001,957,105442.0
130210,201001,585,62335.0
130220,201001,1041,109869.0
130230,201001,2079,242520.0
130240,201001,4504,509764.0
130250,201001,8399,952670.0
130255,201001,2051,226458.0
130260,201001,101575,9788955.0
130270,201001,4421,494419.0
130280,201001,1925,215491.0
130290,201001,4845,559806.0
130300,201001,1853,212078.0
130310,201001,3069,336692.0
130320,201001,1411,152563.0
130330,201001,2126,239593.0
130340,201001,10341,1175023.0
130350,201001,2235,252503.0
130353,201001,1885,197000.0
130356,201001,2423,257058.0
130360,201001,1381,157084.0
130370,201001,2841,335306.0
130380,201001,4118,466485.0
130390,201001,2602,299411.0
130395,201001,941,108170.0
130400,201001,845,95798.0
130406,201001,4625,508853.0
130410,201001,2588,279278.0
130420,201001,6864,811286.0
130423,201001,1731,197366.0
130426,201001,1084,115258.0
130430,201001,1944,202888.0
130440,201001,1781,203324.0
140002,201001,969,100373.0
140005,201001,1767,187975.0
140010,201001,21088,2247698.0
140015,201001,1414,154885.0
140017,201001,1792,194138.0
140020,201001,2331,250113.0
140023,201001,1134,121788.0
140028,201001,849,91921.0
140030,201001,1903,209728.0
140040,201001,971,112561.0
140045,201001,1170,125562.0
140047,201001,3226,332674.0
140050,201001,974,96226.0
140060,201001,842,87964.0
140070,201001,1217,148545.0
150010,201001,15414,1639282.0
150013,201001,631,65972.0
150020,201001,5353,565286.0
150030,201001,3473,395582.0
150034,201001,2675,266795.0
150040,201001,5667,636252.0
150050,201001,2634,280734.0
150060,201001,8729,841074.0
150070,201001,2933,343084.0
150080,201001,32596,3378432.0
150085,201001,2286,247744.0
150090,201001,4651,530137.0
150095,201001,2560,289129.0
150100,201001,2057,231020.0
150110,201001,2107,246913.0
150120,201001,3197,369922.0
150125,201001,443,43563.0
150130,201001,7105,771455.0
150140,201001,78322,7480912.0
150145,201001,2019,214390.0
150150,201001,3494,343661.0
150157,201001,1477,147419.0
150160,201001,1245,133947.0
150170,201001,13283,1469301.0
150172,201001,1706,172671.0
150175,201001,983,101643.0
150178,201001,5448,608344.0
150180,201001,8932,994609.0
150190,201001,2810,320254.0
150195,201001,2352,256789.0
150200,201001,1975,218490.0
150210,201001,12087,1412706.0
150215,201001,2209,194728.0
150220,201001,7075,693347.0
150230,201001,6587,724752.0
150240,201001,15419,1515934.0
150250,201001,1839,200482.0
150260,201001,1206,133673.0
150270,201001,5140,515339.0
150275,201001,2666,299077.0
150276,201001,1290,126451.0
150277,201001,2942,302199.0
150280,201001,2905,352049.0
150285,201001,1561,184761.0
150290,201001,4036,428290.0
150293,201001,4107,407503.0
150295,201001,3197,316309.0
150300,201001,1222,137613.0
150304,201001,2033,211118.0
150307,201001,3079,345540.0
150309,201001,3058,310105.0
150310,201001,2207,262431.0
150320,201001,3569,377193.0
150330,201001,6853,739969.0
150340,201001,1068,106835.0
150345,201001,3998,433049.0
150350,201001,3357,370369.0
150360,201001,11087,1208242.0
150370,201001,5191,562783.0
150375,201001,1634,177751.0
150380,201001,4882,522299.0
150390,201001,3574,404364.0
150400,201001,2597,299485.0
150405,201001,3006,314324.0
150410,201001,1069,116391.0
150420,201001,12379,1253981.0
150430,201001,3380,376130.0
150440,201001,3104,334975.0
150442,201001,9484,940480.0
150445,201001,2458,268836.0
150450,201001,2240,273287.0
150460,201001,2623,318391.0
150470,201001,7690,827823.0
150475,201001,,
150480,201001,6611,728034.0
150490,201001,3091,361734.0
150495,201001,3056,329662.0
150497,201001,1523,155855.0
150500,201001,1387,142288.0
150503,201001,1709,150116.0
150506,201001,6493,693082.0
150510,201001,4822,517369.0
150520,201001,2962,348717.0
150530,201001,4688,555941.0
150540,201001,1852,195258.0
150543,201001,2162,195756.0
150548,201001,5258,560100.0
150549,201001,1108,113293.0
150550,201001,9645,902554.0
150553,201001,9189,732014.0
150555,201001,880,90794.0
150560,201001,1098,115170.0
150563,201001,1588,171855.0
150565,201001,1884,201750.0
150570,201001,2726,294781.0
150580,201001,5201,597195.0
150590,201001,2900,346899.0
150600,201001,3037,352147.0
150610,201001,1407,146571.0
150611,201001,1581,171010.0
150613,201001,5963,563328.0
150616,201001,1203,95174.0
150618,201001,4572,421578.0
150619,201001,3208,335275.0
150620,201001,3287,332872.0
150630,201001,2078,215702.0
150635,201001,1639,166807.0
150640,201001,479,46263.0
150650,201001,5680,545670.0
150655,201001,2718,292104.0
150658,201001,2257,229284.0
150660,201001,3174,322653.0
150670,201001,2796,241995.0
150680,201001,20592,2171904.0
150690,201001,698,73950.0
150700,201001,2854,314908.0
150710,201001,1796,201103.0
150715,201001,2520,273312.0
150720,201001,3109,360916.0
150730,201001,4106,405249.0
150740,201001,1521,155249.0
150745,201001,3281,338460.0
150746,201001,592,61992.0
150747,201001,2743,293779.0
150750,201001,1527,170283.0
150760,201001,4985,546718.0
150770,201001,2578,313821.0
150775,201001,448,42508.0
150780,201001,1753,194135.0
150790,201001,2271,244622.0
150795,201001,6100,590928.0
150796,201001,1132,122330.0
150797,201001,1783,194336.0
150800,201001,5625,623473.0
150803,201001,3228,355835.0
150805,201001,1690,172304.0
150808,201001,2691,228653.0
150810,201001,7596,834208.0
150812,201001,3027,322123.0
150815,201001,4168,447958.0
150820,201001,4642,520147.0
150830,201001,6961,810950.0
150835,201001,1167,121237.0
150840,201001,2963,263336.0
160005,201001,351,37074.0
160010,201001,787,87060.0
160015,201001,721,75241.0
160020,201001,888,96857.0
160021,201001,421,47035.0
160023,201001,441,47362.0
160025,201001,437,48322.0
160027,201001,4047,442828.0
160030,201001,21267,2262128.0
160040,201001,1624,188884.0
160050,201001,1320,130296.0
160053,201001,1213,125695.0
160055,201001,374,39091.0
160060,201001,9028,975346.0
160070,201001,1079,123926.0
160080,201001,1375,159072.0
170025,201001,335,31568.0
170030,201001,478,48425.0
170035,201001,654,59231.0
170040,201001,951,97782.0
170070,201001,749,65435.0
170100,201001,1286,130638.0
170105,201001,341,33055.0
170110,201001,516,49664.0
170130,201001,836,83514.0
170190,201001,676,64190.0
170200,201001,399,31409.0
170210,201001,9102,594902.0
170215,201001,579,53554.0
170220,201001,3715,365983.0
170230,201001,737,71748.0
170240,201001,1370,132723.0
170255,201001,1669,151178.0
170270,201001,446,41297.0
170290,201001,1378,149973.0
170300,201001,1277,119066.0
170305,201001,272,27995.0
170307,201001,564,54788.0
170310,201001,617,56078.0
170320,201001,566,54474.0
170330,201001,398,42227.0
170360,201001,198,17374.0
170370,201001,598,54515.0
170380,201001,1220,127307.0
170382,201001,299,29364.0
170384,201001,708,76258.0
170386,201001,269,21902.0
170388,201001,233,18708.0
170389,201001,520,51826.0
170390,201001,702,67369.0
170410,201001,323,31827.0
170460,201001,154,13460.0
170510,201001,451,43172.0
170550,201001,1760,145087.0
170555,201001,604,57643.0
170560,201001,557,58699.0
170600,201001,723,70378.0
170610,201001,714,69428.0
170625,201001,132,10710.0
170650,201001,738,71206.0
170700,201001,1572,157489.0
170710,201001,789,76737.0
170720,201001,1083,109605.0
170730,201001,427,37053.0
170740,201001,1315,135877.0
170755,201001,421,38651.0
170765,201001,577,48987.0
170770,201001,1006,96305.0
170820,201001,1769,177043.0
170825,201001,268,24471.0
170830,201001,801,84050.0
170900,201001,1778,182765.0
170930,201001,1952,158690.0
170950,201001,4119,280916.0
170980,201001,210,18089.0
171050,201001,920,97334.0
171070,201001,943,98817.0
171090,201001,481,46960.0
171110,201001,295,26878.0
171150,201001,397,34587.0
171180,201001,258,24814.0
171190,201001,845,74619.0
171195,201001,502,53149.0
171200,201001,230,23001.0
171215,201001,218,20822.0
171240,201001,585,59175.0
171245,201001,356,34762.0
171250,201001,554,55957.0
171270,201001,179,19505.0
171280,201001,492,49112.0
171320,201001,1692,170499.0
171330,201001,1326,132068.0
171360,201001,684,71642.0
171370,201001,258,24301.0
171380,201001,723,71898.0
171395,201001,399,35587.0
171420,201001,1083,101646.0
171430,201001,612,60931.0
171488,201001,1183,118313.0
171500,201001,464,43088.0
171510,201001,489,49281.0
171515,201001,268,25772.0
171525,201001,293,30470.0
171550,201001,109,10674.0
171570,201001,681,71477.0
171575,201001,778,59743.0
171610,201001,2751,196922.0
171620,201001,1512,150537.0
171630,201001,343,30488.0
171650,201001,797,77021.0
171660,201001,1071,102060.0
171665,201001,687,65981.0
171670,201001,997,83035.0
171700,201001,646,66196.0
171720,201001,250,21616.0
171750,201001,618,50897.0
171780,201001,606,62344.0
171790,201001,746,80646.0
171800,201001,358,35127.0
171820,201001,3960,392630.0
171830,201001,1107,113431.0
171840,201001,331,30873.0
171845,201001,246,23075.0
171850,201001,611,63457.0
171855,201001,555,56002.0
171865,201001,192,19364.0
171870,201001,226,22978.0
171875,201001,851,84691.0
171880,201001,544,57009.0
171884,201001,363,31903.0
171886,201001,735,71537.0
171888,201001,329,30207.0
171889,201001,258,26342.0
171890,201001,566,58503.0
171900,201001,266,24835.0
172000,201001,364,34748.0
172010,201001,633,65099.0
172015,201001,179,18382.0
172020,201001,1466,149979.0
172025,201001,340,32602.0
172030,201001,604,59502.0
172049,201001,669,62881.0
172065,201001,531,51772.0
172080,201001,1414,140525.0
172085,201001,174,14240.0
172090,201001,1547,152514.0
172093,201001,225,22232.0
172097,201001,297,24705.0
172100,201001,9119,710100.0
172110,201001,1041,109406.0
172120,201001,2762,263747.0
172125,201001,119,10529.0
172130,201001,294,27242.0
172208,201001,1279,122374.0
172210,201001,1340,126060.0
210005,201001,12910,1220730.0
210010,201001,816,91087.0
210015,201001,1796,195984.0
210020,201001,3827,370684.0
210030,201001,3565,371940.0
210040,201001,1579,155658.0
210043,201001,3786,389700.0
210047,201001,4843,516586.0
210050,201001,1377,148565.0
210055,201001,961,105881.0
210060,201001,5746,619040.0
210070,201001,4114,411838.0
210080,201001,1655,179612.0
210083,201001,2263,247341.0
210087,201001,1620,164016.0
210090,201001,5761,617655.0
210095,201001,4513,494540.0
210100,201001,4383,446115.0
210110,201001,1726,177780.0
210120,201001,14139,1403434.0
210125,201001,1983,202180.0
210130,201001,2776,280981.0
210135,201001,884,89724.0
210140,201001,9683,1001311.0
210150,201001,2529,248596.0
210160,201001,12216,1255977.0
210170,201001,6958,762338.0
210173,201001,863,102324.0
210177,201001,1577,167015.0
210180,201001,869,87839.0
210190,201001,3395,327777.0
210193,201001,911,91033.0
210197,201001,1065,114746.0
210200,201001,5654,592611.0
210203,201001,3792,416626.0
210207,201001,2013,208998.0
210210,201001,4991,524932.0
210215,201001,1176,128472.0
210220,201001,3758,416583.0
210230,201001,3524,374264.0
210232,201001,7865,842741.0
210235,201001,2396,247001.0
210237,201001,1431,154753.0
210240,201001,1669,174858.0
210250,201001,2156,239201.0
210255,201001,1416,139401.0
210260,201001,3000,313110.0
210270,201001,3161,316033.0
210275,201001,1856,181609.0
210280,201001,3327,347220.0
210290,201001,3051,332078.0
210300,201001,20775,2144787.0
210310,201001,1612,155364.0
210312,201001,1499,150620.0
210315,201001,1144,129390.0
210317,201001,2241,231778.0
210320,201001,10349,1108299.0
210325,201001,1849,189422.0
210330,201001,17743,1820150.0
210340,201001,6594,701733.0
210350,201001,5695,595107.0
210355,201001,2241,248600.0
210360,201001,10155,1037067.0
210370,201001,5525,551058.0
210375,201001,2038,200100.0
210380,201001,3258,332807.0
210390,201001,1595,174464.0
210400,201001,3019,305506.0
210405,201001,3720,343576.0
210407,201001,1151,124212.0
210408,201001,1223,139954.0
210409,201001,2253,238978.0
210410,201001,1753,187771.0
210420,201001,2492,268948.0
210430,201001,1291,133390.0
210440,201001,2692,276420.0
210450,201001,1474,157620.0
210455,201001,2034,196275.0
210460,201001,2621,268066.0
210462,201001,1156,122011.0
210465,201001,1794,188133.0
210467,201001,3869,418382.0
210470,201001,1000,99534.0
210480,201001,7090,734247.0
210490,201001,1961,195825.0
210500,201001,3820,416472.0
210510,201001,3879,430318.0
210515,201001,1918,207615.0
210520,201001,1511,143663.0
210530,201001,18455,1557974.0
210535,201001,2089,221591.0
210540,201001,7344,762289.0
210542,201001,3935,413815.0
210545,201001,1311,141421.0
210547,201001,2343,246980.0
210550,201001,3603,376160.0
210560,201001,2426,253080.0
210565,201001,881,90672.0
210570,201001,6537,699193.0
210580,201001,1554,164215.0
210590,201001,2310,245881.0
210592,201001,1635,167376.0
210594,201001,1293,136995.0
210596,201001,1601,183202.0
210598,201001,1088,111293.0
210600,201001,1979,192040.0
210610,201001,1474,152809.0
210620,201001,1098,114919.0
210630,201001,2698,256723.0
210632,201001,2727,298090.0
210635,201001,929,104956.0
210637,201001,1711,175583.0
210640,201001,2191,233790.0
210650,201001,3601,360392.0
210660,201001,4457,476635.0
210663,201001,1535,159388.0
210667,201001,1115,119610.0
210670,201001,3121,331550.0
210675,201001,2827,286173.0
210680,201001,2018,204228.0
210690,201001,4380,495613.0
210700,201001,1570,168457.0
210710,201001,2569,285738.0
210720,201001,1408,160940.0
210725,201001,766,82008.0
210730,201001,774,79790.0
210735,201001,2430,255501.0
210740,201001,2655,271129.0
210745,201001,2028,205481.0
210750,201001,12838,1284180.0
210760,201001,3096,310576.0
210770,201001,3006,312352.0
210780,201001,5642,578810.0
210790,201001,2792,293272.0
210800,201001,2723,282392.0
210805,201001,2086,240490.0
210810,201001,2992,312317.0
210820,201001,5272,515762.0
210825,201001,3728,402333.0
210830,201001,5637,612643.0
210840,201001,2310,225740.0
210845,201001,3470,357068.0
210850,201001,3688,378167.0
210860,201001,10968,1120232.0
210870,201001,3990,418222.0
210880,201001,2531,263107.0
210890,201001,3736,370124.0
210900,201001,2537,223872.0
210905,201001,1079,111656.0
210910,201001,5859,562356.0
210920,201001,1807,197156.0
210923,201001,868,91415.0
210927,201001,2760,305621.0
210930,201001,1659,179564.0
210940,201001,1816,201268.0
210945,201001,3988,431969.0
210950,201001,2970,305551.0
210955,201001,905,88834.0
210960,201001,5604,560944.0
210970,201001,820,88423.0
210975,201001,878,95614.0
210980,201001,5465,551978.0
210990,201001,9431,1020118.0
211000,201001,10282,1085669.0
211003,201001,2937,296432.0
211010,201001,4083,440871.0
211020,201001,5046,533432.0
211023,201001,1606,169062.0
211027,201001,1779,196372.0
211030,201001,2298,238456.0
211040,201001,2614,282616.0
211050,201001,5852,587697.0
