ano,uf_sigla,uf_nome,qtd_familias_beneficiarias_bolsa_familia_s,pbf_vlr_medio_benef_f,valor_medio_estadual
2023,AC,Acre,1310025,166009.08,7545.87
2023,AL,Alagoas,5449440,705893.44,6920.52
2023,AM,Amazonas,6362348,468606.41,7558.17
2023,AP,Amapá,1227549,117496.35,7343.52
2023,BA,Bahia,25393633,2798837.68,6711.84
2023,CE,Ceará,14880617,1248570.68,6785.71
2023,DF,Distrito Federal,1796228,6937.20,6937.20
2023,ES,Espírito Santo,3072177,532489.31,6826.79
2023,GO,Goiás,5022223,1676036.26,6813.16
2023,MA,Maranhão,12285207,1530130.35,7051.29
2023,MG,Minas Gerais,16252970,5756480.40,6748.51
2023,MS,Mato Grosso do Sul,2092791,550761.66,6971.67
2023,MT,Mato Grosso,2609494,998972.05,7084.91
2023,PA,Pará,13526063,1020293.82,7085.37
2023,PB,Paraíba,6902423,1506299.22,6754.71
2023,PE,Pernambuco,16577610,1248100.66,6746.49
2023,PI,Piauí,6191352,1515808.09,6767.00
2023,PR,Paraná,6046801,2718642.29,6813.64
2023,RJ,Rio de Janeiro,17974824,619207.54,6730.52
2023,RN,Rio Grande do Norte,5095714,1117917.24,6694.12
2023,RO,Rondônia,1267309,361279.65,6947.69
2023,RR,Roraima,709121,113824.45,7588.30
2023,RS,Rio Grande do Sul,6174450,3363669.35,6767.95
2023,SC,Santa Catarina,2293829,2045701.30,6934.58
2023,SE,Sergipe,3968259,504499.77,6726.66
2023,SP,São Paulo,26015604,4396412.25,6816.14
2023,TO,Tocantins,1584363,974666.62,7011.99
