Ano,Região,UF,Código do Município,Nome do Município,Localização,Rede,Total_Abandono_EF2007,Total_Abandono_EM2007,Total_Abandono_EF2008,Total_Abandono_EM2008,Total_Abandono_EF2009,Total_Abandono_EM2009,Total_Abandono_EF2010,Total_Abandono_EM2010,Total_Abandono_EF2011,Total_Abandono_EM2011,Total_Abandono_EF2012,Total_Abandono_EM2012,Total_Abandono_EF2013,Total_Abandono_EM2013,Total_Abandono_EF2014,Total_Abandono_EM2014,Total_Abandono_EF2015,Total_Abandono_EM2015,Total_Abandono_EF2016,Total_Abandono_EM2016 ,Ano,Região,UF,Código do Município,Nome do Município,Localização,Rede,Total_Abandono_EF2007,Total_Abandono_EM2007,Total_Abandono_EF2018,Total_Abandono_EM2018  ,Total_Abandono_EF2019,Total_Abandono_EM2019,Total_Abandono_EF2020,Total_Abandono_EM2020,Total_Abandono_EF2021,Total_Abandono_EF2021.1,Total_Abandono_EF2022,Total_Abandono_EM2022,Total_Abandono_EF2023,Total_Abandono_EM2023
2007.0,Norte,RO,1100015.0,ALTA FLORESTA D'OESTE,Rural,Estadual,1.6,--,6.3,--,14.4,--,4.2,--,4.5,11.1,4.4,13.6,3.5,11.1,2.4,9.3,2.2,11.2,3.1,10.6,2007.0,Norte,RO,1100015.0,ALTA FLORESTA D'OESTE,Rural,Estadual,1.6,--,1.8,6.8,1.6,5.8,7.4,0,0.2,1.4,0.7,5.8,1,0.4
2007.0,Norte,RO,1100015.0,ALTA FLORESTA D'OESTE,Rural,Municipal,6.6,--,5.6,--,5.4,--,6.1,--,4.4,11.1,4.4,13.6,3.5,11.1,2.4,9.3,2.2,11.2,2.4,28.6,2007.0,Norte,RO,1100015.0,ALTA FLORESTA D'OESTE,Rural,Municipal,6.6,--,1.7,7.1,1.6,6.3,0.6,0,0.3,1.6,0.8,6,0.9,0.3
2007.0,Norte,RO,1100015.0,ALTA FLORESTA D'OESTE,Rural,Publico,6.2,--,5.7,--,6.3,--,6,--,4.5,--,0,--,0,--,0,--,2.4,11.2,3.3,10.4,2007.0,Norte,RO,1100015.0,ALTA FLORESTA D'OESTE,Rural,Publico,6.2,--,2.4,0,1.7,0,38.5,0,0,0,0,0,1.4,2
2007.0,Norte,RO,1100015.0,ALTA FLORESTA D'OESTE,Rural,Total,6.2,--,5.7,--,6.3,--,6,--,4,--,4,--,3.9,--,2.7,--,2,--,2.8,10.6,2007.0,Norte,RO,1100015.0,ALTA FLORESTA D'OESTE,Rural,Total,6.2,--,1.3,6.8,1.3,5.8,14.2,0,0.5,1.4,1.6,5.8,0.3,0.4
2007.0,Norte,RO,1100015.0,ALTA FLORESTA D'OESTE,Total,Estadual,5.9,18.2,7.4,14.2,6.9,14.1,6.1,14.1,4.8,11.1,4.8,13.6,3.3,11.1,2.3,9.3,2.2,11.2,3.5,--,2007.0,Norte,RO,1100015.0,ALTA FLORESTA D'OESTE,Total,Estadual,5.9,18.2,1.5,7.1,1.5,6.3,0,0,0.5,1.6,2,6,0.3,0.3
2007.0,Norte,RO,1100015.0,ALTA FLORESTA D'OESTE,Total,Municipal,5.9,--,4.8,--,4.7,--,5.2,--,4.9,--,5.4,--,5.8,--,3.4,--,2.2,11.2,2.4,28.6,2007.0,Norte,RO,1100015.0,ALTA FLORESTA D'OESTE,Total,Municipal,5.9,--,0,0,0.4,0,100,0,0,0,0,0,0,2
2007.0,Norte,RO,1100015.0,ALTA FLORESTA D'OESTE,Total,Particular,0,--,0,--,0,--,0,--,4.9,--,5.4,--,5.8,--,3.4,--,2.6,11.2,2.8,10.4,2007.0,Norte,RO,1100015.0,ALTA FLORESTA D'OESTE,Total,Particular,0,--,2.5,--,1.9,--,1.5,--,0,--,0.1,--,1.5,--
2007.0,Norte,RO,1100015.0,ALTA FLORESTA D'OESTE,Total,Publico,5.9,18.2,6.2,14.2,5.8,14.1,5.6,14.1,4.8,--,4.8,--,4.8,--,3.6,--,1,--,2.3,--,2007.0,Norte,RO,1100015.0,ALTA FLORESTA D'OESTE,Total,Publico,5.9,18.2,2,--,1.7,--,1.2,--,0,--,0.1,--,1.3,--
2007.0,Norte,RO,1100015.0,ALTA FLORESTA D'OESTE,Total,Total,5.8,18.2,6.2,14.2,5.8,14.1,5.5,14.1,6,--,9,--,11.6,--,2.5,--,2.2,--,4,--,2007.0,Norte,RO,1100015.0,ALTA FLORESTA D'OESTE,Total,Total,5.8,18.2,3.5,--,2.4,--,2.9,--,0,--,0,--,2.3,--
2007.0,Norte,RO,1100015.0,ALTA FLORESTA D'OESTE,Urbana,Estadual,6.2,18.2,7.6,14.2,6.2,14.1,6.2,14.1,4.1,11.1,3.7,13.6,1.9,11.1,1.7,9.3,2.2,--,3.1,10.6,2007.0,Norte,RO,1100015.0,ALTA FLORESTA D'OESTE,Urbana,Estadual,6.2,18.2,1.8,6.8,1.6,5.8,7.4,0,0.2,1.4,0.7,5.8,1,0.4
