Estado,UF,Media_IDHM_Educação
São Paulo,SP,0.824
Distrito Federal,DF,0.805
Santa Catarina,SC,0.775
Paraná,PR,0.761
Rio de Janeiro,RJ,0.752
Mato Grosso,MT,0.751
Roraima,RR,0.750
Goiás,GO,0.744
Minas Gerais,MG,0.736
Espírito Santo,ES,0.728
Tocantins,TO,0.724
Rio Grande do Sul,RS,0.719
Ceará,CE,0.714
Mato Grosso do Sul,MS,0.701
Amazonas,AM,0.700
Amapá,AP,0.698
Acre,AC,0.692
Pernambuco,PE,0.685
Rondônia,RO,0.678
Maranhão,MA,0.673
Rio Grande do Norte,RN,0.673
Piauí,PI,0.657
Pará,PA,0.648
Paraíba,PB,0.644
Bahia,BA,0.644
Sergipe,SE,0.639
Alagoas,AL,0.627
