Estado,UF,Media_IDHM_Educação_Atkinson
Alagoas,AL,0.281
Maranhão,MA,0.271
Piauí,PI,0.267
Paraíba,PB,0.264
Acre,AC,0.259
Ceará,CE,0.255
Bahia,BA,0.252
Sergipe,SE,0.234
Pernambuco,PE,0.233
Tocantins,TO,0.230
Rio Grande do Norte,RN,0.220
Rondônia,RO,0.200
Pará,PA,0.195
Mato Grosso,MT,0.186
Amazonas,AM,0.180
Roraima,RR,0.176
Amapá,AP,0.175
Goiás,GO,0.171
Mato Grosso do Sul,MS,0.170
Espírito Santo,ES,0.163
Minas Gerais,MG,0.162
Paraná,PR,0.161
Santa Catarina,SC,0.124
São Paulo,SP,0.122
Rio de Janeiro,RJ,0.118
Rio Grande do Sul,RS,0.118
Distrito Federal,DF,0.116
