Estado,UF,Media_IDHM_Renda
Distrito Federal,DF,0.839
São Paulo,SP,0.784
Rio Grande do Sul,RS,0.774
Santa Catarina,SC,0.768
Rio de Janeiro,RJ,0.764
Paraná,PR,0.758
Mato Grosso do Sul,MS,0.739
Mato Grosso,MT,0.733
Espírito Santo,ES,0.732
Goiás,GO,0.730
Minas Gerais,MG,0.730
Roraima,RR,0.706
Rondônia,RO,0.694
Tocantins,TO,0.687
Rio Grande do Norte,RN,0.682
Sergipe,SE,0.679
Pernambuco,PE,0.675
Amapá,AP,0.675
Bahia,BA,0.668
Acre,AC,0.667
Paraíba,PB,0.666
Amazonas,AM,0.666
Ceará,CE,0.662
Piauí,PI,0.656
Pará,PA,0.655
Alagoas,AL,0.635
Maranhão,MA,0.611
