Estado,UF,Media_IDHM_Renda_Atkinson
Acre,AC,0.415
Sergipe,SE,0.415
Pernambuco,PE,0.414
Amazonas,AM,0.408
Distrito Federal,DF,0.404
Roraima,RR,0.399
Bahia,BA,0.395
Ceará,CE,0.394
Alagoas,AL,0.388
Amapá,AP,0.387
Paraíba,PB,0.385
Rio Grande do Norte,RN,0.385
Piauí,PI,0.378
Maranhão,MA,0.375
Pará,PA,0.372
Rio de Janeiro,RJ,0.367
Tocantins,TO,0.344
Espírito Santo,ES,0.344
São Paulo,SP,0.329
Minas Gerais,MG,0.320
Rondônia,RO,0.314
Paraná,PR,0.304
Mato Grosso do Sul,MS,0.301
Rio Grande do Sul,RS,0.299
Goiás,GO,0.298
Mato Grosso,MT,0.294
Santa Catarina,SC,0.251
