Estado,UF,Media_Gini
Distrito Federal,DF,0.574
Amazonas,AM,0.562
Pernambuco,PE,0.561
Sergipe,SE,0.559
Roraima,RR,0.551
Acre,AC,0.548
Bahia,BA,0.547
Ceará,CE,0.542
Paraíba,PB,0.534
Amapá,AP,0.534
Rio de Janeiro,RJ,0.531
Rio Grande do Norte,RN,0.530
Alagoas,AL,0.523
São Paulo,SP,0.521
Pará,PA,0.520
Piauí,PI,0.518
Maranhão,MA,0.508
Tocantins,TO,0.507
Espírito Santo,ES,0.503
Minas Gerais,MG,0.488
Rio Grande do Sul,RS,0.478
Paraná,PR,0.474
Mato Grosso do Sul,MS,0.474
Goiás,GO,0.464
Rondônia,RO,0.464
Mato Grosso,MT,0.460
Santa Catarina,SC,0.419
