UF,Ano,Trimestre,Trimestre_Ano,Total,Forca_de_Trabalho,Ocupados,Desocupados,Fora_da_Forca,Taxa_Desocupacao,Nivel_Ocupacao,Taxa_Participacao
Rondônia,2012,1,T1/2012,1210,765,703,62,445,8.104575163398692,58.09917355371901,63.22314049586777
Acre,2012,1,T1/2012,534,313,284,29,221,9.26517571884984,53.18352059925093,58.61423220973783
Amazonas,2012,1,T1/2012,2463,1558,1386,173,905,11.10397946084724,56.27283800243605,63.25619163621599
Roraima,2012,1,T1/2012,296,185,169,16,111,8.64864864864865,57.0945945945946,62.5
Pará,2012,1,T1/2012,5579,3373,3104,270,2206,8.00474355173436,55.63721096970783,60.45886359562645
Amapá,2012,1,T1/2012,487,318,278,40,169,12.57861635220126,57.08418891170432,65.29774127310061
Tocantins,2012,1,T1/2012,1043,654,599,55,389,8.409785932721713,57.43048897411314,62.70373921380633
Maranhão,2012,1,T1/2012,4824,2721,2505,216,2103,7.938257993384785,51.92786069651741,56.40547263681592
Piauí,2012,1,T1/2012,2426,1424,1315,109,1002,7.654494382022473,54.20445177246497,58.69744435284419
Ceará,2012,1,T1/2012,6679,3756,3482,275,2923,7.321618743343983,52.13355292708489,56.23596346758497
Rio Grande do Norte,2012,1,T1/2012,2540,1370,1211,159,1170,11.60583941605839,47.67716535433071,53.93700787401576
Paraíba,2012,1,T1/2012,2952,1667,1500,167,1285,10.01799640071986,50.81300813008131,56.47018970189702
Pernambuco,2012,1,T1/2012,6931,3925,3549,376,3006,9.579617834394904,51.20473236185254,56.62963497330833
Alagoas,2012,1,T1/2012,2383,1173,1041,133,1210,11.3384484228474,43.68443138900545,49.22366764582459
Sergipe,2012,1,T1/2012,1595,947,848,99,648,10.45406546990496,53.16614420062697,59.37304075235109
Bahia,2012,1,T1/2012,10986,6888,6086,802,4098,11.64343786295006,55.39777899144366,62.69797924631349
Minas Gerais,2012,1,T1/2012,15985,10115,9316,799,5870,7.899159663865546,58.27963715983735,63.27807319361902
Espírito Santo,2012,1,T1/2012,2885,1869,1726,143,1016,7.651150347779562,59.8266897746967,64.78336221837088
Rio de Janeiro,2012,1,T1/2012,13293,8071,7379,691,5222,8.561516540701277,55.51041901752802,60.7161664033702
São Paulo,2012,1,T1/2012,34709,22440,20685,1755,12269,7.820855614973262,59.59549396410153,64.65181941283241
Paraná,2012,1,T1/2012,8482,5533,5221,312,2949,5.638893909271643,61.5538788021693,65.2322565432681
