Estado,UF,IDHM Educação 2012,IDHM Educação 2013,IDHM Educação 2014,IDHM Educação 2015,IDHM Educação 2016,IDHM Educação 2017,IDHM Educação 2018,IDHM Educação 2019,IDHM Educação 2020,IDHM Educação 2021,IDHM Renda 2012,IDHM Renda 2013,IDHM Renda 2014,IDHM Renda 2015,IDHM Renda 2016,IDHM Renda 2017,IDHM Renda 2018,IDHM Renda 2019,IDHM Renda 2020,IDHM Renda 2021
Acre,AC,0.649,0.658,0.679,0.679,0.704,0.671,0.706,0.728,0.753,0.692,0.67,0.67,0.669,0.674,0.66,0.655,0.676,0.668,0.668,0.655
Alagoas,AL,0.587,0.573,0.599,0.605,0.635,0.634,0.651,0.643,0.66,0.679,0.627,0.629,0.645,0.636,0.637,0.631,0.637,0.636,0.645,0.63
Amapá,AP,0.659,0.714,0.688,0.69,0.709,0.7,0.742,0.728,0.701,0.647,0.673,0.691,0.687,0.69,0.682,0.683,0.666,0.665,0.663,0.648
Amazonas,AM,0.632,0.659,0.667,0.686,0.705,0.732,0.717,0.735,0.748,0.72,0.683,0.683,0.683,0.673,0.654,0.672,0.655,0.658,0.657,0.641
Bahia,BA,0.593,0.594,0.619,0.64,0.656,0.655,0.66,0.672,0.69,0.659,0.666,0.667,0.676,0.671,0.662,0.675,0.664,0.673,0.679,0.648
Ceará,CE,0.667,0.667,0.679,0.689,0.708,0.715,0.74,0.74,0.766,0.766,0.648,0.656,0.656,0.657,0.656,0.666,0.666,0.677,0.684,0.658
Distrito Federal,DF,0.768,0.794,0.791,0.789,0.822,0.797,0.808,0.842,0.825,0.817,0.846,0.848,0.845,0.847,0.836,0.842,0.836,0.841,0.827,0.821
Espírito Santo,ES,0.692,0.701,0.709,0.726,0.732,0.731,0.743,0.741,0.758,0.742,0.73,0.734,0.742,0.731,0.727,0.727,0.735,0.747,0.733,0.715
Goiás,GO,0.698,0.71,0.723,0.722,0.754,0.743,0.757,0.77,0.79,0.778,0.73,0.74,0.739,0.731,0.724,0.735,0.735,0.729,0.722,0.714
Maranhão,MA,0.611,0.639,0.639,0.649,0.673,0.684,0.685,0.704,0.726,0.716,0.602,0.607,0.61,0.613,0.615,0.616,0.613,0.614,0.621,0.603
Mato Grosso do Sul,MS,0.657,0.674,0.671,0.667,0.698,0.708,0.715,0.731,0.747,0.741,0.729,0.735,0.742,0.726,0.741,0.738,0.75,0.752,0.744,0.733
Mato Grosso,MT,0.694,0.732,0.736,0.767,0.766,0.757,0.764,0.771,0.765,0.758,0.732,0.738,0.739,0.729,0.725,0.733,0.744,0.738,0.735,0.72
Minas Gerais,MG,0.683,0.692,0.718,0.727,0.739,0.752,0.748,0.77,0.767,0.762,0.726,0.733,0.739,0.736,0.725,0.731,0.733,0.734,0.729,0.718
Paraíba,PB,0.601,0.584,0.619,0.644,0.657,0.671,0.658,0.66,0.673,0.669,0.649,0.655,0.671,0.678,0.663,0.682,0.672,0.672,0.664,0.653
Paraná,PR,0.718,0.737,0.747,0.747,0.773,0.764,0.777,0.779,0.791,0.78,0.757,0.761,0.765,0.754,0.756,0.759,0.766,0.764,0.751,0.744
Pará,PA,0.583,0.592,0.623,0.638,0.641,0.657,0.671,0.677,0.713,0.686,0.658,0.66,0.66,0.656,0.646,0.647,0.667,0.651,0.664,0.645
Pernambuco,PE,0.616,0.641,0.656,0.678,0.69,0.684,0.719,0.718,0.729,0.721,0.673,0.685,0.698,0.688,0.677,0.671,0.669,0.68,0.667,0.647
Piauí,PI,0.6,0.623,0.639,0.643,0.642,0.665,0.671,0.692,0.7,0.698,0.635,0.666,0.665,0.668,0.655,0.653,0.658,0.657,0.659,0.649
Rio de Janeiro,RJ,0.703,0.715,0.736,0.752,0.757,0.762,0.781,0.78,0.781,0.758,0.756,0.757,0.764,0.758,0.761,0.757,0.774,0.783,0.77,0.759
Rio Grande do Norte,RN,0.617,0.642,0.668,0.683,0.676,0.677,0.69,0.689,0.71,0.68,0.658,0.67,0.676,0.687,0.687,0.672,0.686,0.693,0.695,0.692
Rio Grande do Sul,RS,0.674,0.691,0.699,0.717,0.722,0.727,0.736,0.735,0.739,0.75,0.767,0.773,0.777,0.776,0.772,0.776,0.775,0.783,0.774,0.767
Rondônia,RO,0.637,0.612,0.627,0.664,0.691,0.699,0.705,0.707,0.743,0.694,0.692,0.694,0.691,0.689,0.686,0.693,0.71,0.705,0.704,0.677
Roraima,RR,0.746,0.735,0.757,0.758,0.771,0.764,0.774,0.767,0.759,0.673,0.717,0.723,0.712,0.719,0.714,0.697,0.723,0.696,0.68,0.68
Santa Catarina,SC,0.74,0.757,0.768,0.769,0.785,0.778,0.78,0.794,0.79,0.79,0.764,0.768,0.769,0.769,0.763,0.772,0.772,0.776,0.763,0.759
São Paulo,SP,0.792,0.8,0.813,0.811,0.837,0.826,0.829,0.849,0.847,0.839,0.782,0.787,0.79,0.782,0.787,0.781,0.791,0.791,0.781,0.771
Sergipe,SE,0.607,0.598,0.625,0.633,0.625,0.639,0.66,0.639,0.682,0.684,0.679,0.685,0.688,0.68,0.683,0.67,0.676,0.682,0.687,0.662
Tocantins,TO,0.676,0.691,0.729,0.707,0.723,0.729,0.741,0.747,0.763,0.732,0.674,0.68,0.692,0.688,0.679,0.687,0.698,0.693,0.691,0.684
