Estado,UF,Índice de Atkinson - Educação 2012,Índice de Atkinson - Educação 2013,Índice de Atkinson - Educação 2014,Índice de Atkinson - Educação 2015,Índice de Atkinson - Educação 2016,Índice de Atkinson - Educação 2017,Índice de Atkinson - Educação 2018,Índice de Atkinson - Educação 2019,Índice de Atkinson - Educação 2020,Índice de Atkinson - Educação 2021,Índice de Atkinson - Renda 2012,Índice de Atkinson - Renda 2013,Índice de Atkinson - Renda 2014,Índice de Atkinson - Renda 2015,Índice de Atkinson - Renda 2016,Índice de Atkinson - Renda 2017,Índice de Atkinson - Renda 2018,Índice de Atkinson - Renda 2019,Índice de Atkinson - Renda 2020,Índice de Atkinson - Renda 2021
Acre,AC,0.281,0.283,0.289,0.274,0.278,0.268,0.246,0.237,0.22,0.212,0.422,0.402,0.393,0.404,0.404,0.422,0.44,0.454,0.378,0.432
Alagoas,AL,0.296,0.295,0.296,0.297,0.294,0.28,0.281,0.27,0.264,0.239,0.352,0.371,0.383,0.381,0.393,0.395,0.437,0.405,0.366,0.397
Amapá,AP,0.184,0.199,0.196,0.192,0.17,0.172,0.178,0.167,0.152,0.138,0.361,0.348,0.349,0.398,0.419,0.421,0.428,0.376,0.365,0.401
Amazonas,AM,0.202,0.195,0.204,0.196,0.202,0.181,0.165,0.156,0.148,0.149,0.417,0.389,0.393,0.396,0.416,0.438,0.405,0.424,0.392,0.41
Bahia,BA,0.275,0.273,0.256,0.252,0.261,0.251,0.251,0.237,0.225,0.238,0.405,0.385,0.366,0.378,0.383,0.422,0.417,0.418,0.369,0.411
Ceará,CE,0.28,0.284,0.271,0.272,0.271,0.252,0.243,0.242,0.218,0.221,0.406,0.387,0.366,0.383,0.389,0.396,0.4,0.405,0.388,0.418
Distrito Federal,DF,0.126,0.124,0.13,0.124,0.132,0.123,0.115,0.107,0.096,0.088,0.417,0.41,0.396,0.393,0.4,0.424,0.417,0.376,0.387,0.421
Espírito Santo,ES,0.184,0.175,0.17,0.171,0.175,0.166,0.146,0.152,0.141,0.146,0.327,0.335,0.335,0.337,0.346,0.352,0.344,0.355,0.335,0.371
Goiás,GO,0.19,0.188,0.179,0.176,0.186,0.175,0.157,0.163,0.144,0.154,0.293,0.28,0.293,0.278,0.302,0.312,0.32,0.308,0.289,0.306
Maranhão,MA,0.298,0.291,0.278,0.282,0.282,0.28,0.265,0.261,0.236,0.237,0.368,0.348,0.331,0.359,0.375,0.383,0.414,0.413,0.347,0.413
Mato Grosso do Sul,MS,0.193,0.188,0.191,0.192,0.17,0.167,0.16,0.149,0.148,0.143,0.289,0.285,0.285,0.281,0.289,0.308,0.33,0.314,0.307,0.322
Mato Grosso,MT,0.208,0.205,0.198,0.198,0.218,0.199,0.178,0.16,0.143,0.158,0.31,0.287,0.295,0.287,0.288,0.297,0.301,0.29,0.288,0.302
Minas Gerais,MG,0.193,0.18,0.174,0.165,0.163,0.157,0.158,0.152,0.144,0.139,0.325,0.319,0.318,0.308,0.326,0.327,0.325,0.322,0.294,0.334
Paraíba,PB,0.289,0.295,0.27,0.268,0.262,0.267,0.265,0.254,0.228,0.244,0.375,0.362,0.368,0.37,0.369,0.385,0.408,0.434,0.368,0.409
Paraná,PR,0.184,0.175,0.171,0.169,0.174,0.169,0.155,0.144,0.139,0.133,0.299,0.299,0.284,0.286,0.295,0.312,0.323,0.313,0.313,0.314
Pará,PA,0.217,0.22,0.199,0.204,0.199,0.196,0.188,0.186,0.172,0.17,0.385,0.367,0.348,0.367,0.363,0.354,0.416,0.394,0.332,0.392
Pernambuco,PE,0.259,0.252,0.24,0.245,0.247,0.232,0.219,0.226,0.203,0.208,0.42,0.409,0.408,0.413,0.406,0.405,0.403,0.438,0.395,0.44
Piauí,PI,0.302,0.29,0.276,0.265,0.269,0.26,0.252,0.26,0.249,0.245,0.354,0.376,0.359,0.363,0.376,0.395,0.403,0.42,0.338,0.391
Rio de Janeiro,RJ,0.137,0.13,0.127,0.121,0.131,0.122,0.105,0.109,0.1,0.102,0.358,0.344,0.335,0.335,0.354,0.359,0.382,0.39,0.389,0.423
Rio Grande do Norte,RN,0.239,0.248,0.239,0.22,0.229,0.218,0.213,0.211,0.189,0.191,0.349,0.351,0.361,0.367,0.379,0.394,0.412,0.428,0.36,0.447
Rio Grande do Sul,RS,0.138,0.128,0.126,0.12,0.121,0.119,0.111,0.112,0.106,0.101,0.307,0.294,0.294,0.284,0.297,0.301,0.315,0.302,0.295,0.301
Rondônia,RO,0.222,0.22,0.232,0.211,0.218,0.2,0.19,0.175,0.155,0.181,0.345,0.322,0.289,0.306,0.316,0.299,0.329,0.321,0.282,0.326
Roraima,RR,0.191,0.186,0.181,0.182,0.209,0.179,0.177,0.161,0.143,0.156,0.397,0.369,0.361,0.368,0.376,0.38,0.452,0.434,0.402,0.447
Santa Catarina,SC,0.139,0.13,0.134,0.127,0.133,0.121,0.118,0.116,0.105,0.116,0.261,0.25,0.235,0.243,0.255,0.254,0.252,0.252,0.25,0.256
São Paulo,SP,0.141,0.136,0.134,0.13,0.127,0.118,0.115,0.111,0.104,0.104,0.318,0.314,0.312,0.309,0.334,0.343,0.343,0.329,0.338,0.352
Sergipe,SE,0.254,0.259,0.245,0.244,0.253,0.237,0.232,0.221,0.202,0.195,0.432,0.403,0.389,0.365,0.435,0.42,0.453,0.45,0.378,0.426
Tocantins,TO,0.242,0.244,0.239,0.241,0.258,0.234,0.224,0.217,0.199,0.207,0.357,0.334,0.337,0.337,0.33,0.327,0.363,0.392,0.336,0.33
