Territorialidades,UF,Índice de Gini 2012,Índice de Gini 2013,Índice de Gini 2014,Índice de Gini 2015,Índice de Gini 2016,Índice de Gini 2017,Índice de Gini 2018,Índice de Gini 2019,Índice de Gini 2020,Índice de Gini 2021
Acre,AC,0.566,0.553,0.529,0.549,0.564,0.545,0.557,0.559,0.515,0.539
Alagoas,AL,0.503,0.51,0.527,0.525,0.523,0.525,0.55,0.527,0.51,0.526
Amapá,AP,0.528,0.513,0.522,0.547,0.554,0.589,0.546,0.513,0.5,0.529
Amazonas,AM,0.589,0.581,0.562,0.553,0.558,0.591,0.544,0.566,0.533,0.541
Bahia,BA,0.563,0.535,0.528,0.522,0.539,0.59,0.55,0.557,0.537,0.546
Ceará,CE,0.545,0.537,0.522,0.528,0.543,0.547,0.547,0.562,0.544,0.549
Distrito Federal,DF,0.601,0.579,0.573,0.58,0.578,0.593,0.57,0.553,0.548,0.566
Espírito Santo,ES,0.489,0.499,0.501,0.505,0.51,0.506,0.509,0.52,0.484,0.508
Goiás,GO,0.474,0.465,0.458,0.456,0.467,0.477,0.47,0.459,0.445,0.467
Maranhão,MA,0.498,0.494,0.475,0.495,0.517,0.526,0.528,0.531,0.482,0.53
Mato Grosso do Sul,MS,0.475,0.472,0.472,0.449,0.47,0.464,0.49,0.483,0.469,0.496
Mato Grosso,MT,0.487,0.456,0.459,0.443,0.453,0.463,0.465,0.454,0.462,0.461
Minas Gerais,MG,0.5,0.491,0.49,0.485,0.491,0.493,0.492,0.487,0.461,0.487
Paraíba,PB,0.516,0.513,0.524,0.531,0.527,0.548,0.549,0.561,0.512,0.562
Paraná,PR,0.483,0.473,0.464,0.453,0.476,0.481,0.492,0.477,0.462,0.475
Pará,PA,0.533,0.531,0.507,0.514,0.51,0.506,0.562,0.528,0.48,0.529
Pernambuco,PE,0.574,0.566,0.566,0.567,0.567,0.551,0.534,0.574,0.536,0.579
Piauí,PI,0.495,0.535,0.516,0.52,0.528,0.529,0.53,0.537,0.473,0.516
Rio de Janeiro,RJ,0.528,0.517,0.511,0.503,0.525,0.519,0.543,0.552,0.548,0.565
Rio Grande do Norte,RN,0.508,0.505,0.51,0.518,0.543,0.523,0.54,0.554,0.512,0.587
Rio Grande do Sul,RS,0.495,0.477,0.479,0.466,0.473,0.481,0.486,0.482,0.476,0.468
Rondônia,RO,0.487,0.475,0.443,0.462,0.465,0.447,0.496,0.472,0.438,0.458
Roraima,RR,0.549,0.555,0.523,0.537,0.537,0.526,0.566,0.579,0.54,0.596
Santa Catarina,SC,0.435,0.428,0.408,0.414,0.421,0.414,0.417,0.421,0.412,0.424
São Paulo,SP,0.511,0.51,0.507,0.513,0.524,0.526,0.538,0.526,0.522,0.533
Sergipe,SE,0.569,0.572,0.543,0.539,0.567,0.551,0.577,0.581,0.524,0.568
Tocantins,TO,0.507,0.515,0.497,0.507,0.489,0.495,0.529,0.53,0.485,0.513
