Territorialidades,UF,Renda per capita 2012,Renda per capita 2013,Renda per capita 2014,Renda per capita 2015,Renda per capita 2016,Renda per capita 2017,Renda per capita 2018,Renda per capita 2019,Renda per capita 2020,Renda per capita 2021
Acre,AC,516.75,517.64,514.59,531.35,485.71,471.65,536.77,509.57,512.47,471.54
Alagoas,AL,395.06,401.31,444.05,418.37,422.39,405.8,421.03,419.89,443.65,404.28
Amapá,AP,528.23,588.89,575.63,585.99,557.38,561.52,506.21,501.53,494.32,451.27
Amazonas,AM,559.44,561.11,561.4,528.65,467.19,523.38,470.59,479.55,478.39,432.99
Bahia,BA,503.29,508.14,538.5,520.0,490.75,534.64,499.19,526.67,547.09,451.59
Ceará,CE,451.45,472.85,473.59,478.58,473.32,503.66,506.02,540.61,565.81,480.55
Distrito Federal,DF,1546.18,1568.87,1533.05,1553.68,1456.83,1508.91,1457.06,1498.74,1377.92,1326.87
Espírito Santo,ES,750.4,772.78,807.78,758.07,738.04,739.68,773.16,833.57,764.29,684.63
Goiás,GO,749.3,798.41,792.81,755.14,722.67,777.03,775.46,749.17,713.76,679.62
Maranhão,MA,338.42,350.41,356.63,362.31,367.42,370.74,362.29,366.24,382.11,341.32
Mato Grosso do Sul,MS,747.3,775.41,810.08,732.94,805.71,791.4,849.52,860.55,821.8,767.68
Mato Grosso,MT,758.68,788.18,792.86,746.52,727.13,766.18,819.61,791.12,777.37,707.48
Minas Gerais,MG,734.81,765.94,794.67,781.44,728.6,757.43,767.86,771.16,745.24,699.24
Paraíba,PB,453.47,471.12,520.86,543.81,495.42,557.71,525.07,523.09,497.15,465.74
Paraná,PR,887.28,912.6,932.8,873.96,884.45,900.0,937.67,926.61,854.53,817.79
Pará,PA,478.8,484.8,486.65,473.62,445.31,447.25,508.36,458.68,498.33,442.82
Pernambuco,PE,525.5,569.17,614.31,579.46,540.06,520.08,512.75,549.29,509.32,447.97
Piauí,PI,415.17,503.95,502.7,511.42,469.93,464.7,481.46,478.02,482.64,452.75
Rio de Janeiro,RJ,882.69,888.32,929.11,896.6,909.43,891.0,988.94,1044.95,961.32,901.42
Rio Grande do Norte,RN,478.88,516.0,536.41,574.89,573.92,524.68,569.89,595.13,603.61,593.46
Rio Grande do Sul,RS,944.64,984.82,1007.29,1001.71,976.02,998.33,994.83,1047.74,990.06,944.53
Rondônia,RO,593.78,599.8,589.03,583.8,572.81,596.82,663.76,644.99,640.9,541.74
Roraima,RR,691.06,717.96,673.18,703.36,679.72,613.07,718.35,607.23,548.93,549.54
Santa Catarina,SC,927.6,949.54,959.06,959.5,921.16,978.64,974.74,1000.82,925.29,901.2
São Paulo,SP,1037.42,1068.69,1093.25,1038.98,1072.88,1029.92,1099.62,1096.85,1032.89,971.82
Sergipe,SE,547.2,567.26,580.02,549.06,560.5,516.97,538.12,556.32,574.03,492.78
Tocantins,TO,529.31,550.02,593.84,579.19,546.78,575.58,617.0,598.77,588.48,564.61
