Ano,Região,UF,Código do Município,Nome do Município,Localização,Rede,Total_Abandono_EF2013,Total_Abandono_EM2013
2013,Norte,RO,1100015,ALTA FLORESTA D OESTE,Total,Total,3.5,11.1
2013,Norte,RO,1100015,ALTA FLORESTA D OESTE,Total,Publico,3.5,11.1
2013,Norte,RO,1100015,ALTA FLORESTA D OESTE,Total,Privada,0,--
2013,Norte,RO,1100015,ALTA FLORESTA D OESTE,Total,Municipal,3.9,--
2013,Norte,RO,1100015,ALTA FLORESTA D OESTE,Total,Estadual,3.3,11.1
2013,Norte,RO,1100015,ALTA FLORESTA D OESTE,Rural,Total,5.8,--
2013,Norte,RO,1100015,ALTA FLORESTA D OESTE,Rural,Publico,5.8,--
2013,Norte,RO,1100015,ALTA FLORESTA D OESTE,Rural,Municipal,4.8,--
2013,Norte,RO,1100015,ALTA FLORESTA D OESTE,Rural,Estadual,11.6,--
2013,Norte,RO,1100015,ALTA FLORESTA D OESTE,Urbana,Total,1.9,11.1
2013,Norte,RO,1100015,ALTA FLORESTA D OESTE,Urbana,Publico,1.9,11.1
2013,Norte,RO,1100015,ALTA FLORESTA D OESTE,Urbana,Privada,0,--
2013,Norte,RO,1100015,ALTA FLORESTA D OESTE,Urbana,Municipal,0,--
2013,Norte,RO,1100015,ALTA FLORESTA D OESTE,Urbana,Estadual,2.3,11.1
2013,Norte,RO,1100023,ARIQUEMES,Total,Total,2.1,11
2013,Norte,RO,1100023,ARIQUEMES,Total,Publico,2.2,11.7
2013,Norte,RO,1100023,ARIQUEMES,Total,Privada,0.1,0.5
2013,Norte,RO,1100023,ARIQUEMES,Total,Municipal,2.3,--
2013,Norte,RO,1100023,ARIQUEMES,Total,Federal,--,1
2013,Norte,RO,1100023,ARIQUEMES,Total,Estadual,2.3,13.3
2013,Norte,RO,1100023,ARIQUEMES,Rural,Total,3,1
2013,Norte,RO,1100023,ARIQUEMES,Rural,Publico,3,1
2013,Norte,RO,1100023,ARIQUEMES,Rural,Municipal,3,--
2013,Norte,RO,1100023,ARIQUEMES,Rural,Federal,--,1
2013,Norte,RO,1100023,ARIQUEMES,Urbana,Total,1.9,12.5
2013,Norte,RO,1100023,ARIQUEMES,Urbana,Publico,2,13.3
2013,Norte,RO,1100023,ARIQUEMES,Urbana,Privada,0.1,0.5
2013,Norte,RO,1100023,ARIQUEMES,Urbana,Municipal,2,--
2013,Norte,RO,1100023,ARIQUEMES,Urbana,Estadual,2.3,13.3
2013,Norte,RO,1100031,CABIXI,Total,Total,0.8,7.1
2013,Norte,RO,1100031,CABIXI,Total,Publico,0.8,7.1
