Ano,Região,UF,Código do Município,Nome do Município,Localização,Rede,Total_Abandono_EF2018,Total_Abandono_EM2018  
2018,Norte,RO,1100015,Alta Floresta D'Oeste,Total,Total,1.8,6.8
2018,Norte,RO,1100015,Alta Floresta D'Oeste,Urbana,Total,1.7,7.1
2018,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Total,2.4,0
2018,Norte,RO,1100015,Alta Floresta D'Oeste,Total,Estadual,1.3,6.8
2018,Norte,RO,1100015,Alta Floresta D'Oeste,Urbana,Estadual,1.5,7.1
2018,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Estadual,0,0
2018,Norte,RO,1100015,Alta Floresta D'Oeste,Total,Municipal,2.5,--
2018,Norte,RO,1100015,Alta Floresta D'Oeste,Urbana,Municipal,2,--
2018,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Municipal,3.5,--
2018,Norte,RO,1100015,Alta Floresta D'Oeste,Total,Pública,1.8,6.8
2018,Norte,RO,1100015,Alta Floresta D'Oeste,Urbana,Pública,1.7,7.1
2018,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Pública,2.4,0
2018,Norte,RO,1100023,Ariquemes,Total,Total,1.1,9.4
2018,Norte,RO,1100023,Ariquemes,Urbana,Total,1,10.6
2018,Norte,RO,1100023,Ariquemes,Rural,Total,1.5,4
2018,Norte,RO,1100023,Ariquemes,Total,Federal,--,0.3
2018,Norte,RO,1100023,Ariquemes,Rural,Federal,--,0.3
2018,Norte,RO,1100023,Ariquemes,Total,Estadual,1.8,11.4
2018,Norte,RO,1100023,Ariquemes,Urbana,Estadual,1.7,11.2
2018,Norte,RO,1100023,Ariquemes,Rural,Estadual,4.7,15.4
2018,Norte,RO,1100023,Ariquemes,Total,Municipal,0.9,--
2018,Norte,RO,1100023,Ariquemes,Urbana,Municipal,0.7,--
2018,Norte,RO,1100023,Ariquemes,Rural,Municipal,1.4,--
2018,Norte,RO,1100023,Ariquemes,Total,Privada,0.1,0
2018,Norte,RO,1100023,Ariquemes,Urbana,Privada,0.1,0
2018,Norte,RO,1100023,Ariquemes,Total,Pública,1.2,9.7
2018,Norte,RO,1100023,Ariquemes,Urbana,Pública,1.1,11.2
2018,Norte,RO,1100023,Ariquemes,Rural,Pública,1.5,4
2018,Norte,RO,1100031,Cabixi,Total,Total,0.1,8.7
2018,Norte,RO,1100031,Cabixi,Urbana,Total,0.1,9.1
2018,Norte,RO,1100031,Cabixi,Rural,Total,0,5.3
2018,Norte,RO,1100031,Cabixi,Total,Estadual,0.3,8.7
2018,Norte,RO,1100031,Cabixi,Urbana,Estadual,0.4,9.1
2018,Norte,RO,1100031,Cabixi,Rural,Estadual,0,5.3
2018,Norte,RO,1100031,Cabixi,Total,Municipal,0,--
2018,Norte,RO,1100031,Cabixi,Urbana,Municipal,0,--
2018,Norte,RO,1100031,Cabixi,Total,Pública,0.1,8.7
2018,Norte,RO,1100031,Cabixi,Urbana,Pública,0.1,9.1
2018,Norte,RO,1100031,Cabixi,Rural,Pública,0,5.3
2018,Norte,RO,1100049,Cacoal,Total,Total,0.8,4.9
2018,Norte,RO,1100049,Cacoal,Urbana,Total,0.8,4.9
2018,Norte,RO,1100049,Cacoal,Rural,Total,0.4,7.1
2018,Norte,RO,1100049,Cacoal,Total,Federal,--,0.4
2018,Norte,RO,1100049,Cacoal,Urbana,Federal,--,0.4
2018,Norte,RO,1100049,Cacoal,Total,Estadual,1.7,6.9
2018,Norte,RO,1100049,Cacoal,Urbana,Estadual,1.7,6.8
2018,Norte,RO,1100049,Cacoal,Rural,Estadual,2.3,10.5
2018,Norte,RO,1100049,Cacoal,Total,Municipal,0,--
2018,Norte,RO,1100049,Cacoal,Urbana,Municipal,0,--
2018,Norte,RO,1100049,Cacoal,Rural,Municipal,0.1,--
2018,Norte,RO,1100049,Cacoal,Total,Privada,0.1,1.1
2018,Norte,RO,1100049,Cacoal,Urbana,Privada,0,0
2018,Norte,RO,1100049,Cacoal,Rural,Privada,14.3,5.1
2018,Norte,RO,1100049,Cacoal,Total,Pública,0.9,5.8
2018,Norte,RO,1100049,Cacoal,Urbana,Pública,1.1,5.7
2018,Norte,RO,1100049,Cacoal,Rural,Pública,0.3,10.5
