Estado,Taxa_Abandono_EF2014,Taxa_Abandono_EM2014
Rondônia,2.4,9.3
Acre,2.7,10.5
Amazonas,4.3,12.2
Roraima,2.4,8.3
Pará,4.4,16.1
Amapá,2.9,12.6
Tocantins,1.7,8.1
Maranhão,3.3,9.8
Piauí,3,13.7
Ceará,1.8,7.9
Rio Grande do Norte,3.5,10
Paraíba,4.7,12.7
Pernambuco,2.8,3.2
Alagoas,5.7,13.9
Sergipe,4.4,13.6
Bahia,4.5,10
Minas Gerais,1.3,7.5
Espírito Santo,1.4,6.8
Rio de Janeiro,1.7,5.6
São Paulo,0.9,4.2
Paraná,1.3,6.8
Santa Catarina,0.5,6.5
Rio Grande do Sul,1.2,7.9
Mato Grosso do Sul,2.1,8.2
Mato Grosso,0.7,12.4
Goiás,1.5,5.8
Distrito Federal,1.2,5.2
