NO_UF,Total_Fundamental,Total_Medio,Total_Geral
Acre,163294.0,41693.0,204987.0
Alagoas,564389.0,129996.0,694385.0
Amapá,140874.0,37536.0,178410.0
Amazonas,753423.0,185228.0,938651.0
Bahia,2238360.0,575378.0,2813738.0
Ceará,1334512.0,400014.0,1734526.0
Distrito Federal,403001.0,109171.0,512172.0
Espírito Santo,522377.0,136558.0,658935.0
Goiás,901044.0,260562.0,1161606.0
Maranhão,1287895.0,308815.0,1596710.0
Mato Grosso,471582.0,160550.0,632132.0
Mato Grosso do Sul,407729.0,99411.0,507140.0
Minas Gerais,2775695.0,821588.0,3597283.0
Paraná,1528742.0,479519.0,2008261.0
Paraíba,605957.0,139415.0,745372.0
Pará,1511973.0,355976.0,1867949.0
Pernambuco,1416836.0,386668.0,1803504.0
Piauí,533279.0,148150.0,681429.0
Rio Grande do Norte,501937.0,141532.0,643469.0
Rio Grande do Sul,1422852.0,396297.0,1819149.0
Rio de Janeiro,2222442.0,596879.0,2819321.0
Rondônia,279837.0,65015.0,344852.0
Roraima,95158.0,21916.0,117074.0
Santa Catarina,819239.0,271439.0,1090678.0
Sergipe,356994.0,81568.0,438562.0
São Paulo,5673142.0,1892016.0,7565158.0
Tocantins,255039.0,71158.0,326197.0
