Taxa de Aprovação - 2009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Taxa de Reprovação - 2009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Taxa de Abandono - 2009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Taxa de Aprovação, segundo a Localização e a Dependência Administrativa, nos Níveis de Ensino Fundamental de 8 e 9 Anos e Médio, divididos por série, segundo as Unidades da Federação, 2009. ",,,,,,,,,,,,,,,,,,,,,,"Taxa de Reprovação,  segundo a Localização e a Dependência Administrativa, nos Níveis de Ensino Fundamental de 8 e 9 Anos e Médio, divididos por série, segundo as Unidades da Federação, em 2009.",,,,,,,,,,,,,,,,,,"Taxa de Abandono,   segundo a Localização e a Dependência Administrativa, nos Níveis de Ensino Fundamental de 8 e 9 Anos e Médio, divididos por série, segundo as Unidades da Federação, em 2009.",,,,,,,,,,,,,,,,,
Ano,UF,Localização,Rede,Aprovação no 1º Ano do Ensino Fundamental,Taxa de Aprovação - Ensino Fundamental de 8 e 9 anos,,,,,,,,,,,Taxa de Aprovação - Ensino Médio,,,,,,Taxa de Reprovação - Ensino Fundamental de 8 e 9 anos,,,,,,,,,,,,Taxa de Reprovação - Ensino Médio,,,,,,Taxa de Abandono - Ensino Fundamental de 8 e 9 anos,,,,,,,,,,,,Taxa de Abandono - Ensino Médio,,,,,
Ano,UF,Localização,Rede,Aprovação no 1º Ano do Ensino Fundamental,Aprovação na 1ª série/2º Ano,Aprovação na 2ª série/3º Ano,Aprovação na 3ª série/4º Ano,Aprovaçãona 4ª série/5º Ano,Aprovação na 5ª série/6º Ano,Aprovação na 6ª série/7º Ano,Aprovação na 7ª série/8º Ano,Aprovação na 8ª série/9º Ano,Aprovação 1ª a 4ª  Série/1º a 5º Ano,Aprovação 5ª a 8ª Série/ 6º ao 9º Ano,Total Aprovação Fundamental,Aprovação na 1ª série - Médio,Aprovação na 2ª série - Médio,Aprovação na 3ª série - Médio,Aprovação na 4ª série - Médio,Total  Aprovação Médio Não Seriado,Total  Aprovação Médio,Reprovação no 1º Ano do Ensino Fundamental,Reprovação na 1ª série/2º Ano,Reprovação na 2ª série/3º Ano,Reprovação na 3ª série/4º Ano,Reprovação na 4ª série/5º Ano,Reprovação na 5ª série/6º Ano,Reprovação na 6ª série/7º Ano,Reprovação na 7ª série/8º Ano,Reprovação na 8ª série/9º Ano,Reprovação 1ª a 4ª  Série/1º a 5º Ano,Reprovação 5ª a 8ª Série/ 6º ao 9º Ano,Total Reprovação Fundamental,Reprovação na 1ª série - Médio,Reprovação na 2ª série - Médio,Reprovação na 3ª série - Médio,Reprovação na 4ª série - Médio,Total  Reprovação Médio Não Seriado,Total  Reprovação Médio,Abandono no 1º Ano do Ensino Fundamental,Abandono na 1ª série/2º Ano,Abandono na 2ª série/3º Ano,Abandono na 3ª série/4º Ano,Abandono na 4ª série/5º Ano,Abandono na 5ª série/6º Ano,Abandono na 6ª série/7º Ano,Abandono na 7ª série/8º Ano,Abandono na 8ª série/9º Ano,Abandono 1ª a 4ª  Série/1º a 5º Ano,Abandono 5ª a 8ª Série/ 6º ao 9º Ano,Total Abandono Fundamental,Abandono na 1ª série - Médio,Abandono na 2ª série - Médio,Abandono na 3ª série - Médio,Abandono na 4ª série - Médio,Total  Abandono Médio Não Seriado,Total Abandono - Médio
Ano,UF,Localização,Rede,Aprovação no 1º Ano do Ensino Fundamental,Aprovação na 1ª série/2º Ano,Aprovação na 2ª série/3º Ano,Aprovação na 3ª série/4º Ano,Aprovaçãona 4ª série/5º Ano,Aprovação na 5ª série/6º Ano,Aprovação na 6ª série/7º Ano,Aprovação na 7ª série/8º Ano,Aprovação na 8ª série/9º Ano,Aprovação 1ª a 4ª  Série/1º a 5º Ano,Aprovação 5ª a 8ª Série/ 6º ao 9º Ano,Total Aprovação Fundamental,Aprovação na 1ª série - Médio,Aprovação na 2ª série - Médio,Aprovação na 3ª série - Médio,Aprovação na 4ª série - Médio,Total  Aprovação Médio Não Seriado,Total  Aprovação Médio,Reprovação no 1º Ano do Ensino Fundamental,Reprovação na 1ª série/2º Ano,Reprovação na 2ª série/3º Ano,Reprovação na 3ª série/4º Ano,Reprovação na 4ª série/5º Ano,Reprovação na 5ª série/6º Ano,Reprovação na 6ª série/7º Ano,Reprovação na 7ª série/8º Ano,Reprovação na 8ª série/9º Ano,Reprovação 1ª a 4ª  Série/1º a 5º Ano,Reprovação 5ª a 8ª Série/ 6º ao 9º Ano,Total Reprovação Fundamental,Reprovação na 1ª série - Médio,Reprovação na 2ª série - Médio,Reprovação na 3ª série - Médio,Reprovação na 4ª série - Médio,Total  Reprovação Médio Não Seriado,Total  Reprovação Médio,Abandono no 1º Ano do Ensino Fundamental,Abandono na 1ª série/2º Ano,Abandono na 2ª série/3º Ano,Abandono na 3ª série/4º Ano,Abandono na 4ª série/5º Ano,Abandono na 5ª série/6º Ano,Abandono na 6ª série/7º Ano,Abandono na 7ª série/8º Ano,Abandono na 8ª série/9º Ano,Abandono 1ª a 4ª  Série/1º a 5º Ano,Abandono 5ª a 8ª Série/ 6º ao 9º Ano,Total Abandono Fundamental,Abandono na 1ª série - Médio,Abandono na 2ª série - Médio,Abandono na 3ª série - Médio,Abandono na 4ª série - Médio,Total  Abandono Médio Não Seriado,Total Abandono - Médio
Ano,UF,Localização,Rede,Aprovação no 1º Ano do Ensino Fundamental,Aprovação na 1ª série/2º Ano,Aprovação na 2ª série/3º Ano,Aprovação na 3ª série/4º Ano,Aprovaçãona 4ª série/5º Ano,Aprovação na 5ª série/6º Ano,Aprovação na 6ª série/7º Ano,Aprovação na 7ª série/8º Ano,Aprovação na 8ª série/9º Ano,Aprovação 1ª a 4ª  Série/1º a 5º Ano,Aprovação 5ª a 8ª Série/ 6º ao 9º Ano,Total Aprovação Fundamental,Aprovação na 1ª série - Médio,Aprovação na 2ª série - Médio,Aprovação na 3ª série - Médio,Aprovação na 4ª série - Médio,Total  Aprovação Médio Não Seriado,Total  Aprovação Médio,Reprovação no 1º Ano do Ensino Fundamental,Reprovação na 1ª série/2º Ano,Reprovação na 2ª série/3º Ano,Reprovação na 3ª série/4º Ano,Reprovação na 4ª série/5º Ano,Reprovação na 5ª série/6º Ano,Reprovação na 6ª série/7º Ano,Reprovação na 7ª série/8º Ano,Reprovação na 8ª série/9º Ano,Reprovação 1ª a 4ª  Série/1º a 5º Ano,Reprovação 5ª a 8ª Série/ 6º ao 9º Ano,Total Reprovação Fundamental,Reprovação na 1ª série - Médio,Reprovação na 2ª série - Médio,Reprovação na 3ª série - Médio,Reprovação na 4ª série - Médio,Total  Reprovação Médio Não Seriado,Total  Reprovação Médio,Abandono no 1º Ano do Ensino Fundamental,Abandono na 1ª série/2º Ano,Abandono na 2ª série/3º Ano,Abandono na 3ª série/4º Ano,Abandono na 4ª série/5º Ano,Abandono na 5ª série/6º Ano,Abandono na 6ª série/7º Ano,Abandono na 7ª série/8º Ano,Abandono na 8ª série/9º Ano,Abandono 1ª a 4ª  Série/1º a 5º Ano,Abandono 5ª a 8ª Série/ 6º ao 9º Ano,Total Abandono Fundamental,Abandono na 1ª série - Médio,Abandono na 2ª série - Médio,Abandono na 3ª série - Médio,Abandono na 4ª série - Médio,Total  Abandono Médio Não Seriado,Total Abandono - Médio
2009,RO,Rural,Estadual,95.4,71,76.2,80.9,84.4,71.9,76.8,83.8,86.6,80.2,78.7,79.5,70,80.9,85.4,--,--,77,1.9,20.7,17.2,13.9,10.9,19.7,15,10.1,6,14,13.7,13.9,13.7,7.5,7.5,--,--,10.3,2.7,8.3,6.6,5.2,4.7,8.4,8.2,6.1,7.4,5.8,7.6,6.6,16.3,11.6,7.1,--,--,12.7
2009,RO,Rural,Federal,--,--,--,--,--,--,--,--,--,--,--,--,97.8,97.6,98.9,--,--,98.1,--,--,--,--,--,--,--,--,--,--,--,--,1.4,1.2,1.1,--,--,1.3,--,--,--,--,--,--,--,--,--,--,--,--,0.8,1.2,0,--,--,0.6
2009,RO,Rural,Municipal,97.9,75.5,81.5,84.6,88.2,72.9,78.6,83,89.4,84.7,80,82.8,77.4,--,--,--,80.3,79.1,0.5,21.6,16.2,13.3,9.4,20.3,14.8,10.6,5.2,12.9,13.6,13.2,0,--,--,--,0,0,1.6,2.9,2.3,2.1,2.4,6.8,6.6,6.4,5.4,2.4,6.4,4,22.6,--,--,--,19.7,20.9
2009,RO,Rural,Particular,100,100,100,100,100,97.3,97.7,96.3,98.9,100,97.6,97.8,97.9,98.7,99.3,95.7,--,98.1,0,0,0,0,0,0,2.3,2.5,0,0,1.2,1.1,1.7,0.6,0,2.2,--,1.1,0,0,0,0,0,2.7,0,1.2,1.1,0,1.2,1.1,0.4,0.7,0.7,2.1,--,0.8
2009,RO,Rural,Publico,97.7,75,80.9,84.2,87.9,72.8,78.4,83.1,89,84.3,79.9,82.4,74.1,82.9,87.7,--,80.3,79.9,0.6,21.5,16.3,13.4,9.5,20.2,14.9,10.5,5.3,13,13.6,13.3,11.4,6.7,6.5,--,0,8.5,1.7,3.5,2.8,2.4,2.6,7,6.7,6.4,5.7,2.7,6.5,4.3,14.5,10.4,5.8,--,19.7,11.6
