Ano,Unidade Geográfica,Localização,Dependência Administrativa,Total,Anos Iniciais,Anos Finais,1º Ano ,2º Ano,3º Ano,4º Ano,5º Ano,6º Ano,7º Ano,8º Ano,9º Ano,Total,1ª série,2ª série,3ª série,4ª série,Não-Seriado,Total,Anos Iniciais,Anos Finais,1º Ano ,2º Ano,3º Ano,4º Ano,5º Ano,6º Ano,7º Ano,8º Ano,9º Ano,Total,1ª série,2ª série,3ª série,4ª série,Não-Seriado,Total_Abandono_EF2016,Anos Iniciais,Anos Finais,1º Ano ,2º Ano,3º Ano,4º Ano,5º Ano,6º Ano,7º Ano,8º Ano,9º Ano,Total_Abandono_EM2016,1ª série,2ª série,3ª série,4ª série,Não-Seriado
2016,Norte,Rondônia,Total,Total,90.2,92,87.7,98,98.3,85.9,88.8,92.7,84.9,87.6,89.5,90,84.6,77.3,86.5,92.8,92.5,86,7.9,7.1,9,0.9,0.9,13.4,10.3,6.2,11.8,9.4,7.4,6,8.2,13.1,6.5,3.3,5.7,2.4,1.9,0.9,3.3,1.1,0.8,0.7,0.9,1.1,3.3,3,3.1,4,7.2,9.6,7,3.9,1.8,11.6
2016,Norte,Rondônia,Urbana,Pública,90.3,92.3,87.6,98,98.7,86.3,89.2,93.1,85.2,87.8,89.4,89.1,83.7,76,85.9,92.3,91.8,86.9,7.9,7,9.1,1,0.8,13.2,10.1,6,11.5,9.3,7.7,6.8,8.7,14,6.9,3.6,5.8,1.5,1.8,0.7,3.3,1,0.5,0.5,0.7,0.9,3.3,2.9,2.9,4.1,7.6,10,7.2,4.1,2.4,11.6
2016,Norte,Rondônia,Rural,Pública,87.4,88.6,85.4,97,96.7,81.1,84.5,89.5,80.3,84.7,88.1,90.9,86,83.1,85,91.4,88.6,68.4,9.8,9.6,10.2,1,1.3,17.2,13.8,8.4,15.4,11.2,7.2,4.4,4.8,6.4,4.3,2.5,11.4,26.3,2.8,1.8,4.4,2,2,1.7,1.7,2.1,4.3,4.1,4.7,4.7,9.2,10.5,10.7,6.1,0,5.3
2016,Norte,Rondônia,Total,Pública,89.6,91.4,87.1,97.8,98.2,85,88,92.2,84.2,87.1,89.1,89.5,83.9,76.5,85.9,92.2,91.6,86.7,8.3,7.6,9.3,1,1,14.2,11,6.6,12.3,9.7,7.6,6.3,8.4,13.4,6.7,3.5,6.3,1.8,2.1,1,3.6,1.2,0.8,0.8,1,1.2,3.5,3.2,3.3,4.2,7.7,10.1,7.4,4.3,2.1,11.5
2016,Norte,Rondônia,Urbana,Privada,97.9,99.1,95.8,99.8,99.3,98.5,99.3,98.5,95.4,95.5,95.6,96.8,93.9,89.3,94.7,99.3,--,73.6,1.9,0.7,4,0.1,0.1,1.5,0.7,1.4,4.4,4.4,4.2,2.9,5.5,10.3,5.1,0.6,--,12.5,0.2,0.2,0.2,0.1,0.6,0,0,0.1,0.2,0.1,0.2,0.3,0.6,0.4,0.2,0.1,--,13.9
2016,Norte,Rondônia,Rural,Privada,95.4,96.1,94.9,100,100,90.3,92.3,97.4,92.3,94.6,94.8,100,94.7,93.6,95.8,94,96.3,--,4.2,2.6,5.1,0,0,6.5,7.7,0,7.7,5.4,5.2,0,4.4,5.3,2.8,5,3.7,--,0.4,1.3,0,0,0,3.2,0,2.6,0,0,0,0,0.9,1.1,1.4,1,0,--
2016,Norte,Rondônia,Urbana,Municipal,91.1,91.8,82.6,97.9,98.4,85.8,87.3,91.9,76.8,82.8,86.9,90.8,--,--,--,--,--,--,7.9,7.4,13.5,1,0.9,13.7,11.8,7,18.6,13.7,9.3,5.9,--,--,--,--,--,--,1,0.8,3.9,1.1,0.7,0.5,0.9,1.1,4.6,3.5,3.8,3.3,--,--,--,--,--,--
2016,Norte,Rondônia,Rural,Municipal,87.6,88.9,85,97.1,97.1,81.8,84.4,89.7,78.6,84.4,88.5,92.2,--,--,--,--,--,--,10.1,9.6,11.3,1.1,1.5,17,14,8.5,17.8,12,7.6,4.2,--,--,--,--,--,--,2.3,1.5,3.7,1.8,1.4,1.2,1.6,1.8,3.6,3.6,3.9,3.6,--,--,--,--,--,--
2016,Norte,Rondônia,Urbana,Federal,--,--,--,--,--,--,--,--,--,--,--,--,85.6,76.6,89.2,94.3,91.8,--,--,--,--,--,--,--,--,--,--,--,--,--,13.3,22.3,10.6,4.5,5.8,--,--,--,--,--,--,--,--,--,--,--,--,--,1.1,1.1,0.2,1.2,2.4,--
2016,Norte,Rondônia,Rural,Federal,--,--,--,--,--,--,--,--,--,--,--,--,94.1,91,96.5,97,88.6,--,--,--,--,--,--,--,--,--,--,--,--,--,5.2,8.2,2.8,2.3,11.4,--,--,--,--,--,--,--,--,--,--,--,--,--,0.7,0.8,0.7,0.7,0,--
2016,Norte,Rondônia,Urbana,Estadual,89.7,93.4,88.1,98.7,99.2,87.5,92.4,94.9,86.2,88.3,89.6,89,83.6,75.9,85.8,92.2,--,86.9,7.9,6.1,8.7,0.6,0.5,12.1,7,4.4,10.7,8.9,7.6,6.8,8.5,13.5,6.7,3.6,--,1.5,2.4,0.5,3.2,0.7,0.3,0.4,0.6,0.7,3.1,2.8,2.8,4.2,7.9,10.6,7.5,4.2,--,11.6
2016,Norte,Rondônia,Rural,Estadual,86.4,86.5,86.3,96,94.5,76.7,85.3,88.2,84.5,85.6,87.3,88.4,83.7,80.9,81.9,89.8,--,68.4,8.4,9.6,7.7,0.5,0.4,19,12.1,7.8,9.7,9,6.4,4.9,4.7,5.9,4.7,2.6,--,26.3,5.2,3.9,6,3.5,5.1,4.3,2.6,4,5.8,5.4,6.3,6.7,11.6,13.2,13.4,7.6,--,5.3
2016,Norte,Rondônia,Total,Privada,97.9,99.1,95.8,99.8,99.3,98.4,99.2,98.5,95.3,95.5,95.5,96.9,94.1,89.9,94.8,98.4,96.3,73.6,1.9,0.8,4.1,0.1,0.1,1.6,0.8,1.4,4.5,4.5,4.3,2.8,5.4,9.6,4.9,1.3,3.7,12.5,0.2,0.1,0.1,0.1,0.6,0,0,0.1,0.2,0,0.2,0.3,0.5,0.5,0.3,0.3,0,13.9
2016,Norte,Rondônia,Total,Municipal,89.8,91,84.3,97.7,98.1,84.6,86.4,91.2,78,84,88,91.9,--,--,--,--,--,--,8.7,8,12,1,1.1,14.6,12.5,7.5,18,12.5,8.1,4.6,--,--,--,--,--,--,1.5,1,3.7,1.3,0.8,0.8,1.1,1.3,4,3.5,3.9,3.5,--,--,--,--,--,--
2016,Norte,Rondônia,Total,Federal,--,--,--,--,--,--,--,--,--,--,--,--,88,80.7,91.7,95.3,91.6,--,--,--,--,--,--,--,--,--,--,--,--,--,11,18.4,8,3.6,6.3,--,--,--,--,--,--,--,--,--,--,--,--,--,1,0.9,0.3,1.1,2.1,--
2016,Norte,Rondônia,Total,Estadual,89.4,92.6,87.9,98.3,98.6,86.1,91.7,94.2,86,88.1,89.4,88.9,83.6,76.3,85.6,92,--,86.7,8,6.5,8.6,0.6,0.5,13,7.6,4.8,10.6,8.9,7.5,6.7,8.2,13,6.6,3.5,--,1.8,2.6,0.9,3.5,1.1,0.9,0.9,0.7,1,3.4,3,3.1,4.4,8.2,10.7,7.8,4.5,--,11.5
2016,Norte,Rondônia,Urbana,Total,91,93,88.3,98.3,98.7,87.4,90.1,93.6,86,88.4,89.9,89.8,84.4,76.7,86.6,92.9,91.8,86.3,7.3,6.3,8.7,0.8,0.7,12.2,9.2,5.5,10.9,8.9,7.4,6.4,8.5,13.8,6.8,3.4,5.8,2,1.7,0.7,3,0.9,0.6,0.4,0.7,0.9,3.1,2.7,2.7,3.8,7.1,9.5,6.6,3.7,2.4,11.7
2016,Norte,Rondônia,Rural,Total,87.4,88.6,85.5,97,96.8,81.2,84.5,89.6,80.4,84.9,88.2,91,87.2,84.2,86.1,91.8,94.4,68.4,9.8,9.5,10.2,1,1.3,17.2,13.8,8.4,15.3,11.1,7.2,4.4,4.7,6.3,4.2,2.9,5.6,26.3,2.8,1.9,4.3,2,1.9,1.6,1.7,2,4.3,4,4.6,4.6,8.1,9.5,9.7,5.3,0,5.3
2016,Norte,Acre,Total,Total,90.7,90.5,90.9,98,84.1,88.7,90.9,93.5,90.2,90.8,91.8,90.9,81.3,73.3,86.4,86.1,85.9,--,7,7.9,5.6,0.4,14.1,10,7.5,5,6.8,5.4,4.9,5.2,9.7,14.6,7.7,5.7,10.9,--,2.3,1.6,3.5,1.6,1.8,1.3,1.6,1.5,3,3.8,3.3,3.9,9,12.1,5.9,8.2,3.2,--
2016,Norte,Acre,Urbana,Pública,92.9,93.4,92.2,99.4,89,91.1,93.4,95.7,92.3,92.8,92.8,90.9,79.2,70,84.8,84.4,85.9,--,5.9,6,5.8,0,10.2,8.4,6,3.7,6.3,5.7,5.2,5.8,11.2,17.1,8.8,6.5,10.9,--,1.2,0.6,2,0.6,0.8,0.5,0.6,0.6,1.4,1.5,2,3.3,9.6,12.9,6.4,9.1,3.2,--
2016,Norte,Acre,Rural,Pública,85.3,84.5,86.7,94.9,74.5,83.5,85.8,89,84.6,85.6,88.2,89.6,88.7,84.4,91.6,92.7,--,--,10,12.1,6.1,1.1,22,13.7,10.8,7.7,8.8,5.6,4.7,4.1,3.4,4.7,2.9,1.8,--,--,4.7,3.4,7.2,4,3.5,2.8,3.4,3.3,6.6,8.8,7.1,6.3,7.9,10.9,5.5,5.5,--,--
2016,Norte,Acre,Total,Pública,90.2,90.1,90.5,97.9,83.4,88.2,90.5,93.2,89.8,90.4,91.5,90.5,80.7,72.5,85.9,85.5,85.9,--,7.3,8.3,5.9,0.4,14.8,10.4,7.8,5.2,7.1,5.7,5.1,5.4,10,14.9,7.9,5.9,10.9,--,2.5,1.6,3.6,1.7,1.8,1.4,1.7,1.6,3.1,3.9,3.4,4.1,9.3,12.6,6.2,8.6,3.2,--
2016,Norte,Acre,Urbana,Privada,99.4,99.6,99.1,99.7,99.8,99.3,99.4,99.9,99.1,99.1,99,99.1,95.4,91.8,96,98.4,--,--,0.6,0.4,0.8,0.3,0.2,0.7,0.5,0.1,0.6,0.9,1,0.9,4.6,8.2,4,1.6,--,--,0,0,0.1,0,0,0,0.1,0,0.3,0,0,0,0,0,0,0,--,--
2016,Norte,Acre,Urbana,Municipal,91.7,91.8,90.4,99.2,87.2,89.2,92.1,93.7,86.5,89.9,91.8,95.4,--,--,--,--,--,--,7.3,7.3,6.9,0,11.7,10.1,7.2,5.4,11.4,7.9,5,1.2,--,--,--,--,--,--,1,0.9,2.7,0.8,1.1,0.7,0.7,0.9,2.1,2.2,3.2,3.4,--,--,--,--,--,--
2016,Norte,Acre,Rural,Municipal,83.8,83.5,85,96.4,71.9,81.8,84.5,89.9,82.6,82.6,87.4,89.4,--,--,--,--,--,--,11.9,13,7.3,0.4,24.4,15.3,11.5,6.9,10.8,6.9,5.3,4.4,--,--,--,--,--,--,4.3,3.5,7.7,3.2,3.7,2.9,4,3.2,6.6,10.5,7.3,6.2,--,--,--,--,--,--
2016,Norte,Acre,Urbana,Federal,87.8,91.8,85.1,100,96,96.7,77.8,89.7,77.8,93.1,67.9,91.9,83.7,76.8,87,98.7,85.9,--,11.9,8.2,14.4,0,4,3.3,22.2,10.3,22.2,6.9,32.1,6.5,12.1,17.1,9.6,1.3,10.9,--,0.3,0,0.5,0,0,0,0,0,0,0,0,1.6,4.2,6.1,3.4,0,3.2,--
2016,Norte,Acre,Urbana,Estadual,93.4,94.9,92.4,99.6,90.9,93.1,94.8,97.5,92.8,93,92.9,90.6,79,69.7,84.8,84.2,--,--,5.2,4.7,5.6,0,8.6,6.6,4.9,2.2,5.8,5.5,5.1,6.1,11.2,17.1,8.8,6.6,--,--,1.4,0.4,2,0.4,0.5,0.3,0.3,0.3,1.4,1.5,2,3.3,9.8,13.2,6.4,9.2,--,--
2016,Norte,Acre,Rural,Estadual,86.9,86.4,87.5,92.1,79.6,86.6,88,87.7,85.7,86.7,88.7,89.7,88.7,84.4,91.6,92.7,--,--,7.9,10.4,5.5,2.3,17.2,11,9.5,8.9,7.8,5.1,4.4,4.1,3.4,4.7,2.9,1.8,--,--,5.2,3.2,7,5.6,3.2,2.4,2.5,3.4,6.5,8.2,6.9,6.2,7.9,10.9,5.5,5.5,--,--
2016,Norte,Acre,Total,Privada,99.4,99.6,99.1,99.7,99.8,99.3,99.4,99.9,99.1,99.1,99,99.1,95.4,91.8,96,98.4,--,--,0.6,0.4,0.8,0.3,0.2,0.7,0.5,0.1,0.6,0.9,1,0.9,4.6,8.2,4,1.6,--,--,0,0,0.1,0,0,0,0.1,0,0.3,0,0,0,0,0,0,0,--,--
2016,Norte,Acre,Total,Municipal,88,88.2,86.9,98.1,80.3,85.9,88.7,92,83.9,85.3,88.8,91.5,--,--,--,--,--,--,9.4,9.8,7.1,0.2,17.4,12.4,9.1,6,11,7.3,5.2,3.2,--,--,--,--,--,--,2.6,2,6,1.7,2.3,1.7,2.2,2,5.1,7.4,6,5.3,--,--,--,--,--,--
2016,Norte,Acre,Total,Federal,87.8,91.8,85.1,100,96,96.7,77.8,89.7,77.8,93.1,67.9,91.9,83.7,76.8,87,98.7,85.9,--,11.9,8.2,14.4,0,4,3.3,22.2,10.3,22.2,6.9,32.1,6.5,12.1,17.1,9.6,1.3,10.9,--,0.3,0,0.5,0,0,0,0,0,0,0,0,1.6,4.2,6.1,3.4,0,3.2,--
2016,Norte,Acre,Total,Estadual,91.7,92.3,91.2,97.6,87.5,91,92.8,94.5,91,91.3,92,90.4,80.6,72.4,85.9,85.3,--,--,6,6.4,5.6,0.6,11.2,8,6.3,4.2,6.4,5.4,5,5.6,9.9,14.8,7.8,6,--,--,2.3,1.3,3.2,1.8,1.3,1,0.9,1.3,2.6,3.3,3,4,9.5,12.8,6.3,8.7,--,--
2016,Norte,Acre,Urbana,Total,93.3,93.8,92.6,99.4,89.8,91.7,93.8,96,92.7,93.2,93.1,91.4,80,71.1,85.5,85.3,85.9,--,5.6,5.6,5.5,0,9.5,7.9,5.7,3.5,6,5.4,5,5.5,10.8,16.6,8.6,6.2,10.9,--,1.1,0.6,1.9,0.6,0.7,0.4,0.5,0.5,1.3,1.4,1.9,3.1,9.2,12.3,5.9,8.5,3.2,--
