Ano,Unidade Geográfica,Localização,Dependência Administrativa,Total,Anos Iniciais,Anos Finais,1º Ano ,2º Ano,3º Ano,4º Ano,5º Ano,6º Ano,7º Ano,8º Ano,9º Ano,Total,1ª série,2ª série,3ª série,4ª série,Não-Seriado,Total,Anos Iniciais,Anos Finais,1º Ano ,2º Ano,3º Ano,4º Ano,5º Ano,6º Ano,7º Ano,8º Ano,9º Ano,Total,1ª série,2ª série,3ª série,4ª série,Não-Seriado,Total_Abandono_EF2023,Anos Iniciais,Anos Finais,1º Ano ,2º Ano,3º Ano,4º Ano,5º Ano,6º Ano,7º Ano,8º Ano,9º Ano,Total_Abandono_EM2023,1ª série,2ª série,3ª série,4ª série,Não-Seriado
2023,Brasil,Total,Total,95.8,97.2,94,99,98.4,95.8,96.8,96.3,93.4,93.7,93.9,95,91.3,88.9,91.6,94.5,93.1,90.1,3.5,2.5,4.8,0.6,1.4,4,2.9,3.3,5.7,5.2,4.7,3.6,5.3,7.5,5,2.8,4.4,3.7,0.7,0.3,1.2,0.4,0.2,0.2,0.3,0.4,0.9,1.1,1.4,1.4,3.4,3.6,3.4,2.7,2.5,6.2
2023,Brasil,Urbana,Total,96.2,97.6,94.5,99.1,98.4,96.2,97.3,97.1,94.1,94.2,94.4,95.2,91.3,88.8,91.5,94.5,93.3,90,3.2,2.2,4.5,0.6,1.4,3.6,2.5,2.6,5.2,4.9,4.5,3.6,5.4,7.6,5.1,2.8,4.3,3.8,0.6,0.2,1,0.3,0.2,0.2,0.2,0.3,0.7,0.9,1.1,1.2,3.3,3.6,3.4,2.7,2.4,6.2
2023,Brasil,Rural,Total,93.1,95,90.3,98.9,98.1,92.8,93.7,91.7,88.2,89.6,90.6,93.5,92.5,91,93.3,93.9,90.9,90.8,5.5,4.5,7,0.6,1.5,6.7,5.7,7.5,9.7,7.8,6.2,3.7,3.9,5.1,3.3,2.9,4.8,2.2,1.4,0.5,2.7,0.5,0.4,0.5,0.6,0.8,2.1,2.6,3.2,2.8,3.6,3.9,3.4,3.2,4.3,7
2023,Brasil,Total,Federal,96.5,98.2,95.9,98.6,97.6,97.8,98.3,98.7,97,96.1,95.4,95.1,90.3,87.3,90.9,93.8,91.2,89.3,3.4,1.7,4,1.1,2.4,2.2,1.6,1.3,3,3.8,4.5,4.8,8.3,11.3,8.1,5,6.8,7.5,0.1,0.1,0.1,0.3,0,0,0.1,0,0,0.1,0.1,0.1,1.4,1.4,1,1.2,2,3.2
2023,Brasil,Urbana,Federal,96.5,98.2,95.9,98.6,97.6,97.8,98.3,98.7,97,96.1,95.4,95.1,90.1,87.3,90.6,93.6,91.5,88.6,3.4,1.7,4,1.1,2.4,2.2,1.6,1.3,3,3.8,4.5,4.8,8.4,11.3,8.3,5.2,6.4,8,0.1,0.1,0.1,0.3,0,0,0.1,0,0,0.1,0.1,0.1,1.5,1.4,1.1,1.2,2.1,3.4
2023,Brasil,Rural,Federal,--,--,--,--,--,--,--,--,--,--,--,--,91.3,87.5,92.3,95.3,87,94,--,--,--,--,--,--,--,--,--,--,--,--,7.7,11.3,6.9,4,12.2,4.3,--,--,--,--,--,--,--,--,--,--,--,--,1,1.2,0.8,0.7,0.8,1.7
2023,Brasil,Total,Estadual,95.4,97.5,94.7,99,98.4,96.1,97.8,96.5,95.1,95,94.5,94.1,90.5,88,90.7,93.7,94.6,91.5,3.6,2.1,4.2,0.5,1.2,3.5,1.8,3,4.2,4.1,4.2,4.3,5.7,7.9,5.4,3.1,2.7,3.5,1,0.4,1.1,0.5,0.4,0.4,0.4,0.5,0.7,0.9,1.3,1.6,3.8,4.1,3.9,3.2,2.7,5
2023,Brasil,Urbana,Estadual,95.5,97.8,94.8,99.1,98.6,96.4,98.2,96.9,95.2,95.1,94.6,94.2,90.4,87.7,90.5,93.7,95,91.6,3.6,1.9,4.2,0.4,1.1,3.2,1.5,2.7,4.1,4.1,4.2,4.3,5.8,8.1,5.5,3.1,2.7,3.6,0.9,0.3,1,0.5,0.3,0.4,0.3,0.4,0.7,0.8,1.2,1.5,3.8,4.2,4,3.2,2.3,4.8
2023,Brasil,Rural,Estadual,93.5,94.1,93.2,97.4,96.8,92.5,93.7,90.9,93,93.4,93.5,93,92.6,91.3,93.3,93.8,87.4,89.5,4.6,4.6,4.5,1.2,2.2,6.4,4.9,7.5,5.3,4.5,4.1,4.2,3.6,4.7,3.1,2.9,2.7,1.5,1.9,1.3,2.3,1.4,1,1.1,1.4,1.6,1.7,2.1,2.4,2.8,3.8,4,3.6,3.3,9.9,9
2023,Brasil,Total,Municipal,95,96.6,91.8,99,98.1,94.8,95.9,95.6,90.2,90.9,91.8,94.8,93.7,91.7,94.3,96.1,96.8,66.1,4.2,3,6.6,0.7,1.7,4.9,3.7,4,8.5,7.5,6.3,3.5,4.2,5.7,3.6,2.3,1,33.9,0.8,0.4,1.6,0.3,0.2,0.3,0.4,0.4,1.3,1.6,1.9,1.7,2.1,2.6,2.1,1.6,2.2,0
