Estado,Abandono_EF2007,Abandono_EM2007,Abandono_EF2008,Abandono_EM2008,Abandono_EF2009,Abandono_EM2009,Abandono_EF2010,Abandono_EM2010,Abandono_EF2011,Abandono_EM2011,Abandono_EF2012,Abandono_EM2012,Abandono_EF2013,Abandono_EM2013,Abandono_EF2014,Abandono_EM2014,Abandono_EF2015,Abandono_EM2015,Abandono_EF2016,Abandono_EM2016,Abandono_EF2017,Abandono_EM2017,Abandono_EF2018,Abandono_EM2018,Abandono_EF2019,Abandono_EM2019,Abandono_EF2020,Abandono_EM2020,Abandono_EF2021,Abandono_EM2021,Abandono_EF2022,Abandono_EM2022,Abandono_EF2023,Abandono_EM2023,valor_medio_bf_ajustado_2007,qtd_familias_beneficiarias_bolsa_familia_ajustado_2007,valor_medio_bf_ajustado_2008,qtd_familias_beneficiarias_bolsa_familia_ajustado_2008,valor_medio_bf_ajustado_2009,qtd_familias_beneficiarias_bolsa_familia_ajustado_2009,valor_medio_bf_ajustado_2010,qtd_familias_beneficiarias_bolsa_familia_ajustado_2010,valor_medio_bf_ajustado_2011,qtd_familias_beneficiarias_bolsa_familia_ajustado_2011,valor_medio_bf_ajustado_2012,qtd_familias_beneficiarias_bolsa_familia_ajustado_2012,valor_medio_bf_ajustado_2013,qtd_familias_beneficiarias_bolsa_familia_ajustado_2013,valor_medio_bf_ajustado_2014,qtd_familias_beneficiarias_bolsa_familia_ajustado_2014,valor_medio_bf_ajustado_2015,qtd_familias_beneficiarias_bolsa_familia_ajustado_2015,valor_medio_bf_ajustado_2016,qtd_familias_beneficiarias_bolsa_familia_ajustado_2016,valor_medio_bf_ajustado_2017,qtd_familias_beneficiarias_bolsa_familia_ajustado_2017,valor_medio_bf_ajustado_2018,qtd_familias_beneficiarias_bolsa_familia_ajustado_2018,valor_medio_bf_ajustado_2019,qtd_familias_beneficiarias_bolsa_familia_ajustado_2019,valor_medio_bf_ajustado_2020,qtd_familias_beneficiarias_bolsa_familia_ajustado_2020,valor_medio_bf_ajustado_2021,qtd_familias_beneficiarias_bolsa_familia_ajustado_2021,valor_medio_bf_ajustado_2023,qtd_familias_beneficiarias_bolsa_familia_ajustado_2023
Acre,4470,5512,6739,5563,7147,5110,6316,5553,5655,4543,5270,4006,4409,4169,4423,4436,4396,4177,3691,3832,3667,2735,3468,2403,3284,2439,2820,1296,3978,2522,4040,3706,3684,2453,184.37,53543.0,208.73,56773.0,220.64,58881.0,231.49,59688.0,257.21,57789.0,361.93,67021.0,364.93,72393.0,376.98,78772.0,374.12,83868.0,349.9,83868.0,358.37,83933.0,347.57,87792.0,345.43,89453.0,112.29,89665.0,209.16,75661.0,7545.87,109169.0
Alagoas,48121,32874,37666,28108,33893,32474,26497,29045,46589,25066,44245,23988,36121,19369,30730,17789,26694,17013,23686,15679,16610,10347,14227,9708,7136,7088,5112,587,5047,9718,7253,8543,2634,3143,175.03,343985.0,194.69,353460.0,203.34,378938.0,210.65,407457.0,228.05,419702.0,294.55,429494.0,277.73,430818.0,277.21,440527.0,270.36,400354.0,252.85,400354.0,257.33,394360.0,251.46,406651.0,249.87,401443.0,71.15,401777.0,119.13,344393.0,6920.52,454120.0
Amapá,6930,8513,4976,8183,2142,7810,2892,7385,4585,5508,5039,6925,4367,5368,4028,4867,3972,4239,3963,3564,3264,3294,3268,3684,2720,3200,1887,759,2811,2560,2253,2235,1451,1557,189.19,32564.0,215.21,39762.0,227.12,42673.0,237.48,45086.0,262.47,49610.0,343.57,52285.0,322.95,52819.0,324.54,54322.0,304.34,62786.0,284.63,62786.0,292.7,65812.0,287.67,74393.0,287.48,77334.0,87.21,76149.0,149.75,63200.0,7343.52,102296.0
Amazonas,51244,21077,49366,28578,44081,27148,39370,20588,44493,17664,42742,21056,37671,21857,31724,23174,28272,21251,23795,17880,22124,17783,19740,21598,16804,20923,5601,208,17569,11622,16726,15592,9004,7970,189.42,212017.0,213.36,222754.0,223.6,245499.0,232.74,277208.0,255.69,295362.0,338.33,323646.0,321.14,337072.0,326.07,360383.0,324.16,370706.0,303.17,370706.0,310.52,377145.0,301.0,399775.0,295.9,401302.0,89.37,403867.0,159.31,338290.0,7558.17,530196.0
Bahia,185146,161873,154710,160581,115242,145913,80850,114268,130583,74814,127753,83059,98488,49483,98563,56201,85013,41510,86618,42213,76940,48476,67145,51026,51768,38686,40891,5574,64250,67370,55404,66648,29849,24820,178.15,1407187.0,197.81,1407608.0,203.5,1506610.0,209.58,1644258.0,223.29,1688138.0,285.55,1777116.0,272.88,1782273.0,273.59,1803448.0,262.69,1821744.0,245.68,1821744.0,249.72,1783978.0,243.15,1838569.0,241.39,1810753.0,67.97,1814614.0,114.21,1548387.0,6711.84,2116136.0
Ceará,50550,78052,41495,72404,34214,68375,23773,53864,37069,47447,31697,39453,25356,34001,23551,30688,19098,26885,18730,32668,13441,22177,10783,16918,8246,12609,10488,10149,3484,6984,3460,10423,2269,7175,175.98,886742.0,195.7,891698.0,201.81,920744.0,207.47,1006069.0,221.57,1048492.0,285.5,1089065.0,271.35,1086097.0,270.92,1096334.0,258.28,1054275.0,241.56,1054275.0,247.15,1018027.0,243.3,1055398.0,243.19,1047277.0,65.44,1065956.0,111.39,913900.0,6785.71,1240051.0
Distrito Federal,6205,9456,4688,5294,2943,10915,2936,9599,4601,8000,5764,8160,4836,6004,4769,5751,5491,4306,4263,3967,4578,5021,2643,3958,2999,4071,746,671,369,1168,2190,4119,1807,3343,151.22,81962.0,166.63,76700.0,174.78,78478.0,173.56,76510.0,179.19,91984.0,248.95,87417.0,226.44,90252.0,230.03,89917.0,226.9,84069.0,212.21,84069.0,218.61,80031.0,222.12,76496.0,229.06,70330.0,67.13,79961.0,110.25,74506.0,6937.2,149686.0
Espírito Santo,8388,21546,6696,19630,5496,18341,4867,11732,9122,10457,7394,10027,6791,9832,7224,9177,5600,6191,4551,4918,4032,3594,3514,3275,2513,2399,2510,2641,3521,2970,2510,2287,1495,2017,155.1,189005.0,173.37,182286.0,179.03,185610.0,188.11,187366.0,213.13,188824.0,272.68,195000.0,238.15,198306.0,239.06,195646.0,232.39,183860.0,217.35,183860.0,222.57,167571.0,224.66,175498.0,224.88,177666.0,64.54,189696.0,108.93,170032.0,6826.79,256015.0
Goiás,33034,53968,25651,48099,20732,36697,14873,35722,24686,18264,23768,18876,13516,15894,13411,15051,11531,15116,9763,13365,7023,5187,7021,5835,5214,4506,6029,4323,5130,3103,4314,3987,2605,1345,149.65,259301.0,169.29,256633.0,176.16,284195.0,187.1,316676.0,211.43,328932.0,274.43,339214.0,246.15,338706.0,246.74,337628.0,228.45,318202.0,213.66,318202.0,209.63,307186.0,204.36,307203.0,204.22,294850.0,63.06,299734.0,92.72,261117.0,6813.16,418519.0
Maranhão,65417,69624,63601,67087,41526,54665,36802,56662,46758,42770,48312,37013,42501,33661,41502,30539,37149,25593,35293,25892,29941,19429,27116,20893,20762,13642,25851,15031,27816,17870,18438,13313,10457,9639,190.39,726539.0,212.72,737817.0,218.36,796769.0,222.51,869887.0,239.33,902522.0,312.96,937526.0,309.5,946252.0,312.21,976904.0,304.14,964011.0,284.45,964011.0,288.98,962768.0,280.44,985476.0,276.8,959951.0,85.84,952726.0,140.76,805542.0,7051.29,1023767.0
