Estado,Total_Fundamental,Total_Medio,Total_Geral,Taxa_Abandono_EF2019,Taxa_Abandono_EM2019,Abandono_EF,Abandono_EM,Total_Abandonos
Acre,156388.0,38116.0,194504.0,2.1,6.4,3284,2439,5723
Alagoas,475704.0,116193.0,591897.0,1.5,6.1,7136,7088,14224
Amapá,135999.0,32987.0,168986.0,2.0,9.7,2720,3200,5920
Amazonas,700172.0,205128.0,905300.0,2.4,10.2,16804,20923,37727
Bahia,1991083.0,544868.0,2535951.0,2.6,7.1,51768,38686,90454
Ceará,1177983.0,360265.0,1538248.0,0.7,3.5,8246,12609,20855
Distrito Federal,374927.0,110020.0,484947.0,0.8,3.7,2999,4071,7070
Espírito Santo,502696.0,114217.0,616913.0,0.5,2.1,2513,2399,4912
Goiás,868931.0,237166.0,1106097.0,0.6,1.9,5214,4506,9720
Maranhão,1153446.0,290250.0,1443696.0,1.8,4.7,20762,13642,34404
Mato Grosso,478220.0,142836.0,621056.0,0.6,9.6,2869,13712,16581
Mato Grosso do Sul,397032.0,103482.0,500514.0,1.1,6.0,4367,6209,10576
Minas Gerais,2461094.0,751103.0,3212197.0,0.6,4.6,14767,34551,49318
Paraná,1404493.0,407743.0,1812236.0,0.5,3.1,7022,12640,19662
Paraíba,548659.0,135458.0,684117.0,2.3,6.3,12619,8534,21153
Pará,1418496.0,356274.0,1774770.0,2.9,10.1,41136,35984,77120
Pernambuco,1284245.0,335117.0,1619362.0,0.9,1.4,11558,4692,16250
Piauí,470183.0,128797.0,598980.0,1.3,7.2,6112,9273,15385
Rio Grande do Norte,459400.0,125082.0,584482.0,2.0,7.5,9188,9381,18569
Rio Grande do Sul,1280743.0,335437.0,1616180.0,0.9,5.3,11527,17778,29305
Rio de Janeiro,1976311.0,575245.0,2551556.0,1.0,5.8,19763,33364,53127
Rondônia,261087.0,61581.0,322668.0,1.1,5.6,2872,3449,6321
Roraima,102264.0,23587.0,125851.0,1.9,7.1,1943,1675,3618
Santa Catarina,865262.0,242876.0,1108138.0,0.4,5.1,3461,12387,15848
Sergipe,328558.0,76436.0,404994.0,2.0,6.3,6571,4815,11386
São Paulo,5409187.0,1551906.0,6961093.0,0.4,2.0,21637,31038,52675
Tocantins,241167.0,63721.0,304888.0,0.9,4.2,2171,2676,4847
