Estado,UF,Total_Abandono_Geral
Bahia,BA,1457748
Pará,PA,1125700
São Paulo,SP,1093395
Minas Gerais,MG,1002275
Maranhão,MA,627653
Rio de Janeiro,RJ,635083
Pernambuco,PE,384508
Amazonas,AM,472686
Paraíba,PB,397434
Alagoas,AL,362467
Ceará,CE,420733
Rio Grande do Norte,RN,327219
Rio Grande do Sul,RS,504482
Paraná,PR,408293
Piauí,PI,279077
Sergipe,SE,200902
Goiás,GO,215913
Mato Grosso do Sul,MS,140441
Rondônia,RO,109533
Espírito Santo,ES,110983
Acre,AC,85304
Santa Catarina,SC,227383
Distrito Federal,DF,90994
Amapá,AP,81275
Tocantins,TO,77510
Mato Grosso,MT,202115
Roraima,RR,44023
